行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间
五河县,西凌安置区三期,城南新区兴淮路南侧，青年南路东侧,5.2107,城镇住宅用地,挂牌出让,70,房地产业,8650,五河县恒信投资有限公司,1.002.30,2020年7月1日,2021年3月24日,2023年3月24日
五河县,西凌安置区一二期,城南新区兴浍路北侧，兴淮路南侧，青年南路东侧,6.8007,城镇住宅用地,挂牌出让,70,工程准备,11280,五河县城市建设投资经营有限责任公司,1.002.30,2020年7月1日,2021年3月24日,2023年3月24日
蚌埠市本级,居住用地,龙子湖区凤阳路北侧、龙河路东侧,5.28379,城镇住宅用地,拍卖出让,70,房地产业,26600,蚌埠市碧祥房地产开发有限公司,1.001.80,2020年6月24日,2020年12月18日,2022年12月18日
蚌埠市本级,秦集镇农民安置小区B地块项目,禹会区兴华路南侧、黄山大道东侧,5.176102,城镇住宅用地,划拨,,房地产业,,蚌埠禹会建设投资有限责任公司,1.003.00,2020年6月24日,2021年1月6日,2023年1月5日
固镇县,安徽丰原农业发展有限公司烘干仓储项目,丰原农业西侧，孟庙村耕地东侧。,2.38924,仓储用地,挂牌出让,50,仓储业,378,安徽丰原农业发展有限公司,1,2020年6月18日,2021年2月18日,2022年2月18日
怀远县,河溜新村棚户区改造,怀远县河溜林场,0.54195,社会福利用地,划拨,,社会福利业,,淮南矿业（集团）有限责任公司,1,2020年6月17日,2018年8月16日,2020年6月20日
蚌埠市本级,蚌山区光电产业园,中环线北侧、朝阳南路西侧,6.2173,工业用地,挂牌出让,50,通讯设备、计算机及其他电子设备制造业,1688,蚌埠市中盛建设发展有限责任公司,1,2020年6月17日,2020年12月2日,2022年6月2日
蚌埠市本级,居住用地,淮上区朝阳北路东侧、双墩路北侧,2.790207,城镇住宅用地,拍卖出让,70,房地产业,19900,蚌埠城房京开置业有限公司,1.002.00,2020年6月17日,2020年11月21日,2022年11月21日
蚌埠市本级,食品双创产业园,禹会区黄山大道以西、秦集路以北,6.446316,工业用地,挂牌出让,50,食品制造业,1750,蚌埠城禹开发建设有限责任公司,1,2020年6月17日,2020年12月2日,2022年6月2日
蚌埠市本级,居住用地,蚌山区延安路西侧、货场八路北侧,12.442937,城镇住宅用地,拍卖出让,70,房地产业,80000,蚌埠融建置业有限公司,1.001.50,2020年6月16日,2020年11月21日,2022年11月21日
蚌埠市本级,居住用地,蚌山区胜利中路北侧、太平街西侧,1.618341,城镇住宅用地,拍卖出让,70,房地产业,15650,蚌埠市金海置业有限公司,1.001.80,2020年6月16日,2020年11月21日,2022年11月21日
蚌埠市本级,永康苑（B块）农民安置房,淮上区永安街东侧、小蚌埠H1路北侧,5.781853,城镇住宅用地,划拨,,房地产业,,蚌埠市淮翼建设发展有限公司,1.002.20,2020年6月16日,2020年9月21日,2022年9月21日
怀远县,河溜新村棚户区改造,怀远县河溜林场,0.716,社会福利用地,划拨,,社会福利业,,淮南矿业（集团）有限责任公司,1,2020年6月16日,2018年6月16日,2020年6月16日
固镇县,国家增量配电业务改革试点项目,蚌铜产业园十二号路西、十六号路南。,1.02359,公用设施用地,挂牌出让,50,火力发电,153,蚌埠新奥智源能源发展有限公司,0.8,2020年6月9日,2021年2月9日,2022年8月9日
怀远县,蚌埠中联水泥有限公司,经济开发区世纪大道北五岔路东,5.8036,工业用地,挂牌出让,50,水泥、石灰和石膏的制造,765,蚌埠中联水泥有限公司,1,2020年6月9日,2020年12月9日,2022年12月8日
怀远县,怀远县南国环保热电有限公司,经济开发区BE5路南望淮路东,6.666667,工业用地,挂牌出让,50,电力、热力的生产和供应业,875,怀远县南国环保热电有限公司,1,2020年6月9日,2020年12月9日,2022年12月8日
怀远县,怀远县淝河粮库,淝河乡仁和路西侧,0.79537,仓储用地,挂牌出让,50,仓储业,156,怀远县淝河粮库,1,2020年6月9日,2020年12月9日,2022年12月8日
固镇县,商贸中心项目,任桥镇车站居委会自然资源所对面。,0.13475,零售商业用地,挂牌出让,40,房地产业,162,安徽权宇建设有限公司,1.001.50,2020年6月9日,2021年2月9日,2022年8月9日
固镇县,年产育肥猪出栏100万头（一期）项目,谷阳路南侧、经一路西侧。,10.30294,工业用地,挂牌出让,50,畜牧业,866,蚌埠鹏睿农牧产业有限公司,1,2020年6月4日,2021年2月4日,2022年2月4日
固镇县,年产5000套家具项目,固蚌路西，锦绣路北。,1.37554,工业用地,挂牌出让,50,家具制造业,116,安徽中迈家具有限公司,1.2,2020年6月3日,2021年2月3日,2022年2月3日
固镇县,年产两万吨米制品项目,西粮库路东侧，创业大道北侧。,2.22964,工业用地,挂牌出让,50,食品制造业,288,蚌埠市禾顺食品有限公司,1.2,2020年6月3日,2021年2月3日,2022年2月3日
固镇县,年产18立方砂石项目,任桥镇园区道路东侧。,1.71105,工业用地,挂牌出让,50,其它,280,固镇伟力建材有限公司,1,2020年6月3日,2021年2月3日,2022年2月3日
固镇县,年产800吨花生炒货项目,六铺路北侧。,1.02346,工业用地,挂牌出让,50,食品制造业,86,蚌埠市味妮好食品有限公司,1,2020年6月3日,2021年2月3日,2022年2月3日
固镇县,年产2000万条家电线束项目,经二路西侧，魏张路北侧。,2.14924,工业用地,挂牌出让,50,其它,181,蚌埠市美智联电子科技有限公司,1,2020年6月3日,2021年2月3日,2022年2月3日
固镇县,年产1.5亿片光学镜片、6000吨人造水晶玻璃及玻璃制品深加工项目,梨园大道南侧，锦绣路北侧。,3.21208,工业用地,挂牌出让,50,其它,270,安徽晶格光学科技有限公司,1.2,2020年6月1日,2021年2月1日,2022年2月1日
固镇县,年产10万套汽车通用配件生产项目,梨园大道南侧,2.0893,工业用地,挂牌出让,50,专用设备制造业,176,安徽海川机械有限公司,1.2,2020年6月1日,2021年2月1日,2022年2月1日
固镇县,年产35万立方米橡胶海绵制品项目,恒特制粒南侧。,2.99442,工业用地,挂牌出让,50,其它,252,安徽华勒斯节能科技有限公司,1.2,2020年6月1日,2021年2月1日,2022年2月1日
固镇县,年产6万台环保空调,兴业路西侧，梨园大道南侧。,1.81636,工业用地,挂牌出让,50,其它,153,安徽巨铭环境控制设备有限公司,1.2,2020年6月1日,2021年2月1日,2022年2月1日
固镇县,年产20000套智能门扩建项目,固蚌大道西侧、梨园大道南侧。,1.79609,工业用地,挂牌出让,50,家具制造业,151,安徽铵泰门业有限公司,1.2,2020年6月1日,2021年2月1日,2022年2月1日
蚌埠市本级,居住用地,龙子湖区李楼路东侧、宝塔路南侧,8.281249,城镇住宅用地,拍卖出让,70,房地产业,20100,蚌埠恒裕置业有限公司,1.002.00,2020年5月26日,2020年10月28日,2022年10月28日
蚌埠市本级,小新庄B地块还原安置房,蚌山区L-54路以西、涂山路以北、雪华路以南、南湖路以东,1.901096,城镇住宅用地,协议出让,70,工程准备,3644.4,蚌埠中欣投资发展有限责任公司,1.002.50,2020年5月24日,,
蚌埠市本级,小新庄D地块还原安置房,蚌山区涂山路以南、兰凤路以东、南湖路以西,3.109687,城镇住宅用地,协议出让,70,工程准备,5438.84,蚌埠中欣投资发展有限责任公司,1.002.50,2020年5月24日,,
蚌埠市本级,山香家园划拨补办出让手续,高新区燕山路北侧、中粮大道西侧,7.484375,城镇住宅用地,协议出让,70,其他金融服务,3852.9563,蚌埠高新投资集团有限公司,,2020年5月23日,,
蚌埠市本级,工业用地,高新区燕南路南侧、山香路以东,5.127324,工业用地,挂牌出让,50,通讯设备、计算机及其他电子设备制造业,1464,蚌埠高新投资集团有限公司,1,2020年5月22日,2020年11月8日,2022年5月8日
蚌埠市本级,临港南环北侧、中环线西侧地块,临港产业园中环线西侧、临港南环北侧,5.3026,工业用地,挂牌出让,50,汽车制造,1474,蚌埠馨联动力系统有限公司,1,2020年5月20日,2020年8月8日,2021年11月8日
蚌埠市本级,双创孵化产业园项目,禹会区秦集路西侧、兴华路南侧、六公里花苑东南侧、Y21路东北侧,8.427959,工业用地,挂牌出让,50,通讯设备、计算机及其他电子设备制造业,2280,蚌埠城禹开发建设有限责任公司,1,2020年5月20日,2020年11月20日,2022年5月20日
蚌埠市本级,工业用地,淮上区大庆北路西侧、淮上大道北侧,10.713112,工业用地,挂牌出让,50,仓储业,2977,蚌埠宇培仓储有限公司,1,2020年5月20日,2020年11月8日,2022年5月8日
五河县,宏盛轴承,五河县城南新区女山路西侧、工业十一路北侧,1.8883,工业用地,挂牌出让,50,金属制品业,164,五河宏盛轴承有限公司,1,2020年5月18日,2020年9月9日,2021年9月9日
五河县,新城商住小区,五河县城南新区彩虹大道东侧、青年南路西侧、兴漴路南侧,6.0172,城镇住宅用地,挂牌出让,70,房地产业,10000,五河县新型城镇化建设投资有限公司,0.002.00,2020年5月14日,2021年2月9日,2023年2月9日
怀远县,怀远经开区污水处理厂及配套管网项目,怀远县经开区配天大道东侧、汽车检测线对面,2.091217,公用设施用地,划拨,,公共设施管理业,,怀远经济开发区管理委员会,1.001.00,2020年5月14日,2020年10月14日,2022年10月14日
怀远县,蚌埠市怀远综合交通枢纽,怀远县荆山镇东庙社区,0.35881,交通服务场站用地,划拨,,城市公共交通业,,蚌埠市怀远综合交通枢纽有限公司,1.001.00,2020年5月14日,2020年10月11日,2022年10月11日
五河县,绿色食品产业园二期,五河县城南新区西环线东侧、兴浍西路北侧,7.8859,工业用地,挂牌出让,50,农、林、牧、渔服务业,673,五河县久盛科技发展有限公司,1,2020年5月14日,2020年9月9日,2021年9月9日
怀远县,古城市场监督管理所,怀远县古城镇双路村,0.0631,公用设施用地,划拨,,公共设施管理业,,怀远县市场监督管理局,1.001.00,2020年5月14日,2020年10月11日,2022年10月11日
五河县,新城商住小区,五河县城南新区彩虹大道东侧、青年南路西侧、兴漴路南侧,2.2277,城镇住宅用地,挂牌出让,70,房地产业,3750,五河县新型城镇化建设投资有限公司,0.002.00,2020年5月14日,2021年2月9日,2022年2月9日
五河县,城南幼儿园,五河县城南新区惠民路南侧、九年一贯制学校西侧,0.9999,教育用地,挂牌出让,40,教育业,350,刘伟华,1,2020年5月13日,2021年2月9日,2023年2月9日
蚌埠市本级,蚌埠市秀水实验学校项目,禹会区红旗一路北侧、纬六路西侧,3.519093,教育用地,划拨,,教育业,,蚌埠市禹会区教育体育局,1,2020年5月12日,2020年11月12日,2021年11月12日
怀远县,怀远县市场监督管理所,怀远县褚集镇褚集村,0.1973,公用设施用地,划拨,,公共设施管理业,,怀远县市场监督管理局,1.001.00,2020年5月11日,2020年10月11日,2022年10月11日
蚌埠市本级,居住用地,蚌山区解放路西侧、M-H-11路南侧,12.325106,城镇住宅用地,挂牌出让,70,房地产业,62742,蚌埠世贸新领航置业有限责任公司,1.002.00,2020年5月11日,2020年10月23日,2022年10月23日
蚌埠市本级,蚌埠光彩110千伏输变电工程,高新区黄山大道北侧、迎河路西侧,0.296754,公用设施用地,划拨,,电力、热力的生产和供应业,,国网安徽省电力有限公司蚌埠供电公司,1,2020年5月10日,2020年11月10日,2021年11月10日
蚌埠市本级,陶店家园北苑（陶店农民新村二期）项目,蚌山区迎宾大道东侧、燕山路南侧,11.63554,城镇住宅用地,划拨,,房地产业,,蚌埠市城市投资控股有限公司,1.003.20,2020年5月10日,2020年11月10日,2021年11月10日
蚌埠市本级,城投公司划拨用地补办出让手续,经开区解放路西侧、货场五路北侧,9.62969,其他商服用地,协议出让,40,房地产业,64490.03,蚌埠市城市投资控股有限公司,2.5,2020年5月10日,,
蚌埠市本级,M-H-11路（延安路-航华路）工程,蚌山区M-H-11路（延安路-航华路）,0.628195,城镇村道路用地,划拨,,交通运输、仓储和邮政业,,蚌埠市中盛建设发展有限责任公司,,2020年5月10日,2020年11月10日,2021年11月10日
五河县,双忠庙垃圾中转站,五河县双忠庙镇张滩村生产路北侧,0.0946,公用设施用地,划拨,,工程准备,0,五河县新型城镇化建设投资有限公司,,2020年5月7日,2021年6月30日,2022年6月30日
蚌埠市本级,蚌埠市公安局警务技能训练基地,龙子湖区东海大道南侧、老山北坡,5.0477,公用设施用地,划拨,,国家机构,,蚌埠市公安局,0.5,2020年5月7日,2020年11月7日,2021年11月7日
蚌埠市本级,城投公司划拨用地补办出让手续,禹会区兴中路北侧、中粮大道东侧,3.693986,其他商服用地,协议出让,40,房地产业,22208.24,蚌埠市城市投资控股有限公司,2.5,2020年5月6日,,
蚌埠市本级,城投公司划拨用地补办出让手续,禹会区华光大道西侧、大庆三路北侧,13.665138,其他商服用地,协议出让,40,房地产业,85270.46,蚌埠市城市投资控股有限公司,2.5,2020年5月6日,,
蚌埠市本级,城投公司划拨用地补办出让手续,禹会区友谊路东侧、涂山路北侧,3.4608,其他商服用地,协议出让,40,房地产业,21048.59,蚌埠市城市投资控股有限公司,2.5,2020年5月6日,,
蚌埠市本级,城投公司划拨用地补办出让手续,禹会区大庆二路北侧、Y-32路东侧,2.238915,其他商服用地,协议出让,40,房地产业,13019.293,蚌埠市城市投资控股有限公司,2.5,2020年5月6日,,
蚌埠市本级,城投公司划拨用地补办出让手续,禹会区涂山路北侧、吴湾路西侧,4.428148,其他商服用地,协议出让,40,房地产业,28725.3973,蚌埠市城市投资控股有限公司,2.5,2020年5月6日,,
蚌埠市本级,城投公司划拨用地补办出让手续,禹会涂山路北侧、友谊路西侧,1.590012,其他商服用地,协议出让,40,房地产业,9584.59,蚌埠市城市投资控股有限公司,2.5,2020年5月6日,,
固镇县,固镇县实验小学胜利路校区扩建项目,固镇县胜利北路东侧、学府文苑北侧。,0.5178,教育用地,划拨,,教育业,,固镇县实验小学,0.58,2020年5月6日,2021年1月6日,2022年1月6日
蚌埠市本级,城投公司划拨用地补办出让手续,禹会区吴湾路西侧、宋滩小区南侧,1.480533,其他商服用地,协议出让,40,房地产业,9441.36,蚌埠市城市投资控股有限公司,2.5,2020年5月6日,,
固镇县,固镇县人民医院医疗健康公益事业保障中心,固镇县北城区立新北路西侧、朝阳路南侧。,3.23931,医疗卫生用地,划拨,,卫生,485.94,固镇县人民医院,1.36,2020年5月6日,2021年1月6日,2022年1月6日
蚌埠市本级,城投公司划拨用地补办出让手续,禹会区中粮大道西侧、Y-8路北侧,0.938993,其他商服用地,协议出让,40,房地产业,5591.71,蚌埠市城市投资控股有限公司,2.5,2020年5月6日,,
固镇县,固镇县南城区生态路网PPP项目,固镇县南城区,10.40193,公路用地,划拨,,城市公共交通业,,固镇县重点工程建设中心,,2020年5月6日,2021年1月6日,2022年1月6日
蚌埠市本级,城投公司划拨用地补办出让手续,经开区解放路西侧、怡和园小区北侧,0.684478,其他商服用地,协议出让,40,房地产业,1896.69,蚌埠市城市投资控股有限公司,2.5,2020年5月6日,,
蚌埠市本级,城投公司划拨用地补办出让手续,经开区黄泥山西侧,16.026732,其他商服用地,协议出让,40,房地产业,56654.5,蚌埠市城市投资控股有限公司,2.5,2020年5月6日,,
蚌埠市本级,30万吨年烧碱项目、4万吨年苯二胺项目、30万吨年氯苯10万吨年二氯苯5000吨年三氯苯项目、8800吨天综合污水站、厂区道路等项目,淮上区金沱路西侧、淝河中路南侧,57.561212,工业用地,挂牌出让,50,化学原料及化学制品制造业,14680,安徽八一化工股份有限公司,0.6,2020年4月30日,2020年10月16日,2022年4月16日
蚌埠市本级,加油站用地,解放路东侧、新淮路南侧。,0.125169,其他商服用地,协议出让,40,零售业,963.16,蚌埠市市政房地产开发有限公司,,2020年4月30日,,
蚌埠市本级,安徽安源应急救援装备项目,蚌山区朝阳南路东侧、Z-31路北侧,2.092321,工业用地,挂牌出让,50,通用设备制造业,568,安徽安源应急救援装备有限公司,1,2020年4月30日,2020年10月16日,2022年4月16日
蚌埠市本级,锥子山路（治淮东路－临港南环）道排工程项目,经开区锥子山路（治淮东路－临港南环）,8.989729,城镇村道路用地,划拨,,交通运输、仓储和邮政业,,蚌埠市临港基建投资发展有限公司,,2020年4月23日,2020年10月23日,2022年10月23日
蚌埠市本级,蚌埠市污泥深度处理中心,龙子湖区中环线东侧、垃圾填埋场西北侧,2.331236,公用设施用地,划拨,,国家机构,,蚌埠市住房和城乡建设局,0.8,2020年4月23日,2020年10月23日,2021年10月23日
蚌埠市本级,商业、商务用地,蚌山区青年街西侧、淮河路北侧,1.756015,其他商服用地,挂牌出让,商业40年,房地产业,15550,蚌埠市振中建设发展有限责任公司,5.7,2020年4月22日,2020年10月7日,2022年10月7日
蚌埠市本级,商业、商务用地,蚌山区中山街东侧、青年街西侧,1.609152,其他商服用地,挂牌出让,40,房地产业,10504,蚌埠市振中建设发展有限责任公司,6.5,2020年4月22日,2020年10月7日,2022年10月7日
蚌埠市本级,标准化厂房,蚌埠市蚌山区虎山东路西侧、Z-31路北侧,1.9655,工业用地,挂牌出让,50,金属制品业,535,安徽星谷广告创意产业园管理有限公司,1,2020年4月22日,2020年10月9日,2022年10月9日
怀远县,怀远县第四人民医院住院医技综合楼,怀远县包集镇206国道西侧,2.2178,医疗卫生用地,划拨,,社会保障业,,怀远县第四人民医院,1.001.00,2020年4月22日,2020年4月22日,2022年4月22日
蚌埠市本级,住宅及配套设施,高新区姜桥路南侧、天河路西侧,7.052234,城镇住宅用地,挂牌出让,70,房地产业,16512,蚌埠高新区建设发展有限公司,1.002.00,2020年4月22日,2020年10月7日,2022年10月7日
五河县,双河小学综合楼,新集镇双河村双河小学院内,0.158355,教育用地,划拨,,教育业,0,新集镇双河小学,1,2020年4月20日,2021年4月30日,2022年4月30日
五河县,头铺供电抢修中心,头铺镇五蚌路南侧、头安路西侧,0.260236,公用设施用地,划拨,,其它,17.304,国网安徽省电力有限公司五河县供电公司,,2020年4月20日,2021年4月30日,2022年4月30日
固镇县,烟草公司（办公用房）,湖沟路东侧、方前路北侧。,1.54835,商务金融用地,挂牌出让,40,烟草制品业,919,安徽省烟草公司蚌埠市公司,1.001.20,2020年4月20日,2020年12月20日,2022年6月20日
蚌埠市本级,住宅用地,蚌埠市禹会区涂山路与朝阳路交口红阳小区1栋综合楼2-3-3号,0.00124,城镇住宅用地,协议出让,70,房地产业,1.93,交通银行股份有限公司蚌埠分行,,2020年4月9日,,
蚌埠市本级,住宅用地,蚌埠市蚌山区胜利东路胜利五村20栋2-7-704号,0.000614,城镇住宅用地,协议出让,70,房地产业,0.96,交通银行股份有限公司蚌埠分行,,2020年4月9日,,
蚌埠市本级,住宅用地,蚌埠市禹会区涂山路与朝阳路交口红阳小区1栋综合楼5-6-7号,0.00127,城镇住宅用地,协议出让,70,房地产业,1.97,交通银行股份有限公司蚌埠分行,,2020年4月9日,,
蚌埠市本级,住宅用地,蚌埠市禹会区涂山路与朝阳路交口红阳小区1栋综合楼2-6-12号,0.00124,城镇住宅用地,协议出让,70,房地产业,1.93,交通银行股份有限公司蚌埠分行,,2020年4月9日,,
蚌埠市本级,住宅用地,蚌埠市禹会区涂山路与朝阳路交口红阳小区1栋综合楼3-6-10号,0.00118,城镇住宅用地,协议出让,70,房地产业,1.83,交通银行股份有限公司蚌埠分行,,2020年4月9日,,
蚌埠市本级,住宅用地,蚌埠市禹会区涂山路与朝阳路交口红阳小区1栋综合楼3-4-4号,0.00118,城镇住宅用地,协议出让,70,房地产业,1.83,交通银行股份有限公司蚌埠分行,,2020年4月9日,,
蚌埠市本级,住宅用地,蚌埠市禹会区涂山路与朝阳路交口红阳小区1栋综合楼2-4-6号,0.00124,城镇住宅用地,协议出让,70,房地产业,1.93,交通银行股份有限公司蚌埠分行,,2020年4月9日,,
五河县,润石商住小区项目,兴县路北侧、龙岗路东侧、地块1南侧,3.3693,城镇住宅用地,拍卖出让,70,房地产业,10180,安徽润石置业有限公司,2.1,2020年4月8日,2020年12月27日,2021年12月27日
五河县,润石商住小区项目,龙岗路东侧、为民路南侧、地块2北侧,3.7645,城镇住宅用地,拍卖出让,70,房地产业,10870,安徽润石置业有限公司,2.1,2020年4月8日,2020年12月27日,2021年12月27日
五河县,新三中食堂,五河县城南新区女山路西侧、富民路北侧,1.365986,教育用地,划拨,,教育业,0,五河县住房和城乡建设局,1.000.00,2020年4月7日,2021年4月30日,2022年4月30日
怀远县,怀远县文化馆、科技馆“两管合一”项目,怀远县禹都大道与五岔路交汇处,7.54636,公用设施用地,划拨,,公共设施管理业,,怀远县文化和旅游局,1.001.00,2020年3月30日,2020年4月2日,2022年4月2日
蚌埠市本级,淮上区盛世路（淮上大道-滨河路）,位于淮上区盛世路（淮上大道-滨河路）,0.414128,城镇村道路用地,划拨,,城市公共交通业,,蚌埠河北新区发展有限责任公司,,2020年3月30日,2020年9月20日,2021年9月20日
五河县,潘圩加油站,新集镇潘圩村X025县道北侧,0.1835,公用设施用地,拍卖出让,40,燃气生产和供应业,380,安徽中昂石化销售有限公司,0.8,2020年3月20日,2020年7月11日,2021年7月11日
蚌埠市本级,西外环（淝河路-淮上大道）,西外环（淝河路-淮上大道）,8.938429,城镇村道路用地,划拨,,城市公共交通业,,蚌埠河北新区发展有限责任公司,,2020年3月20日,2020年9月30日,2021年9月20日
蚌埠市本级,上河路（淮上大道-滨河路）,位于上河路（淮上大道-滨河路）,3.594262,城镇村道路用地,划拨,,城市公共交通业,,蚌埠河北新区发展有限责任公司,,2020年3月20日,2020年9月20日,2021年9月20日
怀远县,怀远县盛瑜粮油贸易有限公司,唐集镇骑龙村,0.5181,仓储用地,挂牌出让,50,仓储业,101,怀远县盛瑜粮油贸易有限公司,1,2020年3月20日,2020年9月19日,2022年9月18日
蚌埠市本级,后场路（盛中路-盛安路）,位于后场路（盛中路-盛安路）,1.559857,城镇村道路用地,划拨,,城市公共交通业,,蚌埠河北新区发展有限责任公司,,2020年3月20日,2020年9月20日,2021年9月20日
蚌埠市本级,淮上区大庆北路公交首末站,淮上区淮海路东侧、龙华路北侧,0.626358,交通服务场站用地,划拨,,城市公共交通业,,蚌埠市公共交通集团有限公司,1,2020年3月20日,2020年9月20日,2021年9月20日
蚌埠市本级,蚌埠司马110千伏输变电工程项目,经开区司马庄路东侧、治淮东路北侧,0.4633,公用设施用地,划拨,,居民服务和其他服务业,,国网安徽省电力有限公司蚌埠供电公司,1,2020年3月19日,2020年9月19日,2021年9月19日
蚌埠市本级,经开区纬五路（锥子山路-中环线）道路工程项目,经开区纬五路（锥子山路-中环线）,11.349,城镇村道路用地,划拨,,道路运输业,,蚌埠市临港基建投资发展有限公司,,2020年3月19日,2020年9月19日,2022年9月19日
蚌埠市本级,经开区治淮东路（龙子河－高铁东路）道排工程项目,经开区治淮东路（龙子河－高铁东路）,10.088,城镇村道路用地,划拨,,道路运输业,,蚌埠市临港基建投资发展有限公司,,2020年3月19日,2020年9月19日,2022年9月19日
蚌埠市本级,经开区善水西路（住商街-望芦西街）道路工程项目,经开区善水西路（住商街-望芦西街段）,0.221,城镇村道路用地,划拨,,道路运输业,,蚌埠恒泰建设发展有限公司,,2020年3月19日,2020年9月19日,2021年9月19日
五河县,华运毛纺补充,城南兴潼路北侧、华运毛纺东侧,0.0951,工业用地,挂牌出让,50,纺织服装、鞋、帽制造业,9,五河县华运毛纺有限公司,1,2020年3月18日,2020年7月11日,2021年7月11日
五河县,陈台加油站,朱顶镇陈台村三王路北侧,0.2667,公用设施用地,拍卖出让,40,燃气生产和供应业,265,陈守友,0.8,2020年3月17日,2020年7月11日,2021年7月11日
五河县,新希望饲料厂,五河县小溪镇104国道西侧，绿园北侧,4.0236,工业用地,挂牌出让,50,农、林、牧、渔服务业,380,五河新希望六和牧业有限公司,1,2020年3月17日,2020年7月11日,2021年7月11日
五河县,众兴菌业补充,五河县城南新区南环线南侧，创业路西侧，众兴菌业东侧,0.0281,工业用地,挂牌出让,50,农、林、牧、渔服务业,2.9,五河众兴菌业科技有限公司,0.5,2020年3月17日,2020年7月11日,2021年7月11日
五河县,长能节能设备,城南女山路西侧、鑫想食品北侧,0.6678,工业用地,挂牌出让,50,其它,58,安徽省长能节能设备有限公司,1,2020年3月17日,2020年12月11日,2021年12月11日
怀远县,常坟商业地块,怀远县常坟镇,0.1251,其他商服用地,挂牌出让,40,其他金融服务,131,孙柯超,1.002.50,2020年3月16日,2020年8月16日,2022年8月15日
固镇县,房地产,迎宾大道北、现状空地南、温莎城堡东、立新路西。,4.54542,城镇住宅用地,挂牌出让,城镇住宅用地70年; 其他商服用地40年;,房地产业,6681,安徽建工集团固镇房地产开发有限公司,1.002.20,2020年3月16日,2020年11月16日,2023年5月16日
固镇县,房地产,景观河南、规划路东、朝阳路北和谐苑小区西,4.7311,城镇住宅用地,挂牌出让,城镇住宅用地70年; 其他商服用地40年;,房地产业,7960,固镇华力置业有限公司,1.002.20,2020年3月16日,2020年11月16日,2023年5月16日
固镇县,房地产,迎宾大道北，朝阳路南，黄园路西，育红路东。,6.27147,城镇住宅用地,挂牌出让,城镇住宅用地70年; 其他商服用地40年;,房地产业,16000,固镇县名邦置业有限公司,1.002.00,2020年3月16日,2020年11月16日,2023年5月16日
蚌埠市本级,禹会区Y-36路（胜利西路-长寿路）项目,禹会区Y-36路（胜利西路-长寿路）,0.756114,城镇村道路用地,划拨,,工程准备,,蚌埠禹会建设投资有限责任公司,,2020年3月15日,2020年6月1日,2020年12月30日
蚌埠市本级,禹会区Y-7路（吴湾路-席家沟路）,禹会区Y-7路（吴湾路-席家沟路）,0.572101,城镇村道路用地,划拨,,工程准备,,蚌埠禹会建设投资有限责任公司,,2020年3月15日,2020年6月1日,2020年12月30日
蚌埠市本级,黄山学校,蚌山区虎山东路东侧、货场八路北侧,5.717925,教育用地,划拨,,教育,,蚌埠市蚌山教育投资发展有限公司,0.9,2020年3月15日,2020年9月15日,2022年9月14日
蚌埠市本级,禹会区弘禹家园（后胡安置房）A地块一期项目,禹会区马城镇老206国道东侧、胡圩路北侧,1.815747,城镇住宅用地,划拨,,房地产业,,蚌埠禹会建设投资有限责任公司,1.001.70,2020年3月15日,2020年4月1日,2022年4月1日
蚌埠市本级,蚌埠市南出口道路运输综合服务站,高新区秦集镇河北村、迎宾大道东侧,0.9108,公用设施用地,划拨,,道路运输业,,蚌埠市交通投资集团有限责任公司,1,2020年3月12日,2020年9月12日,2021年9月12日
怀远县,荆山镇上居项目,怀远县荆山镇,3.75714,零售商业用地,挂牌出让,40,零售业,2610,怀远永逸置业有限公司,1.001.60,2020年3月12日,2020年9月11日,2022年9月10日
蚌埠市本级,龙湖教师新村划拨转出让,经济开发区迎湖路南侧、南湖路西侧,0.729299,城镇住宅用地,协议出让,70,教育业,1083.009,蚌埠市教育局,,2020年3月10日,,
固镇县,年加工300吨糕点项目（美源食品）,任桥镇站北村任桥法庭西渠北路北,0.24755,工业用地,挂牌出让,50,食品制造业,21,固镇县美源食品有限公司,1,2020年3月6日,2020年11月6日,2021年11月6日
怀远县,华润雪花啤酒（安徽）有限公司蚌埠分公司,怀远县城西北、卞河路与BE3路交叉口西北侧，距离淮河5800米，距离涡河1600米,34.702753,工业用地,挂牌出让,50,食品制造业,5150,华润雪花啤酒（安徽）有限公司蚌埠分公司,1,2020年4月1日,2020年10月1日,2022年9月30日
怀远县,怀远县文化馆、科技馆“两管合一”项目,怀远县禹都大道与五岔路交汇处,7.54636,公用设施用地,划拨,,公共设施管理业,,怀远县文化和旅游局,1.001.00,2020年3月30日,2020年4月2日,2022年4月2日
蚌埠市本级,淮上区盛世路（淮上大道-滨河路）,位于淮上区盛世路（淮上大道-滨河路）,0.414128,城镇村道路用地,划拨,,城市公共交通业,,蚌埠河北新区发展有限责任公司,,2020年3月30日,2020年9月20日,2021年9月20日
五河县,潘圩加油站,新集镇潘圩村X025县道北侧,0.1835,公用设施用地,拍卖出让,40,燃气生产和供应业,380,安徽中昂石化销售有限公司,0.8,2020年3月20日,2020年7月11日,2021年7月11日
