行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间
五河县,漴兴路,漴兴路,13.0862,公路用地,划拨,,房屋和土木工程业,0,五河县城市建设投资经营有限责任公司,1,2018年11月5日,2019年8月5日,2020年8月5日
五河县,冯刘村新化安置区、吴家嘴安置区、旧县安置区北侧、花木王安置区,冯刘新化安置区、吴家嘴安置区、旧县安置区北侧、花木王安置区,5.16045,廉租住房用地,划拨,,社会保障业,0,五河县城市建设投资经营有限责任公司,1,2018年11月5日,2019年8月5日,2020年8月5日
五河县,沱湖乡政府物业管理房、窑厂周边,沱湖乡物业管理房及窑厂周边,0.3999,公园与绿地,划拨,,国家机构,0,沱湖乡人民政府,1,2018年11月5日,2019年8月5日,2020年8月5日
五河县,兴浍路东段,城南新区兴浍路东段,0.9384,公路用地,划拨,,房屋和土木工程业,0,五河县久盛科技发展有限公司,1,2018年11月5日,2019年8月5日,2020年8月5日
五河县,五河县浍南卫生院,浍南镇,0.676705,医卫慈善用地,划拨,,卫生,0,浍南卫生院,1,2018年11月5日,2019年8月5日,2020年8月5日
五河县,双忠庙镇南陈社区周边、森林植物检疫检查站周边,双忠庙镇南陈社区周边、森林植物检疫检查站周边,0.1962,公园与绿地,划拨,,国家机构,0,双忠庙镇人民政府,1,2018年11月5日,2019年8月5日,2020年8月5日
五河县,五河县建设投资有限公司,龙潭湖路,4.5619,公路用地,划拨,,房屋和土木工程业,0,五河县建设投资有限公司,1,2018年11月5日,2019年8月5日,2020年8月5日
五河县,小溪边角地,小溪鼎顺周边、加油站周边边角地,0.3119,公园与绿地,划拨,,国家机构,0,小溪镇人民政府,,2018年11月5日,2019年8月5日,2020年8月5日
五河县,祥源边角地,城关镇祥源边角地,0.2915,公园与绿地,划拨,,房屋和土木工程业,0,五河县城市建设投资经营有限责任公司,,2018年11月5日,2019年8月5日,2020年8月5日
蚌埠市本级,天河路（黄山大道-燕南路）道路工程,天河路（黄山大道-燕南路）段,4.2243,街巷用地,划拨,,工程准备,,蚌埠高新区建设发展有限公司,1,2018年11月2日,2018年12月30日,2019年11月30日
蚌埠市本级,山香路（高新路-姜桥路）道路工程,山香路（高新路-姜桥路）段,0.7622,街巷用地,划拨,,工程准备,,蚌埠高新区建设发展有限公司,1,2018年11月2日,2018年12月30日,2019年8月30日
蚌埠市本级,坤和路（中科路-长征南路）道路工程,坤和路（中科路-长征南路）段,1.3314,街巷用地,划拨,,工程准备,,蚌埠高新区建设发展有限公司,1,2018年11月2日,2018年12月30日,2019年12月30日
蚌埠市本级,工业用地,禹会区高新路以南、新华路以东,9.249432,工业用地,挂牌出让,50,制造业,2392,蚌埠禹会创投产业园有限公司,1.000.00,2018年11月2日,2019年4月19日,2020年10月19日
