行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,,
永康市,永康市城西新区花城路以南地块一,永康市城西新区花城路以南地块一,6.768785,工业用地,挂牌出让,50,通讯设备、计算机及其他电子设备制造业,5076.5888,浙江飞哲工贸有限公司/?,1.30/,2020年6月17日,2022年1月18日,2024年1月18日,,
义乌市,杭州洪光房地产开发有限公司(义乌市国贸大道北侧A地块),稠江街道，东至规划道路；南至国贸大道;西至规划道路；北至戚继光路,11.894336,城镇住宅用地,挂牌出让,70,房地产业,310000,杭州洪光房地产开发有限公司/?,2.10/2.30,2020年6月17日,2021年7月18日,2023年7月17日,,
义乌市,陈茂生(义亭镇深塘两侧沿街4-3地块),义亭镇，深塘路西侧,0.01638,城镇住宅用地,挂牌出让,70,房地产业,829,陈茂生/?,7.10/7.30,2020年6月17日,2022年7月17日,2024年7月16日,,
义乌市,楼剑平(义亭镇深塘两侧沿街1-3地块),义亭镇，深塘路东侧,0.01404,城镇住宅用地,挂牌出让,70,房地产业,763,楼剑平/?,7.20/7.40,2020年6月17日,2022年7月17日,2024年7月16日,,
兰溪市,梅江镇石埠村2019-1、2019-2地块,梅江镇石埠村,2.6168,公用设施用地,划拨,,公共设施管理业,,/兰溪市梅江基础设施建设有限公司,/,2020年6月16日,2021年1月12日,2022年1月12日,,
兰溪市,黄店镇黄店村2018-1基础设施用地,黄店镇黄店村,0.1534,交通服务场站用地,划拨,,公共设施管理业,,/兰溪市黄店基础设施建设有限公司,/,2020年6月16日,2021年1月12日,2022年1月12日,,
东阳市,浙江横店影视职业学院改扩建项目,东阳市横店镇都督南街以东,18.9861,教育用地,划拨,,基层群众自治组织,,/浙江横店影视职业学院,0.50/1.20,2020年6月16日,2020年9月16日,2022年9月16日,,
义乌市,义乌科创区百合路道路工程二标段,后宅街道,2.2363,公路用地,划拨,,道路运输业,,/浙江义乌高新区开发建设有限公司,/,2020年6月16日,2021年6月16日,2023年6月16日,,
永康市,城西新区范宅村朱家塘村工业地块4#厂房27地块,城西新区范宅村朱家塘村工业地块4#厂房27地块,0.126,工业用地,拍卖出让,50,金属制品业,757.26,永康市亚航工贸有限公司/?,4.10/4.10,2020年6月16日,2021年2月25日,2023年2月25日,,
永康市,城西新区范宅村朱家塘村工业地块4#厂房23地块,城西新区范宅村朱家塘村工业地块4#厂房23地块,0.108,工业用地,拍卖出让,50,金属制品业,651.24,永康市金顿橡塑制品有限公司/?,4.10/4.10,2020年6月16日,2021年2月25日,2023年2月25日,,
永康市,城西新区范宅村朱家塘村工业地块4#厂房26地块,城西新区范宅村朱家塘村工业地块4#厂房26地块,0.126,工业用地,拍卖出让,50,金属制品业,705.6,章华明/?,4.10/4.10,2020年6月16日,2021年2月25日,2023年2月25日,,
兰溪市,柏社乡北舒村2019-5工业用地,柏社乡北舒村,0.4005,工业用地,挂牌出让,50,农副食品加工业,138.9735,兰溪市聚蜜源商贸有限公司/?,1.00/,2020年6月15日,2021年3月15日,2022年3月15日,,
金东区,金华市嘉岭机械租赁合伙企业（有限合伙),金东区岭下镇松溪路以南、崇文街以东、崇德街以西,5.1605,工业用地,挂牌出让,50,其它,5759.118,金华市嘉岭机械租赁合伙企业（有限合伙）/?,1.40/2.50,2020年6月12日,2020年12月12日,2022年12月12日,,
金东区,保利浙南房地产开发有限公司位于金东区艾青路以南、博士街以西商住用地,金东区艾青路以南、博士街以西,6.64079,城镇住宅用地,挂牌出让,商品房70年;零售商业用地40,房地产业,141349.2152,保利浙南房地产开发有限公司/?,1.80/2.10,2020年6月12日,2021年10月9日,2023年10月9日,,
义乌市,义乌市瑞雱针织有限公司（佛堂镇芳山路与雅西路交叉口北侧2#）,佛堂镇，芳山路与雅西路交叉口北侧,1.014675,工业用地,挂牌出让,20,棉、化纤纺织及印染精加工,422,义乌市瑞雱针织有限公司/?,2.50/3.00,2020年6月12日,2020年9月19日,2022年6月11日,,
兰溪市,赤溪街道郑麻车村2014-5-A工业用地,赤溪街道郑麻车村,0.3599,工业用地,拍卖出让,44,金属制品业,124.1655,浙江天雅江涛动力有限公司/?,1.00/,2020年6月12日,2021年3月12日,2022年3月12日,,
武义县,白洋街道上松线沿线待出让地块1号,白洋街道上松线沿线,0.7129,零售商业用地,挂牌出让,40,零售业,6605,武义县交通建设投资集团有限公司/?,0.01/0.50,2020年6月12日,2021年9月2日,2023年9月2日,,
义乌市,义乌市环境资源分拣利用有限公司(廿三里街道安商路与城北路交叉口东北角地块),廿三里街道，安商路与城北路交叉口东北侧,1.4561,工业用地,挂牌出让,20,水的生产和供应业,602,义乌市环境资源分拣利用有限公司/?,1.00/1.50,2020年6月12日,2020年9月19日,2022年6月11日,,
兰溪市,何村B-1地块商住用地,丹溪大道以南、上园路以东,6.9998,城镇住宅用地,拍卖出让,70,房地产业,66568.098,杭州新城创盛房地产开发有限公司/?,1.20/2.00,2020年6月12日,2021年4月12日,2023年4月12日,,
永康市,永康市花街镇黄园区块小微企业园15#厂房,永康市花街镇黄园区块小微企业园15#,0.285343,工业用地,拍卖出让,50,金属制品业,1272.6298,永康市宝正电机有限公司/?,4.40/4.40,2020年6月12日,2021年3月2日,2023年3月2日,,
