编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
371,城镇住宅用地,盐城市,建湖县,科创大厦西侧、南环路北侧地块,科创大厦西侧、南环路北侧地块,70年，40年,挂牌,18300,,2020,2020年1月,2020/1/20,43603,2,87206,建湖县高新投资发展有限公司,,,,,,,,,,,,,,2020/9/9,2022/9/9
373,城镇住宅用地,盐城市,建湖县,振阳路北、建南路东侧地块,振阳路北、建南路东侧地块,70年，40年,挂牌,4260,,2020,2020年1月,2020/1/20,18176,1.6,29081.6,建湖县湖阳农业发展有限公司,,,,,,,,,,,,,,2020/9/9,2022/9/9
395,城镇住宅用地,盐城市,盐南高新区,盐马路东、希望路北侧,盐城市盐南高新区黄海街道办事处耿伙村三、六组,70,挂牌,133437.2,,2020,2020年1月,2020/1/17,50224,2.4,120537.6,中海宏洋地产集团有限公司,,,,,,,,,,,,,,2020/12/17,2023/12/17
396,城镇住宅用地,盐城市,盐南高新区,盐马路东、东进路北侧,盐城市盐南高新区黄海街道办事处耿伙村四、五组,70,挂牌,59204.8832,,2020,2020年1月,2020/1/17,33652,2.7,90860.4,深圳市中海投资有限公司,,,,,,,,,,,,,,2020/12/17,2023/12/17
398,城镇住宅用地,盐城市,滨海县,滨海县城镇建设发展有限公司,滨海县海滨大道南侧、城东大道西侧,70,挂牌,14670.4954,,2020,2020年1月,2020/1/17,54802,2.4,131524.8,滨海县城镇建设发展有限公司,,,,,,,,,,,,,,2020/4/17,2022/4/17
399,城镇住宅用地,盐城市,亭湖区,盐城圣桦京府置业有限公司,盐城市亭湖新区光荣社区居民委员会,70,挂牌,74988.1875,,2020,2020年1月,2020/1/16,126875,1.9,241062.5,盐城圣桦京府置业有限公司,,,,,,,,,,,,,,2021/1/16,2024/1/16
400,城镇住宅用地,盐城市,建湖县,明星路西侧、原宏丰彩印厂地块,明星路西侧、原宏丰彩印厂地块,70年，40年,挂牌,4350,,2020,2020年1月,2020/1/16,21148,1.5,31722,江苏开诚置业有限公司,,,,,,,,,,,,,,2020/9/7,2022/9/7
401,城镇住宅用地,盐城市,经济技术开发区,星汇居住项目,盐城经济技术开发区新城街道三洼村,70,挂牌,41881.5,,2020,2020年1月,2020/1/16,55842,2.46,137371.32,盐城星汇房地产开发有限公司,,,,,,,,,,,,,,2021/1/16,2024/1/16
402,城镇住宅用地,盐城市,经济技术开发区,星汇居住项目2,盐城经济技术开发区新城街道三洼村,70,挂牌,47071.44,,2020,2020年1月,2020/1/16,65377,2.2,143829.4,盐城星汇房地产开发有限公司,,,,,,,,,,,,,,2021/1/16,2024/1/16
404,城镇住宅用地,盐城市,滨海县,周安荣,滨海县滨淮镇双舍村六组（S226西侧）、兴隆商贸城西侧,70,挂牌,509.5157,,2020,2020年1月,2020/1/14,4797.7,2,9595.4,周安荣,,,,,,,,,,,,,,2020/3/14,2022/3/14
405,城镇住宅用地,盐城市,滨海县,李明高,滨海县滨淮镇S226西侧、纬四路南侧,70,挂牌,2017.3131,,2020,2020年1月,2020/1/13,11120.8,2.2,24465.76,李明高,,,,,,,,,,,,,,2020/3/13,2022/3/13
406,城镇住宅用地,盐城市,建湖县,府右路西侧、崔墩路南侧地块,府右路西侧、崔墩路南侧地块,70年，40年,挂牌,39000,,2020,2020年1月,2020/1/10,86681,2,173362,建湖县城市建设投资有限公司,,,,,,,,,,,,,,2020/8/30,2022/8/30
407,城镇住宅用地,盐城市,建湖县,南环路南侧、湖中路东侧地块一,南环路南侧、湖中路东侧地块一,40年，70年,挂牌,36100,,2020,2020年1月,2020/1/10,80350,2,160700,建湖县城市建设投资有限公司,,,,,,,,,,,,,,2020/8/30,2022/8/30
408,城镇住宅用地,盐城市,建湖县,府右路东侧、崔墩路北侧地块,府右路东侧、崔墩路北侧地块,40年，70年,挂牌,39100,,2020,2020年1月,2020/1/10,86416,2,172832,建湖县城市建设投资有限公司,,,,,,,,,,,,,,2020/8/30,2022/8/30
