编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
1050,城镇住宅用地,盐城市,射阳县,千鹤湖公园北侧3号地块,千鹤湖公园北侧3号地块,70,挂牌,26140,,2019,2019年4月,2019/4/25,57953,2.5,144882.5,南京华拓房地产开发有限公司,,,,,,,,,,,,,,2020/7/25,2023/7/25
1051,城镇住宅用地,盐城市,射阳县,千鹤湖公园北侧4号地块,千鹤湖公园北侧4号地块,70,挂牌,21450,,2019,2019年4月,2019/4/25,47438,2.5,118595,南京华拓房地产开发有限公司,,,,,,,,,,,,,,2020/7/25,2023/7/25
1052,工业用地,盐城市,射阳县,射阳丰源机械制造有限公司,射阳县合德镇兴业路北侧、天泽辅机有限公司东侧,50,挂牌,190.5408,,2019,2019年4月,2019/4/25,9924,2.5,24810,射阳丰源机械制造有限公司,,,,,,,,,,,,,,2020/2/29,2022/2/28
1053,城镇住宅用地,盐城市,东台市,东台市保障性住房建设投资有限公司,八林新寓（一期）南侧地块一,40.7,挂牌,16483.2,,2019,2019年4月,2019/4/25,40400,2,80800,东台市保障性住房建设投资有限公司,,,,,,,,,,,,,,2020/4/15,2021/4/15
1054,工业用地,盐城市,东台市,东台双创新能源开发有限公司,东台市弶港镇蹲门村,50,挂牌,117.0288,,2019,2019年4月,2019/4/25,6966,0.35,2438.1,东台市双创新能源开发有限公司,,,,,,,,,,,,,,2019/8/25,2020/8/25
1055,城镇住宅用地,盐城市,射阳县,千鹤湖公园北侧2号地块,千鹤湖公园北侧2号地块,70,挂牌,26150,,2019,2019年4月,2019/4/25,57991,2.5,144977.5,南京华拓房地产开发有限公司,,,,,,,,,,,,,,2020/7/25,2023/7/25
1056,工业用地,盐城市,滨海县,江苏普健药业有限公司（2）,滨海医药产业园内,50,挂牌,63.37,,2019,2019年4月,2019/4/24,2555.08,0.9,2299.572,江苏普健药业有限公司,,,,,,,,,,,,,,2021/4/21,2023/4/19
1057,公用设施用地,盐城市,东台市,滨河110KV变电站,经济开发区八引中沟南侧、开发大道西侧,,划拨,0,,2019,2019年4月,2019/4/24,3834,0.7,2683.8,东台惠民城镇化建设发展有限公司,,,,,,,,,,,,,,2019/12/24,2021/12/23
1058,工业用地,盐城市,盐都区,江苏日研精工智能制造有限公司,盐城市盐都区大冈镇联合村五组,50,挂牌,640.9395,,2019,2019年4月,2019/4/24,26595,1.6,42552,江苏日研精工智能制造有限公司,,,,,,,,,,,,,,2020/4/23,2022/4/22
1059,公路用地,盐城市,经济技术开发区,宝龙广场项目支路工程地块,嵩山北路东、新都东路北,,划拨,0,,2019,2019年4月,2019/4/24,6959,1,6959,江苏世纪新城项目管理有限公司,,,,,,,,,,,,,,2019/10/24,2020/10/24
1060,工业用地,盐城市,滨海县,江苏万恒铸业有限公司,滨海县经济开发区工业园北区,50,挂牌,414.85,,2019,2019年4月,2019/4/23,24403,0.7,17082.1,江苏万恒铸业有限公司,,,,,,,,,,,,,,2021/7/31,2023/7/13
1061,工业用地,盐城市,滨海县,光大绿色危废处置（盐城）有限公司,滨海县经济开发区沿海工业园北区中山一路支路西侧,50,挂牌,900,,2019,2019年4月,2019/4/23,40000,0.7,28000,光大绿色危废处置（盐城）有限公司,,,,,,,,,,,,,,2021/8/27,2023/8/15
1062,商务金融用地,盐城市,亭湖区,盐城海瀛实业投资有限公司,盐城市亭湖区环保科技城民联村一组、绍林村五组,40,挂牌,3133.631,,2019,2019年4月,2019/4/23,14335,2.8,40138,盐城海瀛实业投资有限公司,,,,,,,,,,,,,,2020/4/23,2023/4/23
1063,港口码头用地,盐城市,滨海县,盐城内河港滨海港区海河联运作业区公用码头,滨海港疏港航道端部,,划拨,0,,2019,2019年4月,2019/4/23,182093,1,182093,滨海县交通实业有限公司,,,,,,,,,,,,,,2019/6/11,2021/6/11
1064,教育用地,盐城市,滨海县,滨淮镇中心小学东校区,滨淮镇境内X301南、S226东,,划拨,0,,2019,2019年4月,2019/4/23,22254,1,22254,滨海县兴海资产投资经营管理有限公司,,,,,,,,,,,,,,2019/6/11,2021/6/11
1065,城镇住宅用地,盐城市,响水县,响水县华辰新农村建设发展有限公司,紫荆路南侧、清源路西侧,70,挂牌,25535,,2019,2019年4月,2019/4/19,59731,1.8,107515.8,响水县华辰新农村建设发展有限公司,,,,,,,,,,,,,,2019/10/1,2022/9/30
1066,工业用地,盐城市,亭湖区,盐城海普润膜科技有限公司,盐城市亭湖区环保科技城绍林村五组,50,挂牌,1601.04,,2019,2019年4月,2019/4/19,53368,1.6,85388.8,盐城海普润膜科技有限公司,,,,,,,,,,,,,,2019/12/19,2022/12/19
1067,工业用地,盐城市,阜宁县,宁罗新能源地块,罗桥镇沿街村,50,挂牌,378,,2019,2019年4月,2019/4/19,18095.67,1.2,21714.804,江苏宁罗机械制造有限公司,,,,,,,,,,,,,,2019/6/6,2021/6/6
1068,工业用地,盐城市,阜宁县,立多环保科技地块,阜城街道办新桥村,50,挂牌,144,,2019,2019年4月,2019/4/19,6678,2,13356,江苏立多环保科技有限公司,,,,,,,,,,,,,,2019/6/6,2020/6/6
1069,工业用地,盐城市,滨海县,宝利化（盐城）制药有限公司（2）,滨海县医药产业园（扁鹊路东侧）,50,挂牌,540.39,,2019,2019年4月,2019/4/17,21789.9,0.9,19610.91,宝利化（盐城）制药有限公司,,,,,,,,,,,,,,2022/3/17,2024/3/14
1070,公用设施用地,盐城市,阜宁县,工业污水处理厂,郭墅镇马河村三组,50,协议,1020.35,,2019,2019年4月,2019/4/17,47903.66,2,95807.32,阜宁澳洋工业园投资有限责任公司,,,,,,,,,,,,,,2019/5/7,2020/5/7
1071,城镇住宅用地,盐城市,盐都区,南京融辉置业有限公司,盐都区盐龙街道办华锐路东、纬五路南,70,挂牌,18739.18,,2019,2019年4月,2019/4/15,31180,2.2,68596,南京融辉置业有限公司,,,,,,,,,,,,,,2020/8/15,2023/8/15
1072,其他商服用地,盐城市,盐都区,盐城咏恒投资发展有限公司,盐都区盐龙街道办振兴路东、纬五路南,40,挂牌,4390.848,,2019,2019年4月,2019/4/15,15246,2.5,38115,盐城咏恒投资发展有限公司,,,,,,,,,,,,,,2020/7/15,2023/7/15
1073,城镇住宅用地,盐城市,盐都区,盐城市城开置业有限公司,盐都区张庄街道办建业路东西、规划文化东路南,70,挂牌,5028.2025,,2019,2019年4月,2019/4/15,29149,1.7,49553.3,盐城市城开置业有限公司,,,,,,,,,,,,,,2020/7/15,2023/7/15
1074,其他商服用地,盐城市,滨海县,张宝生,滨海县八滩镇S226西侧，江苏苏福玻璃有限公司南侧。,40,挂牌,323.6609,,2019,2019年4月,2019/4/13,4391.6,1.8,7904.88,张宝生,,,,,,,,,,,,,,2019/6/13,2021/6/13
1075,工业用地,盐城市,滨海县,滨海医药产业园开发有限公司（物流）,滨海县医药产业园（新安大道北侧）,50,挂牌,589.89,,2019,2019年4月,2019/4/10,23690.5,0.7,16583.35,滨海医药产业园开发有限公司,,,,,,,,,,,,,,2021/3/3,2023/3/16
1076,交通服务场站用地,盐城市,城南新区,盐城市铁路综合客运枢纽工程,盐城市城南新区新河街道办事处（世纪大道北侧、范公路东侧）,,划拨,0,,2019,2019年4月,2019/4/9,362578,1,362578,盐城市铁路投资发展有限公司,,,,,,,,,,,,,,2019/9/11,2022/9/12
1077,工业用地,盐城市,阜宁县,托普车轮,新沟镇新东村七组,50,协议,8.91,,2019,2019年4月,2019/4/9,420.45,2,840.9,江苏托普车轮有限公司,,,,,,,,,,,,,,2019/5/9,2020/5/9
1078,医疗卫生用地,盐城市,东台市,五烈镇广山卫生院新建病房楼,五烈镇广山卫生院西侧,,划拨,7.4888,,2019,2019年4月,2019/4/9,1865,1,1865,东台市五烈镇广山卫生院,,,,,,,,,,,,,,2019/11/9,2021/11/9
1079,工业用地,盐城市,东台市,东台海鸿科技有限公司,梁垛镇梁垛村,50,挂牌,229.1571,,2019,2019年4月,2019/4/9,13401,0.7,9380.7,东台海鸿科技有限公司,,,,,,,,,,,,,,2019/12/9,2020/12/9
1080,工业用地,盐城市,东台市,盐城东宇工艺品有限公司,梁垛镇牌楼村,38.33,挂牌,16.2456,,2019,2019年4月,2019/4/9,967,0.8,773.6,盐城东宇工艺品有限公司,,,,,,,,,,,,,,2019/12/9,2020/6/9
1081,工业用地,盐城市,东台市,盐城东宇工艺品有限公司,梁垛镇牌楼村,38.33,挂牌,90.216,,2019,2019年4月,2019/4/9,5370,0.8,4296,盐城东宇工艺品有限公司,,,,,,,,,,,,,,2019/12/9,2020/6/9
1082,文化设施用地,盐城市,射阳县,建设综合文化服务用房,四明镇开明小区西侧,,划拨,0,,2019,2019年4月,2019/4/9,4333,1.5,6499.5,射阳县四明镇人民政府,,,,,,,,,,,,,,2019/10/9,2021/10/8
1083,工业用地,盐城市,滨海县,滨海丰和粮食有限公司,滨海县五汛镇民营创业园,50,挂牌,39.4,,2019,2019年4月,2019/4/8,2345.4,0.7,1641.78,滨海丰和粮食有限公司,,,,,,,,,,,,,,2021/3/19,2023/3/15
1084,社会福利用地,盐城市,东台市,梁垛镇养老综合服务站大楼,梁垛镇梁垛村,,划拨,0,,2019,2019年4月,2019/4/8,3333,0.99,3299.67,东台市梁垛镇敬老院,,,,,,,,,,,,,,2019/12/8,2020/12/8
1085,社会福利用地,盐城市,东台市,养老服务中心,梁垛镇殷乐村,,划拨,0,,2019,2019年4月,2019/4/8,4757,0.52,2473.64,东台市文吉养老服务中心有限公司,,,,,,,,,,,,,,2019/12/8,2020/12/8
1086,工业用地,盐城市,东台市,江苏富川机电有限公司,光辉二中沟南侧,41.37,挂牌,65.2568,,2019,2019年4月,2019/4/8,3794,0.7,2655.8,江苏富川机电有限公司,,,,,,,,,,,,,,2019/12/8,2021/12/8
1087,社会福利用地,盐城市,城南新区,敬老院迁建项目,盐城市城南新区伍佑街道办事处洋桥居委会一组,,划拨,0,,2019,2019年4月,2019/4/8,16507,0.7,11554.9,盐城市城南新区伍佑街道办事处,,,,,,,,,,,,,,2019/9/10,2022/9/12
1088,公用设施用地,盐城市,东台市,泰东110kv输变电工程,时堰镇双溪村三组,,划拨,71.9525,,2019,2019年4月,2019/4/4,3294,0.29,955.26,国网江苏省电力公司盐城供电公司,,,,,,,,,,,,,,2019/10/4,2021/10/4
1089,仓储用地,盐城市,亭湖区,江苏亭粮产业发展有限公司,盐城市亭湖区盐东镇生建村民委员会五组,50,挂牌,129.507,,2019,2019年4月,2019/4/4,5286,1.4,7400.4,江苏亭粮产业发展有限公司,,,,,,,,,,,,,,2019/12/4,2022/12/4
1090,工业用地,盐城市,亭湖区,盐城金红达科技有限公司,盐城市亭湖区盐东镇农业园区居委会七组,50,挂牌,394.992,,2019,2019年4月,2019/4/4,16458,1.6,26332.8,盐城金红达科技有限公司,,,,,,,,,,,,,,2019/12/4,2022/12/4
1091,工业用地,盐城市,亭湖区,盐城太阳升大药房有限公司,盐城市亭湖区新兴镇新场村民委员会一组,50,挂牌,1302.8148,,2019,2019年4月,2019/4/4,38094,1.6,60950.4,盐城太阳升大药房有限公司,,,,,,,,,,,,,,2019/12/4,2022/12/4
1092,工业用地,盐城市,东台市,东台市天鹏食品有限公司,东台镇兴房村十五组,50,挂牌,163.45,,2019,2019年4月,2019/4/4,9340,0.7,6538,东台市天鹏食品有限公司,,,,,,,,,,,,,,2019/12/4,2020/12/4
1093,工业用地,盐城市,响水县,江苏岛瀛服饰有限公司,长江路南侧、银海路西侧,49,挂牌,75,,2019,2019年4月,2019/4/4,4054,0.8,3243.2,江苏岛瀛服饰有限公司,,,,,,,,,,,,,,2019/10/1,2022/9/30
1094,教育用地,盐城市,东台市,新街镇中心幼儿园扩建工程,新街镇府前西路南侧,,划拨,0,,2019,2019年4月,2019/4/4,4714,1,4714,东台市新街镇人民政府,,,,,,,,,,,,,,2019/10/4,2020/10/4
1095,教育用地,盐城市,射阳县,新建洋马镇药材幼儿园,洋马镇贺东村五组,,划拨,55.9161,,2019,2019年4月,2019/4/4,5368,1.5,8052,射阳县洋马镇实验幼儿园,,,,,,,,,,,,,,2019/7/4,2021/7/3
1096,公路用地,盐城市,大丰市,沪丰路（北兴路-新北路）项目,盐城市大丰区丰华街道万丰村一组,,划拨,,,2019,2019年4月,2019/4/4,12106,1,12106,盐城市大丰区高鑫投资有限责任公司,,,,,,,,,,,,,,2019/11/6,2020/11/6
1097,工业用地,盐城市,亭湖区,尤洪楼、赵建华,盐城市亭湖区新洋街道办事处北闸村民委员会一组,50,协议,5.6235,,2019,2019年4月,2019/4/3,163,1,163,尤洪楼、赵建华,,,,,,,,,,,,,,2019/4/3,2019/4/3
1098,仓储用地,盐城市,亭湖区,中国储备棉管理有限公司,盐城市亭湖区新洋街道办事处龙桥村民委员会六组,50,协议,4058.66,,2019,2019年4月,2019/4/3,115961.8,1,115961.8,中国储备棉管理有限公司,,,,,,,,,,,,,,2019/4/3,2019/4/3
1099,工业用地,盐城市,东台市,东台市浩宸床上用品厂,东台市头灶镇高新技术园区,50,挂牌,40.9545,,2019,2019年4月,2019/4/3,2395,1,2395,东台市浩宸床上用品厂,,,,,,,,,,,,,,2019/12/3,2021/6/3
1100,教育用地,盐城市,射阳县,新建射阳县海通镇射南幼儿园,射阳县海通镇射南村,,划拨,72.7594,,2019,2019年4月,2019/4/2,5233,1,5233,射阳县海通镇实验幼儿园,,,,,,,,,,,,,,2019/7/1,2021/6/30
1101,城镇住宅用地,盐城市,盐都区,盐城市金时代房地产开发有限公司,串场河东、华通大厦北,61.82,协议,15.89,,2019,2019年4月,2019/4/1,8.83,1.8,15.894,盐城市金时代房地产开发有限公司,,,,,,,,,,,,,,2019/11/29,2020/11/30
1102,公路用地,盐城市,东台市,汽车城环路,城东新区经一路东侧,,划拨,0,,2019,2019年4月,2019/4/1,3022,1,3022,东台市城东高新技术投资发展有限公司,,,,,,,,,,,,,,2019/12/1,2022/12/1
1103,公用设施用地,盐城市,大丰市,党群（便民）服务中心项目,盐城市大丰区大中镇大刘路南侧、新团大道东侧,,划拨,0,,2019,2019年4月,2019/4/1,8317,1.2,9980.4,盐城市大丰区大中镇新团村村民委员会,,,,,,,,,,,,,,2019/10/1,2020/10/1
1104,工业用地,盐城市,滨海县,滨海华海被服洗涤有限公司,滨海县八巨镇民营创业园,50,挂牌,60.24,,2019,2019年3月,2019/3/30,3764.8,0.7,2635.36,滨海华海被服洗涤有限公司,,,,,,,,,,,,,,2021/3/19,2023/3/13
1105,城镇住宅用地,盐城市,滨海县,曹子洋,滨海县八滩镇S226西侧、坎滩淤线南侧,70,挂牌,1515.1968,,2019,2019年3月,2019/3/30,15336,1.8,27604.8,曹子洋,,,,,,,,,,,,,,2019/5/30,2021/5/30
1106,工业用地,盐城市,滨海县,滨海盛威包装材料有限公司,滨海县八巨镇民营创业园,50,挂牌,493.18,,2019,2019年3月,2019/3/29,30823.7,0.7,21576.59,滨海盛威包装材料有限公司,,,,,,,,,,,,,,2021/5/21,2023/5/9
1107,工业用地,盐城市,滨海县,滨海县恒亚溶解乙炔气厂,通榆镇全民创业园,50,挂牌,371.7,,2019,2019年3月,2019/3/29,16160.7,0.7,11312.49,滨海县恒亚溶解乙炔气厂,,,,,,,,,,,,,,2021/3/18,2023/3/14
1108,交通服务场站用地,盐城市,城南新区,东风悦达起亚商品车铁路装车基地,盐城市城南新区伍佑街道构港村、伍东村、洋桥居委会,,划拨,0,,2019,2019年3月,2019/3/29,58420,1,58420,盐城成大实业总公司,,,,,,,,,,,,,,2019/12/2,2022/12/2
1109,教育用地,盐城市,亭湖区,新建教学楼项目,盐城市亭湖经济开发区新民经济合作社五组、六组,,划拨,,,2019,2019年3月,2019/3/29,4684,1,4684,盐城亭湖新区实验学校,,,,,,,,,,,,,,2019/11/28,2022/11/28
1110,工业用地,盐城市,滨海县,滨海宇晟纺织有限公司,通榆镇全民创业园,50,挂牌,237.22,,2019,2019年3月,2019/3/27,15504.5,1,15504.5,滨海宇晟纺织有限公司,,,,,,,,,,,,,,2021/4/15,2023/4/13
1111,教育用地,盐城市,城南新区,亨威地块小学二期,盐城市城南新区新河街道办事处新墩居委会（开放大道西侧、聚亨路南侧）,,划拨,0,,2019,2019年3月,2019/3/27,5865,0.54,3167.1,盐城市城南新区社会事务管理局,,,,,,,,,,,,,,2019/9/27,2022/9/27
1112,公用设施用地,盐城市,滨海县,滨海县豪杰燃气有限公司,滨海县S328北侧,50,挂牌,168.561,,2019,2019年3月,2019/3/27,6243,0.5,3121.5,滨海县豪杰燃气有限公司,,,,,,,,,,,,,,2019/5/27,2021/5/27
1113,社会福利用地,盐城市,射阳县,四明敬老院提升工程,四明镇敬老院东侧,,划拨,59.9802,,2019,2019年3月,2019/3/26,3439,1.6,5502.4,射阳县四明镇人民政府,,,,,,,,,,,,,,2019/9/26,2021/9/25
1114,工业用地,盐城市,盐都区,盐城盛州全民创业园有限公司,盐城市盐都区盐渎街道办事处民生居委会三、五组,50,挂牌,2821.77,,2019,2019年3月,2019/3/26,94059,1.6,150494.4,盐城盛州全民创业园有限公司,,,,,,,,,,,,,,2020/3/25,2023/3/24
1115,工业用地,盐城市,滨海县,宝利化（盐城）制药有限公司（1）,滨海县医药产业园（扁鹊路东侧）,50,挂牌,1525.67,,2019,2019年3月,2019/3/22,61519,0.9,55367.1,宝利化（盐城）制药有限公司,,,,,,,,,,,,,,2023/3/31,2025/3/19
1116,工业用地,盐城市,阜宁县,年产2万吨水泵电机配件地块,东沟镇镇南村,50,挂牌,532,,2019,2019年3月,2019/3/22,25215.77,1.2,30258.924,阜宁鑫恒机械制造有限公司,,,,,,,,,,,,,,2019/5/10,2021/5/10
1117,工业用地,盐城市,阜宁县,巨汇包装制品地块,益林镇管计村,50,挂牌,149,,2019,2019年3月,2019/3/22,7051.17,2,14102.34,阜宁巨汇包装制品有限公司,,,,,,,,,,,,,,2019/5/10,2020/5/10
1118,工业用地,盐城市,阜宁县,豪特机械地块,益林镇东兴村,50,挂牌,126,,2019,2019年3月,2019/3/22,5968.17,2,11936.34,江苏豪特包装科技有限公司,,,,,,,,,,,,,,2019/5/10,2020/5/10
1119,工业用地,盐城市,东台市,江苏科森光电科技有限公司,迎宾大道北侧、开发大道东侧,50,挂牌,2058.246,,2019,2019年3月,2019/3/22,114347,1.1,125781.7,江苏科森光电科技有限公司,,,,,,,,,,,,,,2019/11/21,2022/11/21
1120,工业用地,盐城市,东台市,江苏科森光电科技有限公司,迎宾大道北侧、开发大道东侧,49.75,挂牌,71.1,,2019,2019年3月,2019/3/22,3950,1.1,4345,江苏科森光电科技有限公司,,,,,,,,,,,,,,2019/11/22,2021/5/22
1121,公用设施用地,盐城市,大丰市,盐城盐港110千伏输变电工程项目,盐城市大丰区大丰港区海堤公路东侧,,划拨,0,,2019,2019年3月,2019/3/22,3075,1,3075,国网江苏省电力有限公司盐城市大丰区供电分公司,,,,,,,,,,,,,,2019/10/4,2020/10/4
1122,城镇住宅用地,盐城市,东台市,南通中南新世界中心开发有限公司,马佐里东侧，纬一路南侧,40年，70年,挂牌,19273.68,,2019,2019年3月,2019/3/22,71384,1.8,128491.2,南通中南新世界中心开发有限公司,,,,,,,,,,,,,,2020/6/22,2023/6/22
1123,工业用地,盐城市,滨海县,盐城永润科技有限公司,界牌镇周庄科技园,50,挂牌,203.54,,2019,2019年3月,2019/3/21,12801,0.7,8960.7,盐城永润科技有限公司,,,,,,,,,,,,,,2021/2/17,2023/2/16
1124,工业用地,盐城市,滨海县,滨海通惠燃气有限公司,滨海医药产业园内,50,挂牌,776.84,,2019,2019年3月,2019/3/21,26604.1,0.7,18622.87,滨海通惠燃气有限公司,,,,,,,,,,,,,,2022/2/16,2024/2/15
1125,工业用地,盐城市,滨海县,滨海县永达机械有限公司,滨海县八巨镇民营创业园,50,挂牌,255.96,,2019,2019年3月,2019/3/21,15997.3,0.7,11198.11,滨海县永达机械有限公司,,,,,,,,,,,,,,2022/3/16,2024/3/12
1126,餐饮用地,盐城市,东台市,东台国色天香牡丹园有限公司,时堰镇三时村十四组,40,挂牌,85,,2019,2019年3月,2019/3/21,2000,1.1,2200,东台国色天香牡丹园有限公司,,,,,,,,,,,,,,2020/6/21,2023/6/21
1127,工业用地,盐城市,滨海县,江苏泽昊新材料有限公司,界牌镇周庄科技园,50,挂牌,466.81,,2019,2019年3月,2019/3/20,29358.9,0.7,20551.23,江苏泽昊新材料有限公司,,,,,,,,,,,,,,2022/2/18,2024/2/16
1128,工业用地,盐城市,滨海县,滨海大吉再生资源有限公司,天场镇产业园（海关村四组）,50,挂牌,190.65,,2019,2019年3月,2019/3/20,13331.9,0.7,9332.33,滨海大吉再生资源有限公司,,,,,,,,,,,,,,2022/3/24,2024/3/22
1129,其他商服用地,盐城市,亭湖区,盐城友田汽车销售服务有限公司,盐城市亭湖区新兴镇同心村民委员会一组,40,挂牌,2023.2,,2019,2019年3月,2019/3/20,16860,1.6,26976,盐城友田汽车销售服务有限公司,,,,,,,,,,,,,,2020/3/20,2023/3/20
1130,其他商服用地,盐城市,亭湖区,盐城市洪兆连车业有限公司,盐城市亭湖区新兴镇同心村民委员会一组,40,挂牌,956.16,,2019,2019年3月,2019/3/20,7968,1.6,12748.8,盐城市洪兆连车业有限公司,,,,,,,,,,,,,,2020/3/20,2023/3/20
1131,其他商服用地,盐城市,亭湖区,江苏雅弗汽车科技有限公司,盐城市亭湖区新兴镇同心村民委员会三组,40,挂牌,728.52,,2019,2019年3月,2019/3/20,6071,1.6,9713.6,江苏雅弗汽车科技有限公司,,,,,,,,,,,,,,2020/3/20,2023/3/20
1132,工业用地,盐城市,东台市,工程机械底盘四轮一带项目,沿海区规划港区三路南侧,50,挂牌,1185.576,,2019,2019年3月,2019/3/20,70570,0.8,56456,江苏海容科技有限公司,,,,,,,,,,,,,,2019/11/20,2021/5/20
1133,城镇住宅用地,盐城市,滨海县,江苏富轩实业有限公司,滨海县世纪大道北侧、阜东路西侧,40,挂牌,269.0046,,2019,2019年3月,2019/3/20,1062,3,3186,江苏富轩实业有限公司,,,,,,,,,,,,,,2019/5/20,2021/5/20
1134,公用设施用地,盐城市,城南新区,南海未来城市民中心,盐城市城南新区新都街道办事处益丰居委会一、三组,,划拨,0,,2019,2019年3月,2019/3/19,40409,0.18,7273.62,盐城市城南新区开发建设投资有限公司,,,,,,,,,,,,,,2019/9/18,2022/9/19
1135,教育用地,盐城市,射阳县,新建射阳县新城国际初中项目,合德镇大兴居委会,,划拨,0,,2019,2019年3月,2019/3/19,100141,1.5,150211.5,射阳县第三中学,,,,,,,,,,,,,,2019/9/19,2021/9/18
1136,医疗卫生用地,盐城市,射阳县,中医院抗痒组团项目,合德镇大兴居委会,,划拨,0,,2019,2019年3月,2019/3/19,83182,2.5,207955,射阳县中医院,,,,,,,,,,,,,,2019/9/19,2021/9/18
1137,交通服务场站用地,盐城市,射阳县,城北公交停保场,合德镇城北居委会,,划拨,0,,2019,2019年3月,2019/3/19,33048,1,33048,江苏三维交通集团有限公司,,,,,,,,,,,,,,2019/9/19,2021/9/18
1138,机关团体用地,盐城市,射阳县,新建临海派出所,临海镇幼儿园北侧、润海大道南侧,,划拨,0,,2019,2019年3月,2019/3/19,4000,1,4000,射阳县公安局,,,,,,,,,,,,,,2019/8/17,2021/8/16
1139,其他商服用地,盐城市,响水县,响水县美丽乡村建设有限公司,双港卫生院南侧，城市花园西侧,40,挂牌,2864,,2019,2019年3月,2019/3/18,31801,2.4,76322.4,响水县美丽乡村建设有限公司,,,,,,,,,,,,,,2019/10/1,2022/9/30
1140,城镇住宅用地,盐城市,亭湖区,江苏桃李春风文创小镇文旅产业发展有限公司,盐城市亭湖区新洋街道办事处三英村民委员会三、六、七、八组,70,挂牌,20768.2541,,2019,2019年3月,2019/3/18,135829,1.2,162994.8,江苏桃李春风文创小镇文旅产业发展有限公司,,,,,,,,,,,,,,2020/3/18,2023/3/18
1141,工业用地,盐城市,建湖县,盐城市龙腾新型建材有限公司新上（二期）年产1.2亿块混凝土砌块项目,高作镇北庄村四组,50,挂牌,267.0525,,2019,2019年3月,2019/3/18,16185,1.2,19422,盐城市龙源新型建材有限公司,,,,,,,,,,,,,,2019/11/30,2021/11/29
1142,工业用地,盐城市,建湖县,盐城恒辉食品有限公司年产3000吨水煮蔬菜深加工项目,颜单镇任杨村五组,50,挂牌,40.7385,,2019,2019年3月,2019/3/18,2469,1.2,2962.8,盐城恒辉食品有限公司,,,,,,,,,,,,,,2019/12/30,2021/12/29
1143,工业用地,盐城市,建湖县,江苏键宝新型建材有限公司新上新型建筑材料项目,芦沟镇裴刘居委会四组,50,挂牌,201.2835,,2019,2019年3月,2019/3/18,12199,1.2,14638.8,江苏键宝新型建材有限公司,,,,,,,,,,,,,,2019/12/31,2021/12/30
1144,公用设施用地,盐城市,阜宁县,黄浦110千伏输变电工程,崔湾村一组,,划拨,0,,2019,2019年3月,2019/3/16,5720,1,5720,江苏省供电公司阜宁供电公司,,,,,,,,,,,,,,2019/4/26,2020/4/26
1145,工业用地,盐城市,滨海县,滨海绿家园工贸有限公司,天场镇陈老产业园,50,挂牌,243.35,,2019,2019年3月,2019/3/15,17502.7,0.7,12251.89,滨海绿家园工贸有限公司,,,,,,,,,,,,,,2021/3/19,2024/3/13
1146,公用设施用地,盐城市,阜宁县,阜城镇机电装备园自来水厂工程项目,阜城镇机电装备园,,划拨,0,,2019,2019年3月,2019/3/15,140937,1,140937,阜宁县人民政府阜城街道办事处,,,,,,,,,,,,,,2019/4/15,2020/4/15
1147,工业用地,盐城市,滨海县,滨海清奇实业有限公司,滨海县八巨镇民营创业园,50,挂牌,650,,2019,2019年3月,2019/3/14,39394,0.7,27575.8,滨海清奇实业有限公司,,,,,,,,,,,,,,2021/2/26,2023/2/13
1148,工业用地,盐城市,滨海县,盐城曼姿制衣有限公司,东坎街道民营园,50,挂牌,77.64,,2019,2019年3月,2019/3/14,4852.5,0.7,3396.75,盐城曼姿制衣有限公司,,,,,,,,,,,,,,2021/3/26,2023/3/14
1149,工业用地,盐城市,滨海县,滨海亚奇紧固件有限公司,界牌镇全民创业园,50,挂牌,345.84,,2019,2019年3月,2019/3/13,22752.5,0.7,15926.75,滨海亚奇紧固件有限公司,,,,,,,,,,,,,,2021/4/16,2023/4/13
1150,工业用地,盐城市,滨海县,滨海万欧金属制品有限公司,蔡桥镇民营创业园,50,挂牌,138.07,,2019,2019年3月,2019/3/13,9024.5,0.7,6317.15,滨海万欧金属制品有限公司,,,,,,,,,,,,,,2022/2/24,2024/2/16
1151,工业用地,盐城市,滨海县,江苏中石油昆仑液化气有限公司（1）,滨海港经济区海油路北侧,50,挂牌,499.18,,2019,2019年3月,2019/3/13,16639.2,0.7,11647.44,江苏中石油昆仑液化气有限公司,,,,,,,,,,,,,,2022/12/14,2024/2/12
1152,工业用地,盐城市,滨海县,江苏中石油昆仑液化气有限公司（2）,滨海港经济区海油路北侧,50,挂牌,4000,,2019,2019年3月,2019/3/13,133333.3,0.7,93333.31,江苏中石油昆仑液化气有限公司,,,,,,,,,,,,,,2022/2/9,2024/2/15
1153,城镇住宅用地,盐城市,阜宁县,向阳路南、双叶路西地块,现代服务园区新丰居委会,40年，70年,挂牌,989,,2019,2019年3月,2019/3/13,6479.74,2.4,15551.376,孙冬青,,,,,,,,,,,,,,2019/5/28,2021/5/28
