编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,容积,率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
1689,中低价位、中小套型普通商品住房用地,盐城市,响水县,响水县新港建设发展有限公司,228国道南侧、326省道西侧、渤海大街北侧,70,挂牌出让,,10330,,2018,2018年9月,2018年9月30日,65632,1.002.50,1,2.5,,响水县新港建设发展有限公司,,,,,,,,,,,,,,2019年5月1日,2022年4月30日
1690,中低价位、中小套型普通商品住房用地,盐城市,响水县,响水县新城建设发展有限公司,228国道南侧、326省道西侧、渤海大街北侧,70,挂牌出让,,9397,,2018,2018年9月,2018年9月30日,59688,1.002.50,1,2.5,,响水县新港建设发展有限公司,,,,,,,,,,,,,,2019年5月1日,2022年4月30日
1691,中低价位、中小套型普通商品住房用地,盐城市,响水县,响水县新港建设发展有限公司,228国道南侧、326省道西侧、渤海大街北侧,70,挂牌出让,,9207,,2018,2018年9月,2018年9月30日,58548,1.002.50,1,2.5,,响水县新港建设发展有限公司,,,,,,,,,,,,,,2019年5月1日,2022年4月30日
1692,中低价位、中小套型普通商品住房用地,盐城市,响水县,响水县新港建设发展有限公司,228国道南侧、326省道西侧、渤海大街北侧,70,挂牌出让,,10856,,2018,2018年9月,2018年9月30日,69085,1.002.50,1,2.5,,响水县新港建设发展有限公司,,,,,,,,,,,,,,2019年5月1日,2022年4月30日
1693,中低价位、中小套型普通商品住房用地,盐城市,响水县,响水县新港建设发展有限公司,228国道南侧、326省道西侧、渤海大街北侧,70,挂牌出让,,10719,,2018,2018年9月,2018年9月30日,68147,1.002.50,1,2.5,,响水县新港建设发展有限公司,,,,,,,,,,,,,,2019年5月1日,2022年4月30日
1694,中低价位、中小套型普通商品住房用地,盐城市,响水县,响水县新港建设发展有限公司,228国道南侧、326省道西侧、渤海大街北侧,70,挂牌出让,,4129,,2018,2018年9月,2018年9月30日,26244,1.002.00,1,2,,响水县新港建设发展有限公司,,,,,,,,,,,,,,2019年5月1日,2022年4月30日
1695,中低价位、中小套型普通商品住房用地,盐城市,响水县,盐城市金璧置业有限公司,金海路西侧、灌河路北侧,70,挂牌出让,,6995,,2018,2018年9月,2018年9月30日,23814,1.002.60,1,2.6,,盐城市金璧置业有限公司,,,,,,,,,,,,,,2019年5月1日,2022年4月30日
1696,医卫慈善用地,盐城市,射阳县,新建老年日间照料项目,兴桥镇诚民居委会青华线北侧地块,,划拨,,34.8572,,2018,2018年9月,2018年9月27日,2830,0.001.10,0,1.1,,射阳县兴桥镇夕阳红日照中心,,,,,,,,,,,,,,2019年3月26日,2021年3月25日
1697,其他普通商品住房用地,盐城市,盐都区,盐城市盐都交通建设发展有限公司,盐龙街道办纬五路北、秦川路西,70,挂牌出让,,48756.6185,,2018,2018年9月,2018年9月26日,82151,1.002.20,1,2.2,,盐城市盐都交通建设发展有限公司,,,,,,,,,,,,,,2020年1月26日,2023年1月25日
1698,工业用地,盐城市,建湖县,建湖县高氏农副产品冷藏有限公司新上水产品加工项目,上冈镇冈西居委会五组,50,挂牌出让,,431.1,,2018,2018年9月,2018年9月26日,23950,1.001.20,1,1.2,,建湖县高氏农副产品冷藏有限公司,,,,,,,,,,,,,,2019年4月11日,2021年4月10日
1699,中低价位、中小套型普通商品住房用地,盐城市,阜宁县,串阳路北地块,经济开发区码头居委会,批发零售用地40年，中低价位、中小套型普通商品住房用地70年,挂牌出让,,13518,,2018,2018年9月,2018年9月26日,60366.53,1.501.60,1.5,1.6,,江苏弘林恒源投资发展有限公司,,,,,,,,,,,,,,2018年12月12日,2020年12月12日
1700,中低价位、中小套型普通商品住房用地,盐城市,阜宁县,串场河东、串阳路北地块,经济开发区码头居委会,中低价位、中小套型普通商品住房用地70年，批发零售用地40年,挂牌出让,,1935,,2018,2018年9月,2018年9月26日,13066.94,1.501.60,1.5,1.6,,南京河川建设工程有限公司,,,,,,,,,,,,,,2018年12月12日,2020年12月12日
1701,中低价位、中小套型普通商品住房用地,盐城市,阜宁县,协鑫大道西侧、串阳路北地块,经济开发区码头居委会,批发零售用地40年，中低价位、中小套型普通商品住房用地70年,挂牌出让,,6409,,2018,2018年9月,2018年9月26日,30000,1.501.60,1.5,1.6,,江苏弘林恒源投资发展有限公司,,,,,,,,,,,,,,2018年12月12日,2020年12月12日
1702,工业用地,盐城市,建湖县,盐城鹏润新材料有限公司年产30万吨特种添加剂项目,上冈镇大团村一组,50,挂牌出让,,340.056,,2018,2018年9月,2018年9月26日,18892,0.701.20,0.7,1.2,,盐城鹏润新材料有限公司,,,,,,,,,,,,,,2019年4月11日,2021年4月10日
1703,公路用地,盐城市,滨海县,滨海县东海大道工程项目用地,滨海县境内,,划拨,,0,,2018,2018年9月,2018年9月26日,355137,0.000.00,0,1,,滨海县交通运输局,,,,,,,,,,,,,,2018年10月26日,2020年7月16日
1704,工业用地,盐城市,射阳县,盐城市宏泰交通工程有限公司,射阳县合德镇兴业路北侧、德利泰电器西侧地块二,50,挂牌出让,,191.8771,,2018,2018年9月,2018年9月26日,9993.6,0.702.50,0.7,2.5,,盐城市宏泰交通工程有限公司,,,,,,,,,,,,,,2019年5月31日,2021年5月30日
1705,公共设施用地,盐城市,东台市,东台新抽水站,惠阳路南、站前路西侧,,划拨,,0,,2018,2018年9月,2018年9月25日,16052,0.000.30,0,0.3,,东台市农村水利工程建设处,,,,,,,,,,,,,,2019年5月25日,2021年5月25日
1706,工业用地,盐城市,建湖县,江苏金沐霖水务科技有限公司新上年产40000台（套）智能环保设备项目,沿河镇东夏居委会孙垜组,50,挂牌出让,,262.1025,,2018,2018年9月,2018年9月25日,15885,0.701.20,0.7,1.2,,江苏金沐霖水务科技有限公司,,,,,,,,,,,,,,2019年4月11日,2021年4月10日
1707,工业用地,盐城市,建湖县,江苏超惠环保科技有限公司年产10台（套）废气、废水处理成套设备项目,上冈镇复兴村一组,50,挂牌出让,,359.28,,2018,2018年9月,2018年9月25日,19960,0.701.20,0.7,1.2,,江苏超惠环保科技有限公司,,,,,,,,,,,,,,2019年4月11日,2021年4月10日
1708,公路用地,盐城市,滨海县,滨海县站前路工程项目用地,滨海县境内,,划拨,,0,,2018,2018年9月,2018年9月25日,142057,0.000.00,0,1,,滨海县人民政府,,,,,,,,,,,,,,2018年11月25日,2020年11月15日
1709,公路用地,盐城市,滨海县,滨海县人民路北延（上跨沈海高速连接线至公园东路）工程项目用地,滨海县境内,,划拨,,0,,2018,2018年9月,2018年9月25日,15440,0.000.00,0,1,,滨海县交通运输局,,,,,,,,,,,,,,2018年11月25日,2020年4月16日
1710,公路用地,盐城市,滨海县,滨海县滨海港投资开发公司新建宋公大道工程项目用地,滨海县境内,,划拨,,0,,2018,2018年9月,2018年9月25日,37122,0.000.00,0,1,,滨海县滨海港投资开发公司,,,,,,,,,,,,,,2018年11月25日,2020年7月16日
1711,公路用地,盐城市,滨海县,滨海县滨海港投资开发有限公司建设听海路工程项目用地,滨海县境内,,划拨,,0,,2018,2018年9月,2018年9月25日,9558,0.000.00,0,1,,滨海县滨海港投资开发有限公司,,,,,,,,,,,,,,2018年11月25日,2020年11月25日
1712,公路用地,盐城市,滨海县,滨海医药产业园开发有限公司新建时珍路工程项目用地,滨海县境内,,划拨,,0,,2018,2018年9月,2018年9月25日,14183,0.000.00,0,1,,滨海医药产业园开发有限公司,,,,,,,,,,,,,,2018年11月25日,2020年4月3日
1713,公路用地,盐城市,滨海县,滨海县交通实业有限公司建设人民路北延（瓯北路-站前路）工程项目用地,滨海县境内,,划拨,,0,,2018,2018年9月,2018年9月25日,88694,0.000.00,0,1,,滨海县交通实业有限公司,,,,,,,,,,,,,,2018年11月25日,2020年11月15日
1714,铁路用地,盐城市,滨海县,江苏省新建连云港至盐城铁路（盐城段）,滨海县境内,,划拨,,0,,2018,2018年9月,2018年9月25日,1108051,0.000.00,0,1,,滨海县交通运输局,,,,,,,,,,,,,,2018年11月25日,2020年11月15日
1715,公共设施用地,盐城市,阜宁县,城南新区A地块安置点,阜宁县哈尔滨路北、徐州路东,,划拨,,0,,2018,2018年9月,2018年9月25日,28590.3,1.001.60,1,1.6,,阜宁县住房和城乡建设局,,,,,,,,,,,,,,2018年10月5日,2020年10月5日
1716,公共设施用地,盐城市,阜宁县,崔湾安置楼,苏州路东、无锡路西、长春路北,,划拨,,0,,2018,2018年9月,2018年9月25日,51338.73,1.001.60,1,1.6,,阜宁县住房和城乡建设局,,,,,,,,,,,,,,2018年10月5日,2020年10月5日
1717,公共设施用地,盐城市,滨海县,110千伏陶湾（樊集）输变电工程项目,滨海县境内,,划拨,,0,,2018,2018年9月,2018年9月25日,4631,1.001.50,1,1.5,,滨海县供电局,,,,,,,,,,,,,,2018年11月25日,2020年11月15日
1718,工业用地,盐城市,建湖县,盐城宠佳科技有限公司生物可降解塑料宠物拾便袋项目,庆丰镇唐庄居委会二组,50,挂牌出让,,78.1275,,2018,2018年9月,2018年9月21日,4735,1.001.20,1,1.2,,盐城宠佳科技有限公司,,,,,,,,,,,,,,2019年4月11日,2021年4月10日
1719,工业用地,盐城市,建湖县,盐城市永富科技有限公司新上年产800辆工程装载作业车配件项目,庆丰镇唐庄居委会二组,50,挂牌出让,,141.3225,,2018,2018年9月,2018年9月21日,8565,0.701.20,0.7,1.2,,盐城市永富科技有限公司,,,,,,,,,,,,,,2019年4月11日,2021年4月10日
1720,工业用地,盐城市,滨海县,深南科技滨海有限公司,八巨镇民营园,50,挂牌出让,,291.17,,2018,2018年9月,2018年9月20日,18664.9,0.700.00,0.7,0.7,,深南科技滨海有限公司,,,,,,,,,,,,,,2020年9月19日,2022年9月23日
1721,工业用地,盐城市,建湖县,江苏鸿洋包装印刷有限公司高档彩印包装项目,芦沟镇五联居委会一组,50,挂牌出让,,242.352,,2018,2018年9月,2018年9月19日,14688,0.001.20,0,1.2,,江苏鸿洋包装印刷有限公司,,,,,,,,,,,,,,2019年4月11日,2021年4月10日
1722,工业用地,盐城市,建湖县,建湖县鑫业粮油有限公司年加工30000吨粮食项目,高作镇涔庄村五组,50,挂牌出让,,217.9485,,2018,2018年9月,2018年9月19日,13209,1.001.20,1,1.2,,建湖县鑫业粮油有限公司,,,,,,,,,,,,,,2019年4月11日,2021年4月10日
1723,其他商服用地,盐城市,亭湖区,盐城大洋湾长乐健康发展有限公司,盐城市亭湖区南洋镇新洋经济合作社一组,40,挂牌出让,,2312.583,,2018,2018年9月,2018年9月18日,15366,0.000.50,0,0.5,,盐城大洋湾长乐健康发展有限公司,,,,,,,,,,,,,,2019年9月18日,2022年9月18日
1724,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇新洋经济合作社一组,40,挂牌出让,,2069.215,,2018,2018年9月,2018年9月18日,10525,0.000.80,0,0.8,,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2019年9月18日,2022年9月18日
1725,工业用地,盐城市,大丰市,盐城鼎阳机械制造有限公司,南阳镇民心村一组、二组,50,挂牌出让,,407.69,,2018,2018年9月,2018年9月18日,20907,0.701.20,0.7,1.2,,盐城鼎阳机械制造有限公司,,,,,,,,,,,,,,2019年3月19日,2021年3月19日
1726,工业用地,盐城市,大丰市,盐城市大丰区长荣建材有限公司,草堰镇丁溪村,50,挂牌出让,,153.18,,2018,2018年9月,2018年9月18日,7855,0.701.20,0.7,1.2,,盐城市大丰区长荣建材有限公司,,,,,,,,,,,,,,2019年3月19日,2021年3月19日
1727,工业用地,盐城市,射阳县,射阳申德机械制造有限公司,射阳经济开发区人民西路南侧兴腾路东侧,50,挂牌出让,,1150.2792,,2018,2018年9月,2018年9月18日,68469,0.702.50,0.7,2.5,,射阳申德机械制造有限公司,,,,,,,,,,,,,,2019年5月30日,2021年5月29日
1728,工业用地,盐城市,射阳县,射阳三德机械制造有限公司,射阳经济开发区小洋河南侧兴腾路东侧,50,挂牌出让,,1031.9736,,2018,2018年9月,2018年9月18日,61427,0.702.50,0.7,2.5,,射阳三德机械制造有限公司,,,,,,,,,,,,,,2019年5月30日,2021年5月29日
1729,工业用地,盐城市,大丰市,迈杰科输配电设备江苏有限公司,开发区同圣村三组、四组,50,挂牌出让,,949.79,,2018,2018年9月,2018年9月18日,48707,0.701.50,0.7,1.5,,迈杰科输配电设备江苏有限公司,,,,,,,,,,,,,,2019年3月19日,2021年3月19日
1730,其他商服用地,盐城市,盐都区,江苏华岗材料科技发展有限公司,大冈镇冈中社区凤楼村,40,协议出让,,81.597,,2018,2018年9月,2018年9月17日,1383,0.000.49,0,0.49,,江苏华岗材料科技发展有限公司,,,,,,,,,,,,,,2018年9月13日,2018年9月13日
1731,中低价位、中小套型普通商品住房用地,盐城市,响水县,响水县灌江新城建设发展有限公司,228国道南侧、326省道西侧、渤海大街北侧,70,挂牌出让,,1731,,2018,2018年9月,2018年9月17日,11513,1.002.00,1,2,,响水县灌江新城建设发展有限公司,,,,,,,,,,,,,,2019年3月1日,2022年2月28日
1732,中低价位、中小套型普通商品住房用地,盐城市,响水县,响水县灌江新城建设发展有限公司,228国道南侧、326省道西侧、渤海大街北侧,70,挂牌出让,,9706,,2018,2018年9月,2018年9月17日,64726,1.002.50,1,2.5,,响水县灌江新城建设发展有限公司,,,,,,,,,,,,,,2019年3月1日,2022年2月28日
1733,工业用地,盐城市,响水县,响水县灌江新城建设发展有限公司,运河镇运西村境内、204国道东侧,50,挂牌出让,,5409,,2018,2018年9月,2018年9月17日,103034,0.801.20,0.8,1.2,,响水县灌江新城建设发展有限公司,,,,,,,,,,,,,,2019年3月1日,2022年2月28日
1734,仓储用地,盐城市,建湖县,江苏建湖粮食产业发展有限公司新建项目,建阳镇瓦瓷村三组,50,挂牌出让,,614.8224,,2018,2018年9月,2018年9月17日,28464,0.701.20,0.7,1.2,,江苏建湖粮食产业发展有限公司,,,,,,,,,,,,,,2018年12月31日,2020年12月30日
1735,中低价位、中小套型普通商品住房用地,盐城市,响水县,响水县灌江新城建设发展有限公司,228国道南侧、326省道西侧、渤海大街北侧,70,挂牌出让,,4846,,2018,2018年9月,2018年9月17日,32301,1.002.50,1,2.5,,响水县灌江新城建设发展有限公司,,,,,,,,,,,,,,2019年3月1日,2022年2月28日
1736,公共设施用地,盐城市,阜宁县,南方花苑南侧安置点,万达路南、澳门路北、徐州路西,,划拨,,0,,2018,2018年9月,2018年9月16日,56276.63,1.001.90,1,1.9,,阜宁县住房和城乡建设局,,,,,,,,,,,,,,2018年9月26日,2020年9月26日
1737,工业用地,盐城市,滨海县,江苏雷乐思洁具有限公司,滨海县八滩镇民营创业园,50,挂牌出让,,457.27,,2018,2018年9月,2018年9月12日,27218.4,0.700.00,0.7,0.7,,江苏雷乐思洁具有限公司,,,,,,,,,,,,,,2020年8月13日,2022年8月19日
1738,工业用地,盐城市,盐城市本级,捷威动力电池项目,盐城经济技术开发区新城街道办事处东滩村二组,50,挂牌出让,,3369.1826,,2018,2018年9月,2018年9月12日,126661,1.002.00,1,2,,捷威动力工业江苏有限公司,,,,,,,,,,,,,,2019年5月12日,2021年5月12日
1739,其他普通商品住房用地,盐城市,盐城市本级,苏州世茂置业有限公司,盐城市城南新区新都街道办事处东进居委会一组,70,挂牌出让,,163633.5,,2018,2018年9月,2018年9月11日,145452,1.002.00,1,2,,苏州世贸置业有限公司,,,,,,,,,,,,,,2019年11月11日,2022年11月11日
1740,工业用地,盐城市,射阳县,江苏农宝斋农业科技有限公司,射阳县洋马镇农宝斋公司西侧,50,挂牌出让,,31.2586,,2018,2018年9月,2018年9月11日,2141,0.702.50,0.7,2.5,,江苏农宝斋农业科技有限公司,,,,,,,,,,,,,,2019年5月16日,2021年5月15日
1741,公园与绿地,盐城市,射阳县,绿化、边角地,射阳县海通镇通港路西侧,,划拨,,,,2018,2018年9月,2018年9月10日,216,,,1,,射阳县海通镇人民政府,,,,,,,,,,,,,,2019年5月10日,2021年5月7日
1742,公共设施用地,盐城市,射阳县,兴桥公共设施用地,射阳县兴桥镇,,划拨,,,,2018,2018年9月,2018年9月10日,458,1.002.00,1,2,,射阳县兴桥镇人民政府,,,,,,,,,,,,,,2019年2月22日,2021年2月22日
1743,工业用地,盐城市,滨海县,盐城长灏车辆零部件有限公司,八巨镇民营园,50,挂牌出让,,255.47,,2018,2018年9月,2018年9月7日,16169,0.700.00,0.7,0.7,,盐城长灏车辆零部件有限公司,,,,,,,,,,,,,,2020年9月25日,2022年9月9日
1744,商务金融用地,盐城市,盐城市本级,盐城市城南新区开发建设投资有限公司,盐城市城南新区新都街道办事处民富居委会二组,70,挂牌出让,,2947.9464,,2018,2018年9月,2018年9月6日,7857,1.001.30,1,1.3,,盐城市城南新区开发建设投资有限公司,,,,,,,,,,,,,,2019年10月24日,2022年10月24日
1745,工业用地,盐城市,滨海县,滨海嘉科电子有限公司,滨海县八滩镇民营创业园,50,挂牌出让,,131.61,,2018,2018年9月,2018年9月5日,7928.5,0.700.00,0.7,0.7,,滨海嘉科电子有限公司,,,,,,,,,,,,,,2020年8月19日,2022年8月18日
1746,商务金融用地,盐城市,盐城市本级,特色小镇商业用地,盐城经济技术开发区新城街道北舍村,40,挂牌出让,,7715.442,,2018,2018年9月,2018年9月5日,31948,0.000.50,0,0.5,,盐城智尚特色小镇投资发展有限公司,,,,,,,,,,,,,,2019年8月5日,2022年8月5日
1747,工业用地,盐城市,东台市,东台市陶朱公机械有限公司,许河镇许北村三组,50,挂牌出让,,87.5251,,2018,2018年9月,2018年9月5日,5179,0.700.00,0.7,0.7,,东台市陶朱公机械有限公司,,,,,,,,,,,,,,2019年5月5日,2020年5月5日
1748,工业用地,盐城市,射阳县,江苏沙印集团射阳印染有限公司,射阳县临海镇沙印集团西侧,50,挂牌出让,,1093.4007,,2018,2018年9月,2018年9月3日,74381,0.702.50,0.7,2.5,,江苏沙印集团射阳印染有限公司,,,,,,,,,,,,,,2019年5月16日,2021年5月15日
1749,工业用地,盐城市,射阳县,江苏沙印集团射阳印染有限公司,射阳县临海镇沙印八分厂北侧,50,挂牌出让,,14.0238,,2018,2018年9月,2018年9月3日,954,0.702.50,0.7,2.5,,江苏沙印集团射阳印染有限公司,,,,,,,,,,,,,,2019年5月16日,2021年5月15日
1750,工业用地,盐城市,射阳县,江苏盛泰克纺织印染有限公司,射阳县临海镇江苏盛泰克纺织西侧,50,挂牌出让,,329.0742,,2018,2018年9月,2018年9月3日,22386,0.702.50,0.7,2.5,,江苏盛泰克纺织印染有限公司,,,,,,,,,,,,,,2019年5月16日,2021年5月15日
1751,工业用地,盐城市,射阳县,江苏七彩纺织染整有限公司,射阳县临海镇江苏七彩纺织染整有限公司北侧,50,挂牌出让,,203.6538,,2018,2018年9月,2018年9月3日,13854,0.702.50,0.7,2.5,,江苏七彩纺织染整有限公司,,,,,,,,,,,,,,2019年5月16日,2021年5月15日
1752,工业用地,盐城市,东台市,江苏嘉茂地毯有限公司,三仓镇新元居委会四组,50,挂牌出让,,172.125,,2018,2018年9月,2018年9月3日,10125,0.800.00,0.8,0.8,,江苏嘉茂地毯有限公司,,,,,,,,,,,,,,2019年5月3日,2020年11月3日
1753,工业用地,盐城市,射阳县,射阳农水集团蒜业有限公司,射阳县千秋镇陈李线西侧、工业三号线北侧,50,挂牌出让,,529.4003,,2018,2018年9月,2018年9月3日,37021,0.702.50,0.7,2.5,,射阳农水集团蒜业有限公司,,,,,,,,,,,,,,2019年5月16日,2021年5月15日
1754,工业用地,盐城市,东台市,江苏富乐德半导体科技有限公司,城东新区川东南路南、西洋河西侧,50,挂牌出让,,334.1275,,2018,2018年8月,2018年8月31日,19093,0.800.00,0.8,0.8,,江苏富乐德半导体科技有限公司,,,,,,,,,,,,,,2019年4月30日,2022年4月30日
1755,工业用地,盐城市,东台市,江苏富乐德石英科技有限公司,城东新区川东南路南、西洋河西侧,50,挂牌出让,,285.3725,,2018,2018年8月,2018年8月31日,16307,0.800.00,0.8,0.8,,江苏富乐德石英科技有限公司,,,,,,,,,,,,,,2019年4月30日,2022年4月30日
1756,医卫慈善用地,盐城市,东台市,时堰中心卫生院整体搬迁,时堰镇新嵇村,,划拨,,0,,2018,2018年8月,2018年8月31日,40006,0.501.10,0.5,1.1,,东台市时堰中心卫生院,,,,,,,,,,,,,,2019年4月30日,2021年4月30日
1757,工业用地,盐城市,滨海县,江苏雷凯粘胶制品有限公司,蔡桥民营创业园,50,挂牌出让,,173.3,,2018,2018年8月,2018年8月30日,11180.5,0.700.00,0.7,0.7,,江苏雷凯粘胶制品有限公司,,,,,,,,,,,,,,2020年9月18日,2022年9月23日
1758,工业用地,盐城市,射阳县,江苏好运鸽机械有限公司,射阳县合德镇宏业路南侧四中沟北侧,50,挂牌出让,,196.3302,,2018,2018年8月,2018年8月29日,9966,0.702.50,0.7,2.5,,江苏好运鸽机械有限公司,,,,,,,,,,,,,,2019年4月30日,2021年4月29日
1759,工业用地,盐城市,阜宁县,恒锐环保地块,阜城街道办事处缪黄村四组,50,挂牌出让,,474,,2018,2018年8月,2018年8月28日,22025.77,0.702.00,0.7,2,,江苏恒锐环保科技有限公司,,,,,,,,,,,,,,2018年10月16日,2020年10月16日
1760,工业用地,盐城市,阜宁县,木制品加工项目,羊寨镇镇东居委会二组,50,挂牌出让,,245,,2018,2018年8月,2018年8月28日,14598.26,0.701.20,0.7,1.2,,盐城市沪凌木业有限公司,,,,,,,,,,,,,,2018年10月16日,2020年10月16日
1761,工业用地,盐城市,阜宁县,机械加工项目,羊寨镇镇东居委会二组,50,挂牌出让,,49,,2018,2018年8月,2018年8月28日,2906.3,0.701.20,0.7,1.2,,阜宁县新富机械科技有限公司,,,,,,,,,,,,,,2018年10月16日,2019年10月16日
1762,工业用地,盐城市,阜宁县,电子加工项目,羊寨镇镇东居委会二组,50,挂牌出让,,46,,2018,2018年8月,2018年8月28日,2722.85,0.701.20,0.7,1.2,,阜宁县新富机械科技有限公司,,,,,,,,,,,,,,2018年10月16日,2019年10月16日
1763,公园与绿地,盐城市,射阳县,新城区绿化,新城区,,划拨,,,,2018,2018年8月,2018年8月28日,196,,,1,,射阳县人民政府,,,,,,,,,,,,,,2019年6月7日,2022年6月7日
1764,工业用地,盐城市,阜宁县,果品加工项目,羊寨镇镇东居委会二组,50,挂牌出让,,67,,2018,2018年8月,2018年8月28日,3931.74,0.701.20,0.7,1.2,,盐城御至鼎新农业发展科技有限公司,,,,,,,,,,,,,,2018年10月16日,2019年10月16日
1765,工业用地,盐城市,射阳县,江苏新柏塑料制品有限公司,射阳县盘湾镇恩召机械有限公司北侧,50,挂牌出让,,83.7828,,2018,2018年8月,2018年8月27日,5661,0.702.50,0.7,2.5,,江苏新柏塑料制品有限公司,,,,,,,,,,,,,,2019年4月30日,2021年4月29日
1766,工业用地,盐城市,射阳县,盐城布敦道路材料有限公司,射阳县兴桥镇西移大沟东侧,50,挂牌出让,,446.0026,,2018,2018年8月,2018年8月27日,30758.8,0.702.50,0.7,2.5,,盐城布敦道路材料有限公司,,,,,,,,,,,,,,2019年4月30日,2021年4月29日
1767,中低价位、中小套型普通商品住房用地,盐城市,盐城市本级,步凤商住用地,盐城经济技术开发区步凤镇伍龙居委会,70,挂牌出让,,5394.7245,,2018,2018年8月,2018年8月27日,29723,1.002.00,1,2,,徐以林,,,,,,,,,,,,,,2019年7月27日,2022年7月27日
1768,公共设施用地,盐城市,盐城市本级,育才110千伏输变电工程,盐城市城南新区新都街道办事处益丰居委会五组,,划拨,,0,,2018,2018年8月,2018年8月27日,3280,0.29,0.29,0.29,,国网江苏省电力有限公司盐城供电分公司,,,,,,,,,,,,,,2019年11月27日,2022年11月25日
1769,公共设施用地,盐城市,射阳县,气象服务业务用房,射阳县特殊教育学校南侧、全民健身中心东侧,,划拨,,138.467,,2018,2018年8月,2018年8月27日,5822,0.001.50,0,1.5,,射阳县气象局,,,,,,,,,,,,,,2019年2月22日,2021年2月21日
1770,工业用地,盐城市,盐城市本级,绿叶日化用品研发、生产项目,盐城经济技术开发区新城街道南舍村、蔡墩村,50,挂牌出让,,7021.1328,,2018,2018年8月,2018年8月26日,265952,1.002.00,1,2,,绿叶科技产业园（盐城）有限公司,,,,,,,,,,,,,,2019年6月26日,2021年6月26日
1771,廉租住房用地,盐城市,阜宁县,城东村安置点建设项目（地块一）,阜宁县阜城镇城东花苑东侧,,划拨,,0,,2018,2018年8月,2018年8月26日,6466.73,1.301.50,1.3,1.5,,阜宁县人民政府阜城街道办事处,,,,,,,,,,,,,,2018年9月6日,2020年9月6日
1772,公共设施用地,盐城市,阜宁县,城东村安置点建设项目（地块二）,阜宁县阜城镇城东花苑东侧,,划拨,,0,,2018,2018年8月,2018年8月26日,22107.64,1.301.50,1.3,1.5,,阜宁县人民政府阜城街道办事处,,,,,,,,,,,,,,2018年9月6日,2020年9月6日
1773,科教用地,盐城市,响水县,江苏中奥首府置业有限公司,天马路南侧、东一路西侧,50,挂牌出让,,5824,,2018,2018年8月,2018年8月24日,22336,1.001.80,1,1.8,,江苏中奥首府置业有限公司,,,,,,,,,,,,,,2019年2月1日,2022年1月31日
1774,其他商服用地,盐城市,滨海县,滨海二二八服务区管理有限公司,盐城滨海港经济区境内国道228西侧,40,挂牌出让,,5301.844,,2018,2018年8月,2018年8月24日,51176.1,0.000.70,0,0.7,,滨海二二八服务区管理有限公司,,,,,,,,,,,,,,2018年10月25日,2020年10月25日
1775,工业用地,盐城市,滨海县,滨海县昧洋企业管理服务有限公司,正红镇全民创业园,50,挂牌出让,,85.67,,2018,2018年8月,2018年8月23日,5527.2,0.700.00,0.7,0.7,,滨海县昧洋企业管理服务有限公司,,,,,,,,,,,,,,2020年8月28日,2022年8月19日
1776,工业用地,盐城市,滨海县,盐城森威电子科技有限公司,蔡桥永裕村境内,50,挂牌出让,,466.48,,2018,2018年8月,2018年8月23日,29979.2,0.700.00,0.7,0.7,,盐城森威电子科技有限公司,,,,,,,,,,,,,,2020年8月21日,2022年8月27日
1777,机场用地,盐城市,射阳县,射阳通用机场,开发区伍份村,,划拨,,63.4443,,2018,2018年8月,2018年8月23日,4500,0.000.50,0,0.5,,江苏三维交通集团有限公司,,,,,,,,,,,,,,2019年2月23日,2021年2月22日
1778,批发零售用地,盐城市,阜宁县,东沟海亚庄园北地块,东沟镇镇南村四组,40,挂牌出让,,856,,2018,2018年8月,2018年8月22日,12741.43,0.003.50,0,3.5,,江苏昆仑能源有限公司,,,,,,,,,,,,,,2018年11月6日,2020年11月6日
1779,批发零售用地,盐城市,阜宁县,城河路南地块,阜城街道办事处发城西居委会二组,40,挂牌出让,,432,,2018,2018年8月,2018年8月22日,6381.14,1.201.50,1.2,1.5,,刘长军,,,,,,,,,,,,,,2018年10月10日,2020年10月10日
1780,仓储用地,盐城市,射阳县,射阳县兴进商贸有限公司,射阳县黄沙港镇临海高等级公路东侧人民路南侧,50,挂牌出让,,198.925,,2018,2018年8月,2018年8月21日,9125,0.702.50,0.7,2.5,,射阳县兴进商贸有限公司,,,,,,,,,,,,,,2019年4月26日,2021年4月25日
1781,公园与绿地,盐城市,射阳县,新城区绿化,新城区,,划拨,,,,2018,2018年8月,2018年8月21日,48232,,,1,,射阳县人民政府,,,,,,,,,,,,,,2019年5月30日,2022年5月30日
1782,公共设施用地,盐城市,盐城市本级,新城变电池充电站,盐城市城南新区新河街道办事处新墩社区居委会,,划拨,,0,,2018,2018年8月,2018年8月20日,8676,0.25,0.25,0.25,,国网江苏省电力有限公司盐城供电分公司,,,,,,,,,,,,,,2018年12月20日,2021年12月20日
