编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
103,工业用地,连云港市,赣榆区,江苏百利达钢丸有限公司,柘汪镇马站村,50,挂牌,336,,2020,2020年1月,2020年1月8日,1.2015,12015,0.7,8410.5,江苏百利达钢丸有限公司,,,,,,,,,,,,,,2020年3月31日,2022年3月31日
104,工业用地,连云港市,赣榆区,连云港秀博新材料有限公司,柘汪镇东林子村,50,挂牌,272,,2020,2020年1月,2020年1月8日,1.0086,10086,0.7,7060.2,连云港秀博新材料有限公司,,,,,,,,,,,,,,2020年3月31日,2022年3月31日
105,工业用地,连云港市,赣榆区,江苏丽鑫实业有限公司,柘汪镇小王坊村,50,挂牌,325,,2020,2020年1月,2020年1月8日,1.0786,10786,0.7,7550.2,江苏丽鑫实业有限公司,,,,,,,,,,,,,,2020年3月31日,2022年3月31日
106,工业用地,连云港市,赣榆区,江苏省镔鑫钢铁集团有限公司,柘汪镇大王坊村,50,挂牌,4740,,2020,2020年1月,2020年1月8日,17.5937,175937,0.7,123155.9,江苏省镔鑫钢铁集团有限公司,,,,,,,,,,,,,,2020年3月31日,2022年3月31日
107,工业用地,连云港市,东海县,新建年产800万平方米装饰板项目,东海县李埝乡扶贫产业园园区内、310国道北侧,50,挂牌,690,,2020,2020年1月,2020年1月8日,3.2864,32864,0.8,26291.2,连云港港星建材有限公司,,,,,,,,,,,,,,2020年2月18日,2021年12月31日
108,工业用地,连云港市,东海县,新建年产储量40万吨仓储项目,东海县李埝乡310国道北侧,50,挂牌,150,,2020,2020年1月,2020年1月8日,0.7232,7232,0.8,5785.6,连云港港星建材有限公司,,,,,,,,,,,,,,2020年2月18日,2021年12月31日
109,仓储用地,连云港市,灌云县,江苏鑫港业供应链管理有限公司,县临港产业区、海堤路南侧,50,挂牌,216,,2020,2020年1月,2020年1月6日,1.1691,11691,1.2,14029.2,江苏鑫港业供应链管理有限公司,,,,,,,,,,,,,,2020年9月6日,2023年9月5日
111,工业用地,连云港市,连云区,盛虹炼化一体化项目（化工装置区及全厂性中间罐区）,连云区陬山路北、石化三路西,50,挂牌,48454,,2020,2020年1月,2020年1月6日,226.4162,2264162,0.6,1358497.2,盛虹炼化（连云港）有限公司,,,,,,,,,,,,,,2020年7月6日,2022年7月5日
112,工业用地,连云港市,海州区,江苏瑞蚨祥新材料科技有限公司,海州开发区三家村路南、经四路西,30,挂牌,456,,2020,2020年1月,2020年1月3日,2.6206,26206,1,26206,江苏瑞蚨祥新材料科技有限公司,,,,,,,,,,,,,,2020年4月30日,2022年4月30日
113,工业用地,连云港市,海州区,江苏中玖石墨烯科技有限公司,海州开发区通灌南路东、园三路北,30,挂牌,641,,2020,2020年1月,2020年1月3日,3.6806,36806,1,36806,江苏鸿昇贸易有限公司,,,,,,,,,,,,,,2020年4月30日,2022年4月30日
115,工业用地,连云港市,海州区,江苏寅昊智能装备有限公司,海州开发区通灌南路东、梧桐路南,30,挂牌,523,,2020,2020年1月,2020年1月3日,3.0005,30005,1,30005,江苏寅昊智能装备有限公司,,,,,,,,,,,,,,2020年4月30日,2022年4月30日
