编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
62,教育用地,连云港市,海州区,苍梧新华苑幼儿园,连云港市海州区九龙路北、文苑路西,,划拨,0,,2020,2020年3月,2020年3月4日,0.43123,4312.3,2.8,12074.44,连云港市苍梧房地产开发有限公司,,,,,,,,,,,,,,2020年6月9日,2021年6月8日
63,零售商业用地,连云港市,连云区,栖霞路步行街商业综合体,连云区栖霞路、东园路交叉口东北侧,40年，40年，40年，40年,挂牌,1760,,2020,2020年3月,2020年3月4日,0.3911,3911,1.2,4693.2,连云港海润置业有限公司,,,,,,,,,,,,,,2021年1月3日,2023年1月2日
64,其他商服用地,连云港市,海州区,海州区南北大街2号楼北大街51号底层门面,海州区南北大街2号楼北大街51号底层门面,40,协议,4.1528,,2020,2020年3月,2020年3月2日,0.002619,26.19,1,26.19,李洋,,,,,,,,,,,,,,2020年3月3日,2020年3月4日
65,其他商服用地,连云港市,海州区,海州区建设中路70号教师公寓一层门面,海州区建设中路70号教师公寓一层门面,40,协议,29.9848,,2020,2020年3月,2020年3月2日,0.020601,206.01,1,206.01,连云港师范高等专科学校,,,,,,,,,,,,,,2020年3月2日,2020年3月3日
66,其他商服用地,连云港市,海州区,海州区玉带新村二期棕苑9号楼8号门面房,海州区玉带新村二期棕苑9号楼8号门面房,40,协议,1.3703,,2020,2020年3月,2020年3月2日,0.000949,9.49,1,9.49,严开贵 孙兆霞,,,,,,,,,,,,,,2020年3月2日,2020年3月3日
67,其他商服用地,连云港市,海州区,海州区紫云街玉河路6-4号楼底层18号门面房,海州区紫云街玉河路6-4号楼底层18号门面房,40,协议,2.6976,,2020,2020年3月,2020年3月2日,0.001979,19.79,1,19.79,武林,,,,,,,,,,,,,,2020年3月2日,2020年3月3日
68,其他商服用地,连云港市,海州区,海州区龙河小区A号楼底层门面1-5轴线东一半号房,海州区龙河小区A号楼底层门面1-5轴线东一半号房,40,协议,1.7836,,2020,2020年3月,2020年3月2日,0.001158,11.58,1,11.58,武海波、王静,,,,,,,,,,,,,,2020年3月2日,2020年3月3日
69,其他商服用地,连云港市,海州区,海州区南北大街4号楼底层门面35号,海州区南北大街4号楼底层门面35号,40,协议,2.4731,,2020,2020年3月,2020年3月2日,0.001623,16.23,1,16.23,王志娟,,,,,,,,,,,,,,2020年3月2日,2020年3月3日
70,其他商服用地,连云港市,海州区,海州区海昌南路110-45号门面,海州区海昌南路110-45号门面,40,协议,17.024,,2020,2020年3月,2020年3月2日,0.008245,82.45,1,82.45,曹士堂 刘娟,,,,,,,,,,,,,,2020年3月2日,2020年3月3日
72,殡葬用地,连云港市,连云区,连云港市人文纪念园工程,连云区徐新公路北、242省道东,,划拨,0,,2020,2020年2月,2020年2月26日,80.602,806020,0.2,161204,连云港市人文纪念园有限公司,,,,,,,,,,,,,,2020年2月28日,2022年2月28日
