用途,成交日期,成交价格,受让单位
F1住宅混合公建用地、A33基础教育用地,2019-02-02,183000,天津北方泽茂企业管理有限公司和北京煦腾房地产开发有限公司联合体
R2二类居住用地,2019-02-01,189000,曲水鹏盛天创业投资管理有限公司
R2二类居住用地、A33基础教育用地,2019-02-02,430000,北京万科企业有限公司和国开东方城镇发展投资有限公司联合体
R2二类居住用地、A33基础教育用地,2019-02-02,188000,北京通州房地产开发有限责任公司
R2二类居住用地、T6区域综合交通枢纽用地、S4社会停车场用地,2019-02-01,160000,北京骏乐企业管理咨询有限公司
R2二类居住用地、F2公建混合住宅用地,2019-02-01,340800,华通置业有限公司和北京茂康企业管理有限公司联合体
R2二类居住用地、A33基础教育用地,2019-01-31,495300,首金盛创（天津）置业发展有限公司和北京新城万隆房地产开发有限公司联合体
R2二类居住用地、A33基础教育用地,2019-01-31,666000,北京万科企业有限公司和深圳市创邺企业管理有限公司联合体
R2二类居住用地,2019-01-31,255000,北京住总房地产开发有限责任公司、北京通州投资发展有限公司和北京住总置业有限公司联合体
A334托幼用地、F3其他类多功能用地、R2二类居住用地,,,
R2二类居住用地、A33基础教育用地,2019-01-31,84000,中建一局集团房地产开发有限公司
R2二类居住用地,,,
R2二类居住用地、A33基础教育用地,2019-01-28,79200,北京怀柔科学城建设发展有限公司
R2二类居住用地、A4体育用地、A334托幼用地,,,
R2二类居住用地、A8社区综合服务设施用地、S32公交场站设施用地、U17邮政设施用地,,,
R2二类居住用地、B1商业用地、A33基础教育用地,2019-01-28,143500,北京北投置业有限公司和北京通州投资发展有限公司联合体
R2二类居住用地,2019-01-17,206000,北京润置商业运营管理有限公司、北京天恒正同资产管理有限公司和北京建工地产有限责任公司联合体
R2二类居住用地、A33基础教育用地,2019-01-17,40800,北京隽成房地产开发有限公司
,2019-01-17,16825.07,中关村医疗器械园有限公司
工业用地,2019-01-16,10661.43446,北京亦庄盛元投资开发有限公司
,2019-01-17,13936.73,北京民海生物科技有限公司
R2二类居住用地、B4综合性商业金融服务业用地、A33基础教育用地,2019-01-11,372000,北京京投置地房地产有限公司、北京郭公庄投资管理公司和北京市基础设施投资有限公司联合体
,2019-01-03,1658.02,北京银都天盛科技有限公司
,2019-01-03,1659.76,北京联东金木投资有限公司
,2018-12-29,2221.274,北京生物医药产业基地发展有限公司
M1一类工业用地,2019-01-11,3271.5038,北京龙源开关设备有限责任公司
M1一类工业用地,2019-01-14,10703.6564,北京岳氏安防科技有限公司
R2二类居住用地、B4综合性商业金融服务业用地,2018-12-29,690000,北京建工地产有限责任公司、北京首都开发股份有限公司和北京润置商业运营管理有限公司联合体
R2二类居住用地、B1商业用地、S4社会停车场用地、A33基础教育用地、U22环卫设施用地,2018-12-24,255500,北京银地房地产开发有限责任公司、北京京粮置业有限公司、北京三元嘉业房地产开发有限公司联合体
R2二类居住用地,2018-12-11,204000,北京尚恒睿信商业运营管理有限公司、北京联华基业房地产开发有限公司、北京炎焱燚商业管理有限公司和北京首都开发股份有限公司联合体
R2二类居住用地,2018-12-11,92000,北京拓景商务服务有限公司
R2二类居住用地、A61机构养老用地、A33基础教育用地,2018-12-04,233000,北京新城金郡房地产开发有限公司
R2二类居住用地、A33基础教育用地,2018-12-04,88500,北京润置商业运营管理有限公司
R2二类居住用地,2018-11-26,450000,深圳市威卓投资咨询有限公司和北京首都开发股份有限公司联合体
R2二类居住用地,2018-11-26,77900,北京恒意房地产开发有限公司
B4综合性商业金融服务业用地,,,
R2二类居住用地,2018-11-26,8200,北京檀营鑫房地产开发有限公司
B14旅馆用地、R2二类居住用地,2018-11-26,81650,北京富力通达房地产开发有限公司、华通置业有限公司和北京嘉晨置业合伙企业（有限合伙）联合体
B4综合性商业金融服务业用地,2018-11-26,132000,时代好未来教育科技（北京）有限公司
R2二类居住用地,2018-11-26,584000,中铁置业集团北京有限公司
R2二类居住用地,2018-11-26,94000,北京城建新城投资开发有限公司
