编号,用途,省市,区县,宗地名称,宗地位置,出让年限 ,交易方式,起始价（万元）,成交价格（万元）,溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
1344,,徐州市,沛  县,江苏省徐州市沛县鹿楼镇八堡村民委员会建设安置区,沛县鹿楼镇八堡村,70,挂牌,,131,,2019,12,2019/12/9,0.9452,945.2,2,,江苏省徐州市沛县鹿楼镇八堡村民委员会,,,,,,,,,,,,,,2020/2/9,2021/2/8
1345,,徐州市,沛  县,江苏益兴集团有限公司建设康馨名樾,沛县南环路南侧、汉风路西侧,70,挂牌,,2792,,2019,12,2019/12/9,1.5507,1550.7,2.8,,江苏益兴集团有限公司,,,,,,,,,,,,,,2020/6/9,2023/6/8
1346,,徐州市,沛  县,江苏省徐州市沛县鹿楼镇八堡村民委员会建设安置区,沛县鹿楼镇八堡村,70,挂牌,,110,,2019,12,2019/12/9,0.807,807,2,,江苏省徐州市沛县鹿楼镇八堡村民委员会,,,,,,,,,,,,,,2020/2/9,2021/2/8
1347,,徐州市,沛  县,沛县中金置业投资有限公司建设开发区金融服务中心,沛县经济开发区汉润路西侧、酒厂南侧北侧,40,挂牌,,1437,,2019,12,2019/12/9,0.5631,563.1,2.5,,沛县中金置业投资有限公司,,,,,,,,,,,,,,2020/12/9,2022/12/8
1348,,徐州市,云龙区,保利淮海房地产发展有限公司徐州医学院北侧项目,徐州医学院北侧,70,挂牌,,119900,,2019,12,2019/12/9,12.31116,12311.16,1.82,,保利淮海房地产发展有限公司,,,,,,,,,,,,,,2020/12/9,2022/12/9
1349,,徐州市,九里区,徐州佳海置业有限公司腾达路北腾茂路南工业项目,腾达路北，腾茂路南,40,挂牌,,1374,,2019,12,2019/12/6,6.73392,6733.92,1.5,,徐州佳海置业有限公司,,,,,,,,,,,,,,2020/12/6,2022/12/6
1350,,徐州市,贾汪区,徐州市隆兴餐饮管理有限公司,贾汪区桃源路东侧，新城农贸市场北侧,40,挂牌,,39,,2019,12,2019/12/6,0.0288,28.8,1.5,,徐州市隆兴餐饮管理有限公司,,,,,,,,,,,,,,2020/12/1,2022/11/30
1351,,徐州市,贾汪区,徐州市展尚置业有限公司,贾汪区工业园区超越路南侧,70,挂牌,,955,,2019,12,2019/12/6,0.6368,636.8,2.8,,徐州市展尚置业有限公司,,,,,,,,,,,,,,2020/12/1,2022/11/30
1352,,徐州市,沛  县,栖山镇启蒙幼儿园,栖山镇后孟村南侧,50,挂牌,,72,,2019,12,2019/12/5,0.1905,190.5,1,,孟冉,,,,,,,,,,,,,,2020/6/5,2022/6/5
1353,,徐州市,丰  县,徐州顺恒机械制造有限公司（2019-G106）,欢口镇兴业路南、常新路东,50,挂牌,,272,,2019,12,2019/12/4,1.82032,1820.32,1,,徐州顺恒机械制造有限公司,,,,,,,,,,,,,,2021/6/4,2022/6/3
1354,,徐州市,丰  县,江苏鑫诚电动车科技发展有限公司（2019-G104),西城路东，盐电路北,50,挂牌,,1920,,2019,12,2019/12/4,12.04782,12047.82,1,,江苏鑫诚电动车科技发展有限公司,,,,,,,,,,,,,,2020/6/4,2021/6/3
1355,,徐州市,泉山区,徐州中淮置业有限公司二环西路东健康路北城镇住宅定销房,二环西路东，健康路北,70,挂牌,,19880,,2019,12,2019/12/4,4.02183,4021.83,3,,徐州中淮置业有限公司,,,,,,,,,,,,,,2020/6/4,2022/6/4
1356,,徐州市,邳州市,2019-86号地块  邳州市通源置业有限公司,文苑路北、苏州路南、长春路西,70,挂牌,,27316.14,,2019,12,2019/12/4,6.98837,6988.37,2.2,,邳州市通源置业有限公司,,,,,,,,,,,,,,2020/4/16,2023/4/15
1357,,徐州市,九里区,徐州贝诺科技产业园开发有限公司鑫源路北侧矿南路南侧工业项目,鑫源路北侧，矿南路南侧,40,挂牌,,1323,,2019,12,2019/12/4,6.486207,6486.207,1.5,,徐州贝诺科技产业园开发有限公司,,,,,,,,,,,,,,2020/12/4,2022/12/4
1358,,徐州市,丰  县,江苏归知堂药业有限公司2019-G96,果都路南，龙兴路东,50,挂牌,,1094,,2019,12,2019/12/4,6.861,6861,1,,江苏归知堂药业有限公司,,,,,,,,,,,,,,2020/6/4,2021/6/3
1359,,徐州市,沛  县,沛县城市投资开发有限公司建东风小区,康城家园西侧、东风路南侧,70,挂牌,,28640,,2019,12,2019/12/3,4.773,4773,2.8,,沛县城市投资开发有限公司,,,,,,,,,,,,,,2020/12/3,2023/12/3
1360,,徐州市,沛  县,沛县城市投资开发有限公司建东风小区,康城家园西侧、东风路南侧,70,挂牌,,22388,,2019,12,2019/12/3,3.7316,3731.6,2.8,,沛县城市投资开发有限公司,,,,,,,,,,,,,,2020/12/3,2023/12/3
1361,,徐州市,新沂市,新沂市千层岩矿泉水有限公司甜宝水厂（仓储用地）,新沂市华裕路东-北拓路北,50,挂牌,,140,,2019,12,2019/12/2,0.9703,970.3,1.5,,新沂市千层岩矿泉水有限公司甜宝水厂,,,,,,,,,,,,,,2020/7/2,2021/7/2
1362,,徐州市,沛  县,孔繁博建设河口孟庄幼儿园,河口镇孟庄卫生院北侧、河口中心敬老院西侧,50,挂牌,,164,,2019,12,2019/12/2,0.4139,413.9,1,,孔繁博,,,,,,,,,,,,,,2020/2/2,2021/2/1
1363,,徐州市,新沂市,中新钢铁集团有限公司（特钢生产线搬迁改造项目一期）,新沂市大桥西路南、神井大道东,50,挂牌,,77,,2019,12,2019/12/2,0.534,534,0.9,,中新钢铁集团有限公司,,,,,,,,,,,,,,2020/7/2,2021/7/2
1364,,徐州市,新沂市,中新钢铁集团有限公司（特钢生产线搬迁改造项目一期）,新沂市大桥西路南、神井大道东,50,挂牌,,1821,,2019,12,2019/12/2,12.6487,12648.7,0.9,,中新钢铁集团有限公司,,,,,,,,,,,,,,2020/7/2,2021/7/2
1365,,徐州市,新沂市,中新钢铁集团有限公司（特钢生产线搬迁改造项目一期工程）,新沂市大桥西路北、新墨河西,50,挂牌,,2092,,2019,12,2019/12/2,14.5267,14526.7,0.6,,中新钢铁集团有限公司,,,,,,,,,,,,,,2020/7/2,2021/7/2
1366,,徐州市,新沂市,徐州辰润房地产开发有限公司（东方名人湾）,新沂市锡沂高新区大桥东路南侧、湘江路西侧,70,挂牌,,1484,,2019,12,2019/12/2,0.7023,702.3,2.4,,徐州辰润房地产开发有限公司,,,,,,,,,,,,,,2020/10/5,2022/10/5
1367,,徐州市,新沂市,中新钢铁集团有限公司（新沂开发区对外贸易加工区工业厂房一期）,新沂市大桥西路北、新墨河西,50,挂牌,,183,,2019,12,2019/12/2,1.268,1268,0.6,,中新钢铁集团有限公司,,,,,,,,,,,,,,2020/7/2,2021/7/2
1368,,徐州市,沛  县,刘修华建设沛县清大幼儿园,安国镇藏金家园北侧、复兴路南侧,50,挂牌,,119,,2019,12,2019/12/2,0.2912,291.2,1,,刘修华,,,,,,,,,,,,,,2020/6/2,2022/6/2
1369,,徐州市,沛  县,沛县城市投资开发有限公司建设金融中心,正阳路东侧、沛公路北侧,70,挂牌,,245,,2019,11,2019/11/29,0.1085,108.5,1,,沛县城市投资开发有限公司,,,,,,,,,,,,,,2020/1/29,2021/1/29
1370,,徐州市,新沂市,新沂市城市投资发展有限公司（工业用地）,新沂市高流镇玮二路北、经四路东,50,挂牌,,661,,2019,11,2019/11/29,4.5852,4585.2,1.6,,新沂市城市投资发展有限公司,,,,,,,,,,,,,,2020/6/29,2021/6/29
1371,,徐州市,新沂市,新沂市城市投资发展有限公司（新沂市开发区对外贸易加工区工业厂房一期）,新沂市神井大道西、北京西路北,50,挂牌,,537,,2019,11,2019/11/29,3.7247,3724.7,1.5,,新沂市城市投资发展有限公司,,,,,,,,,,,,,,2020/6/29,2021/6/29
1372,,徐州市,新沂市,新沂市城市投资发展有限公司（新沂开发区对外贸易加工区工业厂房）,新沂市大桥西路南、神井大道西,50,挂牌,,2151,,2019,11,2019/11/29,14.9355,14935.5,1.5,,新沂市城市投资发展有限公司,,,,,,,,,,,,,,2020/6/29,2021/6/29
1373,,徐州市,沛  县,沛县房屋综合开发总公司建设金域香城二期,汉邦路西侧、韩信路北侧,70,挂牌,,9494,,2019,11,2019/11/29,2.2316,2231.6,2.8,,沛县房屋综合开发总公司,,,,,,,,,,,,,,2020/11/29,2023/11/28
1374,,徐州市,新沂市,新沂市城市投资发展有限公司（新沂开发区对外贸易加工区工业厂房一期）,新沂市神井大道西、北京西路北,50,挂牌,,741,,2019,11,2019/11/29,5.1447,5144.7,1.5,,新沂市城市投资发展有限公司,,,,,,,,,,,,,,2020/6/29,2021/6/29
1375,,徐州市,沛  县,华宇地产有限公司建设华宇悦城二期,汉城路西侧、萧何路南侧、汉邦路东侧,70,挂牌,,9906,,2019,11,2019/11/29,3.3019,3301.9,2,,华宇地产有限公司,,,,,,,,,,,,,,2020/5/29,2023/5/28
1376,,徐州市,睢宁县,徐州美亚纺织有限公司建工业用地,开发区安康路东侧、美亚纺织北侧,43,挂牌,,69,,2019,11,2019/11/29,0.460021,460.021,2,,徐州美亚纺织有限公司,,,,,,,,,,,,,,2020/3/29,2022/3/29
1377,,徐州市,新沂市,江苏陕普防水材料科技有限公司（陕普新型防水材料）,新沂市纬四路南、经三路东,50,挂牌,,893,,2019,11,2019/11/29,6.1987,6198.7,0.6,,江苏陕普防水材料科技有限公司,,,,,,,,,,,,,,2020/6/29,2021/6/29
1378,,徐州市,泉山区,徐州市美的新城房地产发展有限公司学府路南理想城西城镇住宅,学府路南，理想城西,70,挂牌,,86400,,2019,11,2019/11/28,4.2492,4249.2,2.4,,徐州市美的新城房地产发展有限公司,,,,,,,,,,,,,,2020/11/28,2022/11/28
1379,,徐州市,新沂市,新沂经济开发区建设发展有限公司（神井三期）,新沂市人民西路南、贵州路东,40,挂牌,,7084,,2019,11,2019/11/28,3.9374,3937.4,2,,新沂经济开发区建设发展有限公司,,,,,,,,,,,,,,2020/6/29,2022/6/29
1380,,徐州市,新沂市,新沂经济开发区建设发展有限公司（神井三期）,新沂市人民西路南、贵州路西,70,挂牌,,8463,,2019,11,2019/11/28,4.7014,4701.4,2.5,,新沂经济开发区建设发展有限公司,,,,,,,,,,,,,,2020/6/29,2022/6/29
1381,,徐州市,新沂市,新沂经济开发区建设发展有限公司（神井三期）,新沂市人民西路南、贵州路西,70,挂牌,,9092,,2019,11,2019/11/28,5.0507,5050.7,2.5,,新沂经济开发区建设发展有限公司,,,,,,,,,,,,,,2020/6/29,2022/6/29
1382,,徐州市,新沂市,新沂经济开发区建设发展有限公司（神井三期）,新沂市人民西路南、贵州路东,70,挂牌,,9172,,2019,11,2019/11/28,5.0974,5097.4,2.5,,新沂经济开发区建设发展有限公司,,,,,,,,,,,,,,2020/6/29,2022/6/29
1383,,徐州市,新沂市,新沂经济开发区建设发展有限公司（商务金融用地）,新沂市浙江路东、建业大街北,40,挂牌,,3596,,2019,11,2019/11/28,1.844,1844,4,,新沂经济开发区建设发展有限公司,,,,,,,,,,,,,,2020/6/29,2022/6/29
1384,,徐州市,新沂市,新沂经济开发区建设发展有限公司（商务）,新沂市江苏路西、建业大街北,40,挂牌,,3314,,2019,11,2019/11/28,1.8407,1840.7,3.5,,新沂经济开发区建设发展有限公司,,,,,,,,,,,,,,2020/6/29,2022/6/29
1385,,徐州市,新沂市,江苏新昇新纺织科技有限公司（年产2亿米化纤布料生产线）,新沂市重庆路西、海口路北,50,挂牌,,192,,2019,11,2019/11/28,1.3328,1332.8,0.8,,江苏新昇新纺织科技有限公司,,,,,,,,,,,,,,2020/6/29,2021/6/29
1386,,徐州市,铜山区,上海鸿迪投资集团有限公司项目用地,华山路西、玫瑰大道北侧,70,挂牌,,72130,,2019,11,2019/11/27,9.671,9671,1.5,,上海鸿迪投资集团有限公司,,,,,,,,,,,,,,2020/5/26,2023/5/26
1387,,徐州市,新沂市,新沂市港头公共服务有限公司（标房）,新沂市港头镇西外环路东、玮六路北,50,挂牌,,194,,2019,11,2019/11/27,1.3407,1340.7,1.5,,新沂市港头公共服务有限公司,,,,,,,,,,,,,,2020/6/29,2021/6/29
1388,,徐州市,沛  县,沛县歌风城镇建设有限公司建设新城实验小学睦邻中心,汉城路东侧、陈平路南侧,70,挂牌,,6804,,2019,11,2019/11/27,2.2679,2267.9,2.5,,沛县歌风城镇建设有限公司,,,,,,,,,,,,,,2020/5/27,2023/5/26
1389,,徐州市,徐州经济开发区,徐州璟悦房地产开发有限公司高新路西侧创业路南侧城镇住宅2019-96,高新路西侧，创业路南侧,70,挂牌,,44390,,2019,11,2019/11/27,4.380836,4380.836,2.2,,徐州璟悦房地产开发有限公司,,,,,,,,,,,,,,2020/11/27,2022/11/27
1390,,徐州市,睢宁县,徐州鸿丰高分子材料有限公司建工业用地,开发区规划纬九路北侧、朱官路东侧,43,挂牌,,214,,2019,11,2019/11/27,1.426515,1426.515,2,,徐州鸿丰高分子材料有限公司,,,,,,,,,,,,,,2020/3/27,2022/3/27
1391,,徐州市,沛  县,徐州东方运销实业集团有限公司建大屯东原加油加气站,东环路西侧、规划路北侧,40,挂牌,,5250,,2019,11,2019/11/27,0.4669,466.9,1,,徐州东方运销实业集团有限公司,,,,,,,,,,,,,,2020/11/27,2022/11/26
1392,,徐州市,睢宁县,睢宁凯驰汽车贸易有限公司建工业用地,开发区南环路南侧、104国道西侧,45,挂牌,,316,,2019,11,2019/11/26,2.106535,2106.535,2,,睢宁凯驰汽车贸易有限公司,,,,,,,,,,,,,,2019/12/26,2020/11/26
1393,,徐州市,泉山区,中海宏洋地产集团有限公司泉山区华美风景园城镇住宅,华美风景园,70,挂牌,,42300,,2019,11,2019/11/25,3.91599,3915.99,2.5,,中海宏洋地产集团有限公司,,,,,,,,,,,,,,2020/11/25,2022/11/25
1394,,徐州市,新沂市,新沂市交通投资有限公司（棋盘镇农产品航空配送中心）,新沂市棋盘镇新沂机场北,50,挂牌,,678,,2019,11,2019/11/25,4.702,4702,1.2,,新沂市交通投资有限公司,,,,,,,,,,,,,,2020/6/22,2021/6/22
1395,,徐州市,丰  县,徐州凯佳食品有限公司（2019-G93）,凤翔路南，振丰路西,50,挂牌,,4220,,2019,11,2019/11/25,26.4968,26496.8,1.2,,徐州凯佳食品有限公司,,,,,,,,,,,,,,2020/5/25,2021/5/24
1396,,徐州市,丰  县,丰县立华牧业有限公司（2019-G97）补供,果都路南，龙兴路西,50,挂牌,,32,,2019,11,2019/11/25,0.19535,195.35,1,,丰县立华牧业有限公司,,,,,,,,,,,,,,2020/5/25,2021/5/24
1397,,徐州市,丰  县,丰县常腾置业有限公司（2019-G101）,盐电路北，工农路西,48,挂牌,,209,,2019,11,2019/11/25,1.30651,1306.51,1,,丰县常腾置业有限公司,,,,,,,,,,,,,,2020/5/25,2021/5/24
1398,,徐州市,丰  县,江苏天新纺织有限公司（2019-G98）,果都路北，沙支河东路东,45,挂牌,,312,,2019,11,2019/11/25,1.95096,1950.96,0.8,,江苏天新纺织有限公司,,,,,,,,,,,,,,2019/12/25,2020/6/24
1399,,徐州市,丰  县,丰县常腾置业有限公司（2019-G100）,北环路北，工农路西侧,48,挂牌,,1085,,2019,11,2019/11/25,6.80535,6805.35,1,,丰县常腾置业有限公司,,,,,,,,,,,,,,2020/5/25,2021/5/24
1400,,徐州市,丰  县,徐州常佳机车有限公司（2019-G103）,北环路北，支农路西侧,50,挂牌,,148,,2019,11,2019/11/25,0.92345,923.45,1,,徐州常佳机车有限公司,,,,,,,,,,,,,,2020/5/25,2021/5/24
1401,,徐州市,丰  县,徐州常佳机车有限公司（2019-G102）,北环路北，工农路东侧,50,挂牌,,687,,2019,11,2019/11/25,4.30247,4302.47,1,,徐州常佳机车有限公司,,,,,,,,,,,,,,2020/5/25,2021/5/24
1402,,徐州市,丰  县,徐州冠华机械制造有限公司（2019-G99）补供,丰邑路东，果都路北,44,挂牌,,28,,2019,11,2019/11/25,0.1689,168.9,0.8,,徐州冠华机械制造有限公司,,,,,,,,,,,,,,2019/12/25,2020/6/24
1403,,徐州市,丰  县,徐州博枫木业有限公司（2019-G16）,宋楼镇驻地北，丰黄路西侧,50,挂牌,,753,,2019,11,2019/11/25,5.05313,5053.13,1,,徐州博枫木业有限公司,,,,,,,,,,,,,,2020/5/25,2021/5/24
1404,,徐州市,邳州市,住宅楼 邳州市润田建设有限公司,建设路东南阳街北,70,挂牌,,9134,,2019,11,2019/11/22,3.04456,3044.56,2.2,,邳州市润田建设有限公司,,,,,,,,,,,,,,2020/5/20,2023/5/19
1405,,徐州市,邳州市,住宅楼  邳州市润田建设有限公司,福州路西、辽河路南、南阳街北,70,挂牌,,20548,,2019,11,2019/11/22,6.84928,6849.28,2.2,,邳州市润田建设有限公司,,,,,,,,,,,,,,2020/5/20,2023/5/19
1406,,徐州市,邳州市,住宅楼  邳州市润田建设有限公司,顺德街东、瑞兴路西,70,挂牌,,23285.76,,2019,11,2019/11/22,6.064,6064,2,,邳州市润田建设有限公司,,,,,,,,,,,,,,2020/5/20,2023/5/19
1407,,徐州市,新沂市,新沂市城市投资发展有限公司（电商产业园）,新沂市新北路北、江苏路西,50,挂牌,,22,,2019,11,2019/11/22,0.0778,77.8,1.2,,新沂市城市投资发展有限公司,,,,,,,,,,,,,,2020/6/29,2021/6/29
1408,,徐州市,新沂市,新沂市城市投资发展有限公司（文博广场）,新沂市市府路北-钟吾路西,40,挂牌,,5691,,2019,11,2019/11/22,1.6213,1621.3,5.5,,新沂市城市投资发展有限公司,,,,,,,,,,,,,,2020/6/22,2022/6/22
1409,,徐州市,铜山区,徐州高新技术产业开发区国有资产经营有限公司科研用地,娇山湖东侧、银河路南侧,50,挂牌,,3252,,2019,11,2019/11/22,4.33613,4336.13,2,,徐州高新技术产业开发区国有资产经营有限公司,,,,,,,,,,,,,,2020/5/22,2023/5/22
1410,,徐州市,新沂市,新沂市城投置业有限公司（企业家创业园）,新沂市钟吾南路东-徐连高铁北,40,挂牌,,2204,,2019,11,2019/11/22,0.7733,773.3,2.5,,新沂市城投置业有限公司,,,,,,,,,,,,,,2020/8/26,2022/8/26
1411,,徐州市,新沂市,新沂市城市投资发展有限公司（城南农贸市场）,新沂市马陵山路南-新华路西,40,挂牌,,3781,,2019,11,2019/11/22,1.3267,1326.7,1.6,,新沂市城市投资发展有限公司,,,,,,,,,,,,,,2020/8/22,2022/8/22
1412,,徐州市,铜山区,徐州深国际综合物流港发展有限公司仓储用地,五环路南侧、206国道西侧,40,挂牌,,5577,,2019,11,2019/11/22,13.277446,13277.446,1,,徐州深国际综合物流港发展有限公司,,,,,,,,,,,,,,2020/5/22,2023/5/22
1413,,徐州市,铜山区,徐州沪彭交通发展有限公司工业项目,珠江路北、华夏路西,40,挂牌,,1215,,2019,11,2019/11/22,3.699014,3699.014,1,,徐州沪彭交通发展有限公司,,,,,,,,,,,,,,2020/5/22,2023/5/22
1414,,徐州市,铜山区,江苏永安置业有限公司工业项目,银山路西、连霍高速北,40,挂牌,,4326,,2019,11,2019/11/22,6.866557,6866.557,1,,江苏永安置业有限公司,,,,,,,,,,,,,,2020/5/22,2023/5/22
1415,,徐州市,铜山区,徐州工润实业发展有限公司住宅用地,珠江路南侧、长安路东侧,70,挂牌,,18500,,2019,11,2019/11/22,6.324229,6324.229,2.5,,徐州工润实业发展有限公司,,,,,,,,,,,,,,2020/11/22,2023/11/22
1416,,徐州市,邳州市,住宅楼 邳州市润田建设有限公司,顺德街东、瑞兴路西,70,挂牌,,21386.24,,2019,11,2019/11/22,5.571058,5571.058,2,,邳州市润田建设有限公司,,,,,,,,,,,,,,2020/5/20,2023/5/19
1417,,徐州市,邳州市,住宅楼  邳州市润田建设有限公司,文苑东路北、苏州路南、中山路东,70,挂牌,,21919.68,,2019,11,2019/11/22,5.664003,5664.003,2.2,,邳州市润田建设有限公司,,,,,,,,,,,,,,2020/5/20,2023/5/19
1418,,徐州市,邳州市,住宅楼 邳州市润田建设有限公司,辽河路南、建设路东,70,挂牌,,3436,,2019,11,2019/11/22,1.14533,1145.33,2.2,,邳州市润田建设有限公司,,,,,,,,,,,,,,2020/5/20,2023/5/19
1419,,徐州市,贾汪区,徐州康民有机农业发展有限公司,贾汪区耿集霞光大道南侧、民生路东侧、南环二路北侧,50,挂牌,,304,,2019,11,2019/11/21,1.3473,1347.3,1,,徐州康民有机农业发展有限公司,,,,,,,,,,,,,,2020/11/1,2022/10/31
1420,,徐州市,睢宁县,徐州创正新能源科技发展有限公司建工业用地,姚集镇石碑村境内、庆王路以南,50,挂牌,,301,,2019,11,2019/11/21,2.002655,2002.655,2,,徐州创正新能源科技发展有限公司,,,,,,,,,,,,,,2019/12/21,2020/11/21
1421,,徐州市,徐州经济开发区,句容弘源房地产开发有限公司三环东路以北白云东路以南城镇住宅用地,三环东路以北，白云东路以南,70,挂牌,,77360,,2019,11,2019/11/20,5.5982,5598.2,2.3,,句容弘源房地产开发有限公司,,,,,,,,,,,,,,2020/11/20,2022/11/20
1422,,徐州市,贾汪区,徐州普洛斯双楼仓储设施有限公司,贾汪区206国道东侧，华阳路南侧,50,挂牌,,59,,2019,11,2019/11/20,0.2297,229.7,1.2,,徐州普洛斯双楼仓储设施有限公司,,,,,,,,,,,,,,2020/11/1,2022/10/31
1423,,徐州市,睢宁县,睢宁港润热力发展有限公司建公共设施用地,付楼大沟北、睢河北路西,50,挂牌,,75,,2019,11,2019/11/19,0.200001,200.001,1.2,,睢宁刚润热力发展有限公司,,,,,,,,,,,,,,2020/8/19,2021/8/19
1424,,徐州市,贾汪区,江苏金致新能源车业有限公司,贾汪区工业园金致一期东侧,50,挂牌,,3808,,2019,11,2019/11/19,18.6651,18665.1,1,,江苏金致新能源车业有限公司,,,,,,,,,,,,,,2020/11/1,2022/10/31
1425,,徐州市,徐州经济开发区,徐州东篱农业发展有限公司徐庄镇毛庄村城镇住宅定销房,徐庄镇毛庄村,70,挂牌,,1605,,2019,11,2019/11/19,1.337058,1337.058,2.2,,徐州东篱农业发展有限公司,,,,,,,,,,,,,,2020/5/19,2021/11/19
1426,,徐州市,贾汪区,江苏金光电机科技有限公司,贾汪区中经四路东侧,50,挂牌,,31,,2019,11,2019/11/19,0.141,141,1,,江苏金光电机科技有限公司,,,,,,,,,,,,,,2020/11/1,2022/10/31
1427,,徐州市,贾汪区,江苏金美尚车业有限公司,徐州工业园区创新路南侧,50,挂牌,,385,,2019,11,2019/11/19,1.9001,1900.1,0.7,,江苏金美尚车业有限公司,,,,,,,,,,,,,,2020/11/1,2022/10/31
1428,,徐州市,贾汪区,江苏金光电机科技有限公司,贾汪区中经四路东侧,50,挂牌,,59,,2019,11,2019/11/19,0.2718,271.8,1,,江苏金光电机科技有限公司,,,,,,,,,,,,,,2020/11/1,2022/10/31
1429,,徐州市,贾汪区,江苏金美尚车业有限公司,徐州工业园区创新路南侧,50,挂牌,,20,,2019,11,2019/11/19,0.0961,96.1,0.7,,江苏金美尚车业有限公司,,,,,,,,,,,,,,2020/11/1,2022/10/31
1430,,徐州市,贾汪区,江苏金美尚车业有限公司,徐州工业园区创新路南侧,2,挂牌,,349,,2019,11,2019/11/19,1.7211,1721.1,0.7,,江苏金美尚车业有限公司,,,,,,,,,,,,,,2020/11/1,2022/10/31
1431,,徐州市,泉山区,保利淮海房地产发展有限公司学府路南城镇住宅,学府路南,70,挂牌,,129300,,2019,11,2019/11/19,7.80149,7801.49,2,,保利淮海房地产发展有限公司,,,,,,,,,,,,,,2020/11/19,2022/11/19
1432,,徐州市,贾汪区,徐州凯熠仓储服务有限公司,贾汪区疏港大道南侧、双楼港西侧、京杭运河北侧,50,挂牌,,2,,2019,11,2019/11/19,0.0066,6.6,1.2,,徐州凯熠仓储服务有限公司,,,,,,,,,,,,,,2020/11/1,2022/10/31
1433,,徐州市,贾汪区,徐州凯熠仓储服务有限公司,贾汪区疏港大道南侧、双楼港西侧、京杭运河北侧,50,挂牌,,5,,2019,11,2019/11/19,0.0189,18.9,0.7,,徐州凯熠仓储服务有限公司,,,,,,,,,,,,,,2020/11/1,2022/10/31
1434,,徐州市,贾汪区,江苏纽田食品有限公司,贾汪区252省道东侧、农谷大道南侧，,50,挂牌,,439,,2019,11,2019/11/18,1.8914,1891.4,1,,江苏纽田食品有限公司,,,,,,,,,,,,,,2020/11/1,2022/10/31
1435,,徐州市,贾汪区,徐州鑫全玻璃科技有限公司,贾汪区奋斗路西侧,50,挂牌,,343,,2019,11,2019/11/18,1.6809,1680.9,1,,徐州鑫全玻璃科技有限公司,,,,,,,,,,,,,,2020/11/1,2022/10/31
1436,,徐州市,徐州经济开发区,徐州璟悦房地产开发有限公司高新路西侧创业路南侧城镇住宅,高新路西侧，创业路南侧,70,挂牌,,41990,,2019,11,2019/11/18,4.147942,4147.942,2.2,,徐州璟悦房地产开发有限公司,,,,,,,,,,,,,,2020/11/18,2022/5/18
1437,,徐州市,泉山区,中海宏洋地产集团有限公司徐商公路南侧城镇住宅,徐商公路南侧,70,挂牌,,17020,,2019,11,2019/11/18,1.65598,1655.98,2.5,,中海宏洋地产集团有限公司,,,,,,,,,,,,,,2020/11/18,2022/5/18
1438,,徐州市,贾汪区,徐州瀚侨汽车配件有限公司,贾汪大道南侧,50,挂牌,,1362,,2019,11,2019/11/18,6.7235,6723.5,1,,徐州瀚侨汽车配件有限公司,,,,,,,,,,,,,,2020/11/1,2022/10/31
1439,,徐州市,云龙区,徐州新盛彭寓置业有限公司津浦东路东津浦东街南城镇住宅定销房,津浦东路东、津浦东街南,70,挂牌,,43620,,2019,11,2019/11/15,6.62857,6628.57,1.6,,徐州新盛彭寓置业有限公司,,,,,,,,,,,,,,2020/5/15,2022/5/15
1440,,徐州市,云龙区,天成润华集团有限公司彭城路宽段地下部分,彭城路宽段地下部分,40,挂牌,,800,,2019,11,2019/11/15,0.11392,113.92,1,,天成润华集团有限公司,,,,,,,,,,,,,,2020/11/15,2022/5/15
1441,,徐州市,睢宁县,睢宁港华燃气有限公司建公共设施用地,北环路北、德发路东,50,挂牌,,330,,2019,11,2019/11/15,1.026246,1026.246,1.5,,睢宁港华燃气有限公司,,,,,,,,,,,,,,2020/8/15,2023/8/15
1442,,徐州市,徐州市本级,徐州经济技术开发区锦绣路西侧1号地块徐州贝欧丽服饰有限公司,南至桃山路、东至锦绣路,40,挂牌,,280,,2019,11,2019/11/15,0.713409,713.409,1,,徐州贝欧丽服饰有限公司,,,,,,,,,,,,,,2020/11/15,2021/11/15
1443,,徐州市,睢宁县,江苏润创置业有限公司建商住用地,姚集镇故黄河南、房湾村东、324省道北,70,挂牌,,630,,2019,11,2019/11/15,0.697359,697.359,1.6,,江苏润创置业有限公司,,,,,,,,,,,,,,2020/8/15,2022/8/15
1444,,徐州市,睢宁县,江苏润创置业有限公司建商住用地,姚集镇故黄河南、房湾村东、324省道北,70,挂牌,,705,,2019,11,2019/11/15,0.781528,781.528,1.6,,江苏润创置业有限公司,,,,,,,,,,,,,,2020/8/15,2022/8/15
1445,,徐州市,泉山区,徐州市城市轨道交通有限责任公司淮塔东路以南其他商服,淮塔东路以南,40,挂牌,,6050,,2019,11,2019/11/14,0.722762,722.762,1.4,,徐州市城市轨道交通有限责任公司,,,,,,,,,,,,,,2020/11/14,2022/5/14
1446,,徐州市,贾汪区,徐州中润热力发展有限公司,贾汪区鹏程大道南侧,50,挂牌,,227,,2019,11,2019/11/14,0.5275,527.5,1.5,,徐州中润热力发展有限公司,,,,,,,,,,,,,,2020/11/1,2022/10/31
