编号,用途,省市,区县,宗地名称,宗地位置,出让年限 ,交易方式,起始价（万元）,成交价格（万元）,溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
26,,徐州市,丰  县,城镇燃气管道二期工程（大沙河镇调压站）济徐能源2019-31-HB,大沙河镇岳庄村,,划拨,,,,2020,1,2020/1/14,0.7,700,1,,,,,,,,,,,,,,,,2020/5/15,2021/5/14
27,,徐州市,丰  县,城镇燃气管道二期工程（欢口镇天燃气设备区）济徐能源2019-32-HB,欢口镇丰鱼旧路西，纬九路南侧,,划拨,,,,2020,1,2020/1/14,0.05069,50.69,1,,,,,,,,,,,,,,,,2020/5/15,2021/5/14
28,,徐州市,泉山区,中国矿业大学文昌校区东门及围墙项目,泉山区金山东路南、津浦铁路西,,划拨,,,,2019,12,2019/12/6,1.272889,1272.889,1,,,,,,,,,,,,,,,,2020/6/6,2021/12/6
29,,徐州市,丰  县,丰县欢口中学（室内运动场馆）,丰县欢口中学院内,,划拨,,,,2019,11,2019/11/18,0.14512,145.12,0.5,,,,,,,,,,,,,,,,2020/6/18,2021/6/17
30,,徐州市,丰  县,人民路小学西扩新建教学楼及附属设施（2019-1-XSHB）,人民路小学老校区西侧,,划拨,,,,2019,11,2019/11/12,1.24765,1247.65,0.5,,,,,,,,,,,,,,,,2020/5/12,2021/5/11
31,,徐州市,丰  县,丰县博雅实验学校建设项目（二期）（2019-2-XSHB）,丰县西城路东、北环路南,,划拨,,,,2019,11,2019/11/12,1.66482,1664.82,,,,,,,,,,,,,,,,,2020/5/12,2021/5/11
32,,徐州市,新沂市,新沂市草桥镇堰头幼儿园教学楼及附属工程,新沂市草桥镇堰头村,,划拨,,,,2019,6,2019/6/25,0.4039,403.9,1,,新沂市草桥镇人民政府,,,,,,,,,,,,,,2019/12/26,2020/12/26
33,,徐州市,新沂市,宿新高速公路北沟互通、马陵山互通连接线,唐店街道、马陵山镇,,划拨,,,,2019,6,2019/6/13,26.9582,26958.2,,,新沂市交通运输局,,,,,,,,,,,,,,2019/10/18,2020/10/18
34,,徐州市,丰  县,丰县开城建设工程有限公司（龙雾桥安置小区保障房项目）2019-12-HB,北环路南、东环路西,,划拨,,,,2019,6,2019/6/6,5.94216,5942.16,1,,丰县开城建设工程有限公司,,,,,,,,,,,,,,2020/3/6,2023/3/5
35,,徐州市,丰  县,丰县苏新新能源有限公司9.8MW光伏电站项目（2019-13-HB）,丰县王沟镇太行堤河西侧、张蒋河村东北部,,划拨,,,,2019,6,2019/6/4,0.02353,23.53,1,,丰县苏新新能源有限公司,,,,,,,,,,,,,,2019/8/4,2020/8/3
36,,徐州市,丰  县,丰县文体广电和旅游局（丰县文博园项目）2019-15-HB,南苑路北，丰邑大道西、通惠路南侧,,划拨,,,,2019,6,2019/6/4,6.78436,6784.36,0.5,,丰县文体广电和旅游局,,,,,,,,,,,,,,2019/12/4,2021/12/3
37,,徐州市,云龙区,徐州市城市轨道交通有限责任公司 轨道交通1号线一期工程17个站点(地下空间部分),轨道交通1号线一期工程17个站点(地下空间部分):轨道交通1号线一期工程杏山子站、韩山站、工农北路站、人民广场站、苏堤北路站、西安路站、彭城广场站、文化宫站、徐州火车站站、站东广场站、铜山路站、狮子山站、庆丰路站、学院东路站、1号路站、振兴路站、徐州东站站,,划拨,,,,2019,3,2019/3/20,19.496769,19496.769,,,徐州市城市轨道交通有限责任公司,,,,,,,,,,,,,,2019/9/20,2021/3/20
38,,徐州市,徐州经济开发区,徐州市城市轨道交通有限责任公司轨道交通1号线高铁停车场,徐州经济技术开发区徐海路以北、京福高速以西,,划拨,,,,2019,3,2019/3/20,10.096878,10096.878,,,徐州市城市轨道交通有限责任公司,,,,,,,,,,,,,,2019/9/20,2021/3/20
39,,徐州市,新沂市,京沪高速新沂服务区改扩建项目,高流镇沟埃村,,划拨,,,,2019,3,2019/3/18,3.463,3463,1.2,,江苏京沪高速有限公司,,,,,,,,,,,,,,2019/5/16,2020/5/16
40,,徐州市,泉山区,徐州市泉山区教育体育局泉山区老徐萧公路北侧、卧牛山西侧徐州市新火花学校建设项目,泉山区老徐萧公路北侧、卧牛山西侧,,划拨,,,,2019,3,2019/3/1,6.39372,6393.72,0.58,,徐州市泉山区教育体育局,,,,,,,,,,,,,,2019/9/1,2021/3/1
41,,徐州市,沛  县,杨屯镇采煤塌陷地再利用项目,杨屯镇卞庄村、刘官屯村,,划拨,,,,2019,2,2019/2/19,68.1275,68127.5,,,沛县兴田农村土地整理有限责任公司,,,,,,,,,,,,,,2019/4/19,2020/4/19
42,,徐州市,沛  县,杨屯镇采煤塌陷地再利用项目,杨屯镇卞庄村、刘官屯村,,划拨,,,,2019,2,2019/2/19,62.1166,62116.6,,,沛县兴田农村土地整理有限责任公司,,,,,,,,,,,,,,2019/4/19,2020/4/19
43,,徐州市,沛  县,龙固镇采煤塌陷地再利用项目,龙固镇集体、龙东村，杨屯镇旧姚桥村、西仲山村,,划拨,,,,2019,2,2019/2/19,63.5515,63551.5,,,沛县兴田农村土地整理有限责任公司,,,,,,,,,,,,,,2019/4/19,2020/4/19
44,,徐州市,沛  县,龙固镇采煤塌陷地再利用项目,龙固镇集体、龙东村，杨屯镇旧姚桥村、西仲山村,,划拨,,,,2019,2,2019/2/19,69.6156,69615.6,,,沛县兴田农村土地整理有限责任公司,,,,,,,,,,,,,,2019/4/19,2020/4/19
45,,徐州市,沛  县,安国镇采煤塌陷地再利用项目,安国镇集体、庙道口村，杨屯镇集体、东姚桥村、甘庄居委会、蒋海村、孟店居委会、南仲山村、杨屯村、张庄村,,划拨,,,,2019,2,2019/2/19,42.8208,42820.8,,,沛县兴田农村土地整理有限责任公司,,,,,,,,,,,,,,2019/4/19,2020/4/19
46,,徐州市,沛  县,杨屯镇采煤塌陷地再利用项目,杨屯镇集体、东姚桥村、彭官屯村、西姚桥居委会、张街居委会,,划拨,,,,2019,2,2019/2/19,65.0784,65078.4,,,沛县兴田农村土地整理有限责任公司,,,,,,,,,,,,,,2019/4/19,2020/4/19
47,,徐州市,沛  县,杨屯镇采煤塌陷地再利用项目,杨屯镇集体、东姚桥村、甘庄居委会、孟店居委会、彭官屯村、杨屯村、张街居委会,,划拨,,,,2019,2,2019/2/19,53.7246,53724.6,,,沛县兴田农村土地整理有限责任公司,,,,,,,,,,,,,,2019/4/19,2020/4/19
48,,徐州市,沛  县,杨屯镇采煤塌陷地再利用项目,杨屯镇东姚桥村、蒋海村、孔庄村、南仲山村、彭官屯村、西姚桥居委会、杨屯村、张街居委会,,划拨,,,,2019,2,2019/2/19,61.6391,61639.1,,,沛县兴田农村土地整理有限责任公司,,,,,,,,,,,,,,2019/4/19,2020/4/19
49,,徐州市,沛  县,杨屯镇采煤塌陷地再利用项目,杨屯镇蒋海村、孔庄村、南仲山村、杨屯村,,划拨,,,,2019,2,2019/2/19,55.0765,55076.5,,,沛县兴田农村土地整理有限责任公司,,,,,,,,,,,,,,2019/4/19,2020/4/19
50,,徐州市,沛  县,杨屯镇采煤塌陷地再利用项目,杨屯镇蒋海村、孔庄村、南仲山村、杨屯村，大屯镇小屯村,,划拨,,,,2019,2,2019/2/19,44.6194,44619.4,,,沛县兴田农村土地整理有限责任公司,,,,,,,,,,,,,,2019/4/19,2020/4/19
51,,徐州市,沛  县,龙固镇采煤塌陷地再利用项目,龙固镇三里居委会、张耿庄村,,划拨,,,,2019,2,2019/2/19,66.6352,66635.2,,,沛县兴田农村土地整理有限责任公司,,,,,,,,,,,,,,2019/4/19,2020/4/19
52,,徐州市,沛  县,龙固镇采煤塌陷地再利用项目,龙固镇刘官屯村、镇东居委会，杨屯镇卞庄村,,划拨,,,,2019,2,2019/2/19,67.3136,67313.6,,,沛县兴田农村土地整理有限责任公司,,,,,,,,,,,,,,2019/4/19,2020/4/19
53,,徐州市,沛  县,杨屯镇采煤塌陷地再利用项目,杨屯镇西仲山村,,划拨,,,,2019,2,2019/2/19,68.0384,68038.4,,,沛县兴田农村土地整理有限责任公司,,,,,,,,,,,,,,2019/4/19,2020/4/19
54,,徐州市,沛  县,龙固镇采煤塌陷地再利用项目,龙固镇三里居委会、中心二居委会、中心三居委会、中心一居委会,,划拨,,,,2019,2,2019/2/19,66.0206,66020.6,,,沛县兴田农村土地整理有限责任公司,,,,,,,,,,,,,,2019/4/19,2020/4/19
55,,徐州市,沛  县,龙固镇采煤塌陷地再利用项目,龙固镇后洼村、中心二居委会、中心三居委会、中心一居委会,,划拨,,,,2019,2,2019/2/19,45.0033,45003.3,,,沛县兴田农村土地整理有限责任公司,,,,,,,,,,,,,,2019/4/19,2020/4/19
