编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
1,社会福利用地,徐州市,新沂市,新沂市养老服务中心,新沂市新安街道205国道以南、平安路以北、华裕路以东,,划拨,,,,2020,2020年6月,2020年6月3日,1216,1.2,1459.2,新沂市民政局,,,,,,,,,,,,,,2020年12月29日,2021年12月29日
2,城镇住宅用地,徐州市,邳州市,2020-15地块工程项目邳州市恒润城市投资有限公司,苏州路北、成都路东,70,挂牌,,7025.2,,2020,2020年6月,2020年6月3日,18014.56,2.2,39632.032,邳州市恒润城市投资有限公司,,,,,,,,,,,,,,2021年2月18日,2024年2月17日
3,城镇住宅用地,徐州市,邳州市,2020-20地块工程项目邳州市恒润城市投资有限公司,站南路南、规划道路西、文苑东路北,70,挂牌,,5415.8,,2020,2020年6月,2020年6月3日,13889.24,2.2,30556.328,邳州市恒润城市投资有限公司,,,,,,,,,,,,,,2021年2月10日,2024年2月9日
4,工业用地,徐州市,沛县,江苏辉辰钢构科技有限公司建设年产10万吨钢结构及铁塔生产项目,张庄镇工业一路南侧、民福路东侧,50,挂牌,,807,,2020,2020年6月,2020年6月2日,28683,1.2,34419.6,江苏辉辰钢构科技有限公司,,,,,,,,,,,,,,2020年12月2日,2022年12月1日
5,公路用地,徐州市,邳州市,310国道连接线邳州市铁富镇人民政府,邳州市铁富镇,,划拨,,,,2020,2020年6月,2020年6月2日,34815.69,,0,邳州市铁富镇人民政府,,,,,,,,,,,,,,2020年8月2日,2021年8月2日
6,公路用地,徐州市,邳州市,x107工程（珠江路东段）邳州市住建局,东湖街道,,划拨,,,,2020,2020年6月,2020年6月2日,21934,,0,邳州市住建局,,,,,,,,,,,,,,2020年8月12日,2021年8月12日
7,公路用地,徐州市,邳州市,运河至龙池线道路建设工程邳州市住建局,炮车街道,,划拨,,,,2020,2020年6月,2020年6月2日,22727.95,,0,邳州市住建局,,,,,,,,,,,,,,2020年8月15日,2021年8月15日
8,公路用地,徐州市,邳州市,251省道连接线（赵墩镇）邳州市赵墩镇人民政府,赵墩镇,,划拨,,,,2020,2020年6月,2020年6月2日,50362.14,,0,邳州市赵墩镇人民政府,,,,,,,,,,,,,,2020年8月10日,2021年8月10日
9,教育用地,徐州市,新沂市,新沂市双塘镇第二幼儿园,新沂市双塘镇圣泉湖大道东、健康路北,,划拨,,,,2020,2020年6月,2020年6月1日,6493,0.65,4220.45,新沂市双塘镇第二幼儿园,,,,,,,,,,,,,,2020年12月29日,2021年12月29日
10,教育用地,徐州市,新沂市,高新区实验学校,新沂市无锡新沂高新区惠前街东侧、胜利街南侧、聚福园小区北侧、新长铁路西侧,,划拨,,,,2020,2020年6月,2020年6月1日,32200,1,32200,新沂市沭东新城投资开发有限公司,,,,,,,,,,,,,,2020年12月29日,2021年12月29日
11,教育用地,徐州市,新沂市,市府东路幼儿园,新沂市无锡新沂高新区实验学校东侧、胜利街南侧、聚福园小区北侧,,划拨,,,,2020,2020年6月,2020年6月1日,8320,0.65,5408,新沂市沭东新城投资开发有限公司,,,,,,,,,,,,,,2020年12月29日,2021年12月29日
12,教育用地,徐州市,沛县,徐州中金棚户区改造建设有限公司建设汤沐初级中学项目,任敖路北侧、汉文路东侧,50,挂牌,,4178,,2020,2020年5月,2020年5月28日,37134,1,37134,徐州中金棚户区改造建设有限公司,,,,,,,,,,,,,,2021年5月28日,2023年5月27日
13,教育用地,徐州市,沛县,沛县文礼教育实业有限公司建设沛县河口中学校区,河口镇纬五路南侧、经三路东侧,50,挂牌,,2810,,2020,2020年5月,2020年5月28日,46817,1,46817,沛县文礼教育实业有限公司,,,,,,,,,,,,,,2021年5月28日,2023年5月27日
14,教育用地,徐州市,沛县,沛县文礼教育实业有限公司建设沛县安国镇二郎庙小学项目,安国镇泗水路南侧、亚夫路西侧,50,挂牌,,1317,,2020,2020年5月,2020年5月28日,21938,1,21938,沛县文礼教育实业有限公司,,,,,,,,,,,,,,2021年5月28日,2023年5月27日
15,教育用地,徐州市,沛县,沛县文礼教育实业有限公司建设沛县鹿楼镇鸳楼小学迁建工程,鹿楼镇鸳楼中学南侧、闵提口新村西侧,50,挂牌,,1340,,2020,2020年5月,2020年5月28日,22330,1,22330,沛县文礼教育实业有限公司,,,,,,,,,,,,,,2021年5月28日,2023年5月27日
16,零售商业用地,徐州市,睢宁县,中国石油天然气股份有限公司江苏徐州销售分公司建零售商业用地,凌城镇612（原121省道）省道西侧、小清河东侧,40,挂牌,,1958,,2020,2020年5月,2020年5月28日,4586.03,0.7,3210.221,中国石油天然气股份有限公司江苏徐州销售分公司,,,,,,,,,,,,,,2021年2月28日,2023年2月28日
17,城镇住宅用地,徐州市,睢宁县,徐州市融晟翔房地产开发有限公司建商住用地,沙集镇府前路北侧、电商路西侧,70年，40年,挂牌,,4350,,2020,2020年5月,2020年5月28日,32618.13,1.8,58712.634,徐州市融晟翔房地产开发有限公司,,,,,,,,,,,,,,2021年2月28日,2024年2月28日
18,商务金融用地,徐州市,鼓楼区,徐州金桥国际商务区开发有限公司建商务金融用地,淮徐高速以东、创业路以北,40,挂牌,,11250,,2020,2020年5月,2020年5月28日,35697.7,4,142790.8,徐州金桥国际商务区开发有限公司,,,,,,,,,,,,,,2021年5月28日,2022年11月28日
19,城镇住宅用地,徐州市,邳州市,官湖农贸市场商业广场徐州茂业置业有限公司,官湖镇经四路东、经五路西，北京路北,70,挂牌,,4455.25,,2020,2020年5月,2020年5月28日,41830.7,2,83661.4,徐州茂业置业有限公司,,,,,,,,,,,,,,2020年8月18日,2022年5月18日
20,城镇住宅用地,徐州市,鼓楼区,徐州金桥国际商务区开发有限公司建城镇住宅用地,和平路东延北侧,70,挂牌,,4970,,2020,2020年5月,2020年5月28日,44180.78,2.2,97197.716,徐州金桥国际商务区开发有限公司,,,,,,,,,,,,,,2020年11月28日,2022年5月28日
21,其他商服用地,徐州市,邳州市,官湖银杏湖时广场徐州茂业置业有限公司,官湖镇邳苍路西，复兴路南,40,挂牌,,4549.3,,2020,2020年5月,2020年5月28日,13326.29,2.5,33315.725,徐州茂业置业有限公司,,,,,,,,,,,,,,2020年12月18日,2022年12月18日
22,城镇住宅用地,徐州市,鼓楼区,徐州金桥国际商务区开发有限公司建城镇住宅用地,和平路东延南侧,70,挂牌,,1280,,2020,2020年5月,2020年5月28日,11363.29,2.2,24999.238,徐州金桥国际商务区开发有限公司,,,,,,,,,,,,,,2020年11月28日,2022年5月28日
23,水工建筑用地,徐州市,铜山区,新区街道徐村村防洪堤项目2020(GXF)H-1,新区街道徐庄村,,划拨,,,,2020,2020年5月,2020年5月28日,8814,,0,徐州市铜山区水务局,,,,,,,,,,,,,,2020年11月28日,2023年11月28日
24,公路用地,徐州市,铜山区,206国道改线龙亭段一2020(GXF)H-5,新区街道龙亭村、三堡村,,划拨,,,,2020,2020年5月,2020年5月28日,153560,,0,徐州市铜山区交通运输局,,,,,,,,,,,,,,2021年5月28日,2024年5月28日
25,交通服务场站用地,徐州市,铜山区,206国道改线龙亭村道路设施用地地块二2020(GXF)H-9,新区街道龙亭村,,划拨,,,,2020,2020年5月,2020年5月28日,5737,,0,徐州市铜山区交通运输局,,,,,,,,,,,,,,2021年5月28日,2024年5月28日
26,交通服务场站用地,徐州市,铜山区,206国道改线龙亭村道路设施用地地块三2020(GXF)H-10,新区街道龙亭村,,划拨,,,,2020,2020年5月,2020年5月28日,10552,,0,徐州市铜山区交通运输局,,,,,,,,,,,,,,2021年5月28日,2024年5月28日
27,交通服务场站用地,徐州市,铜山区,206国道改线晁湖村道路设施用地2020(GXF)H-11,新区街道晁湖村,,划拨,,,,2020,2020年5月,2020年5月28日,4731,,0,徐州市铜山区交通运输局,,,,,,,,,,,,,,2021年5月28日,2024年5月28日
28,公路用地,徐州市,铜山区,206国道改线龙亭段二2020(GXF)H-6,新区街道龙亭村,,划拨,,,,2020,2020年5月,2020年5月28日,1815,,0,徐州市铜山区交通运输局,,,,,,,,,,,,,,2021年5月28日,2024年5月28日
29,城镇村道路用地,徐州市,铜山区,三堡街道万达路2020(GXF)H-13,三堡街道台上村,,划拨,,,,2020,2020年5月,2020年5月28日,19778,,0,徐州高新技术产业开发区社会事业局,,,,,,,,,,,,,,2021年5月28日,2024年5月28日
30,商务金融用地,徐州市,鼓楼区,徐州金桥国际商务区开发有限公司建商务金融用地,淮徐高速以东、创业路以北,40,挂牌,,10900,,2020,2020年5月,2020年5月27日,38248.71,4,152994.84,徐州金桥国际商务区开发有限公司,,,,,,,,,,,,,,2021年5月27日,2022年11月27日
31,公路用地,徐州市,铜山区,黄河路贯通工程托龙山段2020(GXF)H-2,新区街道托龙山社区,,划拨,,,,2020,2020年5月,2020年5月27日,61251,,0,徐州市铜山区交通运输局,,,,,,,,,,,,,,2020年11月27日,2023年11月27日
32,教育用地,徐州市,邳州市,第四中学扩建工程项目邳州市第四中学,珠江路北侧、第四中学东侧,,划拨,,,,2020,2020年5月,2020年5月26日,7458.55,2,14917.1,邳州市第四中学,,,,,,,,,,,,,,2020年7月10日,2022年7月10日
33,教育用地,徐州市,邳州市,学校江苏省车辐中等职业学校,车辐山镇枣泗路东侧,,划拨,,,,2020,2020年5月,2020年5月26日,89600.16,2,179200.32,江苏省车辐中等专业学校,,,,,,,,,,,,,,2020年10月1日,2021年10月1日
34,城镇住宅用地,徐州市,鼓楼区,徐州东篱农业发展有限公司建城镇住宅（定销房）用地,徐庄镇镇区，徐海路以南，刘婵河北侧,70,挂牌,,6410,,2020,2020年5月,2020年5月26日,56911.25,2.4,136587,徐州东篱农业发展有限公司,,,,,,,,,,,,,,2020年11月26日,2022年5月26日
35,工业用地,徐州市,沛县,徐州道元建材有限公司建设年产80万立方米预拌混凝土生产线,沛县安国镇二郎庙建材物流园、徐沛河西侧,50,挂牌,,715,,2020,2020年5月,2020年5月26日,19483,1.2,23379.6,徐州道元建材有限公司,,,,,,,,,,,,,,2020年11月26日,2021年11月25日
36,教育用地,徐州市,沛县,沛县第二中学迁建工程一期项目,正阳路东侧、韩信南路南侧、正阳东路西侧,,划拨,,,,2020,2020年5月,2020年5月25日,54746,1,54746,沛县教育局,,,,,,,,,,,,,,2020年11月25日,2022年11月24日
37,公路用地,徐州市,丰县,丰县交通建设投资发展有限公司（华张路项目）2020-06-HB,起于凤翔路交叉口止于北环路交叉处,,划拨,,,,2020,2020年5月,2020年5月25日,110121,,0,丰县交通建设投资发展有限公司,,,,,,,,,,,,,,2020年11月25日,2021年11月24日
38,公路用地,徐州市,丰县,丰县城市投资发展有限公司2020-07-HB（南苑路建设项目）,南环路与中阳大道之间，支农路西，西环路东,,划拨,,,,2020,2020年5月,2020年5月25日,89239.1,,0,丰县城市投资发展有限公司,,,,,,,,,,,,,,2020年11月25日,2021年11月24日
39,公用设施用地,徐州市,丰县,丰县城市管理局2020-08-HB（生活垃圾应急填埋场）,支农路与盐电路交叉口,,划拨,,,,2020,2020年5月,2020年5月25日,53347.4,1.5,80021.1,丰县城市管理局,,,,,,,,,,,,,,2020年11月25日,2021年11月24日
40,公路用地,徐州市,丰县,丰县交通建设投资发展有限公司2020-09-HB（济徐高速公路顺河互通项目）,顺河镇济徐高速公路与丰县301县道交叉处,,划拨,,,,2020,2020年5月,2020年5月25日,130917.7,,0,丰县交通建设投资发展有限公司,,,,,,,,,,,,,,2020年11月25日,2021年11月24日
41,公路用地,徐州市,丰县,丰县交通建设投资发展有限公司2020-10-HB（济徐高速公路顺河互通连接线项目）,起自欢口镇向西途经顺河镇、首羡镇止于苏鲁省界处，接山东省金乡县301县道，路线全长约23公里,,划拨,,,,2020,2020年5月,2020年5月25日,537037.5,,0,丰县交通建设投资发展有限公司,,,,,,,,,,,,,,2020年11月25日,2021年11月24日
42,教育用地,徐州市,丰县,丰县赵庄镇启蒙幼儿园2020-12-HB（北方之星幼儿园建设项目）,赵庄镇于庄西，赵首路东,,划拨,,,,2020,2020年5月,2020年5月25日,3355,1,3355,丰县赵庄镇启蒙幼儿园,,,,,,,,,,,,,,2020年11月25日,2021年11月24日
43,城镇住宅用地,徐州市,丰县,临沂隆丰行怡景房地产开发有限公司(2020-35)翡翠城北1-01A,南苑路南，工农路东侧,40年，70年,挂牌,,18198,,2020,2020年5月,2020年5月22日,48139.5,2.2,105906.9,临沂隆丰行怡景房地产开发有限公司,,,,,,,,,,,,,,2021年2月22日,2024年2月21日
44,城镇住宅用地,徐州市,丰县,临沂隆丰行怡景房地产开发有限公司(2020-36)翡翠城北1-01B,南苑路南，支农路西侧,40年，70年,挂牌,,17771,,2020,2020年5月,2020年5月22日,46923.9,2.2,103232.58,临沂隆丰行怡景房地产开发有限公司,,,,,,,,,,,,,,2021年2月22日,2024年2月21日
45,工业用地,徐州市,贾汪区,徐州博实唯汽车科技有限公司,贾汪区疏港大道南侧、双楼港办公区东侧,50,挂牌,,681,,2020,2020年5月,2020年5月22日,33591,1,33591,徐州博实唯汽车科技有限公司,,,,,,,,,,,,,,2021年5月1日,2023年4月30日
46,城镇住宅用地,徐州市,睢宁县,江苏爱特莱实业有限公司建商住用地,双沟镇徐沙河南、双灵路东,40年，70年,挂牌,,7500,,2020,2020年5月,2020年5月22日,68928.04,1.6,110284.864,江苏爱特莱实业有限公司,,,,,,,,,,,,,,2020年6月22日,2021年6月22日
47,城镇住宅用地,徐州市,睢宁县,江苏爱特莱实业有限公司建商住用地,双沟镇徐沙河南、规划双塔路东,40年，70年,挂牌,,7065,,2020,2020年5月,2020年5月22日,66082.38,1.6,105731.808,江苏爱特莱实业有限公司,,,,,,,,,,,,,,2020年6月22日,2021年6月22日
48,城镇住宅用地,徐州市,睢宁县,江苏爱特莱实业有限公司建商住用地,双沟镇徐沙河以南、规划双塔路东侧,40年，70年,挂牌,,5740,,2020,2020年5月,2020年5月22日,53675.96,1.6,85881.536,江苏爱特莱实业有限公司,,,,,,,,,,,,,,2020年6月22日,2021年6月22日
49,工业用地,徐州市,睢宁县,徐州郭楼商贸有限公司建工业用地,岚山镇韩一村境内、104国道北侧,50,挂牌,,273,,2020,2020年5月,2020年5月21日,11370.68,2,22741.36,徐州郭楼商贸有限公司,,,,,,,,,,,,,,2020年11月21日,2022年11月21日
50,城镇住宅用地,徐州市,睢宁县,江苏爱特莱实业有限公司建商住用地,双沟镇徐沙河以南、双灵路东侧,40年，70年,挂牌,,5035,,2020,2020年5月,2020年5月21日,46237.96,1.6,73980.736,江苏爱特莱实业有限公司,,,,,,,,,,,,,,2020年6月21日,2021年6月21日
51,工业用地,徐州市,经济技术开发区,徐州经济技术开发区徐州建机工程机械有限公司工业项目,徐贾快速路西侧,40,挂牌,,1620,,2020,2020年5月,2020年5月20日,95952.31,1,95952.31,徐州建机工程机械有限公司,,,,,,,,,,,,,,2021年5月20日,2022年11月20日
52,工业用地,徐州市,沛县,沛县新农农村建设有限公司建设商混站,沛县经济开发区昆明路北侧、沃德铝业西侧,50,挂牌,,1105,,2020,2020年5月,2020年5月19日,36052,1.8,64893.6,沛县新农农村建设有限公司,,,,,,,,,,,,,,2020年11月19日,2022年11月18日
53,工业用地,徐州市,沛县,徐州聚锦纺织科技有限公司建设年产4万吨棉纱项目,沛县经济开发区南环路南侧、海阔饲料西侧,50,挂牌,,469,,2020,2020年5月,2020年5月19日,20808,1.8,37454.4,徐州聚锦纺织科技有限公司,,,,,,,,,,,,,,2020年11月19日,2022年11月18日
54,工业用地,徐州市,沛县,徐州圣都金属科技有限公司建设年产1万吨超精细钢丝项目,沛县经济开发区汉兴路东侧、曹参路南侧,50,挂牌,,470,,2020,2020年5月,2020年5月19日,22004,1.8,39607.2,徐州圣都金属科技有限公司,,,,,,,,,,,,,,2020年11月19日,2022年11月18日
55,工业用地,徐州市,沛县,江苏永源电动科技有限公司建设年产5万台套新能源汽车零部件项目,沛县经济开发区汉兴路东侧、曹参路南侧,50,挂牌,,403,,2020,2020年5月,2020年5月19日,20629,1.8,37132.2,江苏永源电动科技有限公司,,,,,,,,,,,,,,2020年11月19日,2022年11月18日
56,仓储用地,徐州市,睢宁县,江苏坤威仓储有限公司建仓储用地,沛县经济开发区汉兴路东侧、曹参路南侧,50,挂牌,,165,,2020,2020年5月,2020年5月18日,10948.36,2,21896.72,江苏坤威仓储有限公司,,,,,,,,,,,,,,2020年6月18日,2021年5月18日
57,零售商业用地,徐州市,鼓楼区,中国石化销售股份有限公司江苏徐州石油分公司建零售商业用地,彭祖大道北,40,挂牌,,1720,,2020,2020年5月,2020年5月18日,3270.08,0.4,1308.032,中国石化销售股份有限公司江苏徐州石油分公司,,,,,,,,,,,,,,2022年5月18日,2023年11月18日
58,城镇住宅用地,徐州市,沛县,沛县中金置业投资有限公司建设汉兴一期棚户区改造项目,樊哙路北侧、徐沛运河西侧,40年，70年,挂牌,,10503,,2020,2020年5月,2020年5月15日,46681,2.2,102698.2,沛县中金置业投资有限公司,,,,,,,,,,,,,,2021年5月15日,2024年5月14日
59,交通服务场站用地,徐州市,睢宁县,睢宁县交通运输局建高铁睢宁站综合客运枢纽,徐淮高速-天虹大道高速西出口约1.3公里,,划拨,,,,2020,2020年5月,2020年5月15日,236602.56,0.09,21294.2304,睢宁县交通运输局,,,,,,,,,,,,,,2020年7月16日,2021年7月16日
60,工业用地,徐州市,经济技术开发区,徐州经济技术开发区江苏德澜仕生物科技有限公司工业项目,沛县经济开发区汉兴路东侧、曹参路南侧,40,挂牌,,450,,2020,2020年5月,2020年5月14日,26665.58,1,26665.58,江苏德澜仕生物科技有限公司,,,,,,,,,,,,,,2021年5月14日,2022年5月14日
61,工业用地,徐州市,睢宁县,徐州文丞预制构件有限公司建工业用地,沛县经济开发区汉兴路东侧、曹参路南侧,50,挂牌,,470,,2020,2020年5月,2020年5月14日,20861.66,2,41723.32,徐州文丞预制构件有限公司,,,,,,,,,,,,,,2020年6月14日,2021年5月14日
62,零售商业用地,徐州市,云龙区,孔勇云龙区开明街5#-04商业项目,云龙区开明街5#-04,40,协议,,96.3,,2020,2020年5月,2020年5月13日,104,,0,孔勇,,,,,,,,,,,,,,2020年5月13日,2020年5月13日
63,公用设施用地,徐州市,邳州市,生产调度用房中国移动通信集团有限公司江苏分公司,青岛路南侧、南京路西侧,50,挂牌,,1278.2,,2020,2020年5月,2020年5月13日,12175.29,1.5,18262.935,中国移动通信集团有限公司江苏分公司,,,,,,,,,,,,,,2020年12月8日,2022年12月8日
64,城镇住宅用地,徐州市,睢宁县,明发集团睢宁房地产开发有限公司建商住用地,北环路北侧、文学北路西侧,40年，70年,挂牌,,8760,,2020,2020年5月,2020年5月13日,93549.63,2.75,257261.4825,明发集团睢宁房地产开发有限公司,,,,,,,,,,,,,,2021年2月13日,2023年2月13日
65,城镇住宅用地,徐州市,睢宁县,明发集团睢宁房地产开发有限公司建商住用地,北环路北侧、文学北路西侧,70年，40年,挂牌,,5930,,2020,2020年5月,2020年5月13日,37021.39,2.58,95515.1862,明发集团睢宁房地产开发有限公司,,,,,,,,,,,,,,2021年2月13日,2023年2月13日
66,工业用地,徐州市,睢宁县,华研电子科技（徐州）有限公司建工业用地,沛县经济开发区汉兴路东侧、曹参路南侧,50,挂牌,,190,,2020,2020年5月,2020年5月12日,12622.87,1.6,20196.592,华研电子科技(徐州)有限公司,,,,,,,,,,,,,,2020年11月12日,2022年11月12日
67,城镇住宅用地,徐州市,丰县,丰县经济开发区投资发展有限责任公司（2020-29）王大庄西1-01区块,凤翔路南，东环路东侧,69年，39年,挂牌,,3426,,2020,2020年5月,2020年5月12日,28549.68,1.5,42824.52,丰县经济开发区投资发展有限责任公司,,,,,,,,,,,,,,2021年2月12日,2024年2月11日
68,旅馆用地,徐州市,丰县,丰县明城房地产开发有限公司（2020-25）金都装饰城东1-01A地块,东环路东，中阳大道北侧,40,挂牌,,3338,,2020,2020年5月,2020年5月12日,34230,1.5,51345,丰县明城房地产开发有限公司,,,,,,,,,,,,,,2021年2月12日,2024年2月11日
69,商务金融用地,徐州市,丰县,丰县保障性住房建设有限公司(2020-26)金都装饰城东1-01B地块,永安路西，中阳大道北,40,挂牌,,446,,2020,2020年5月,2020年5月12日,4565.7,1.5,6848.55,丰县保障性住房建设有限公司,,,,,,,,,,,,,,2021年2月12日,2024年2月11日
70,城镇住宅用地,徐州市,丰县,丰县国有资产经营有限公司（2020-33)城西客运站南1-01A地块,南环路南，柳毅路西侧,70年，40年,挂牌,,1800,,2020,2020年5月,2020年5月12日,10002.6,2.2,22005.72,丰县国有资产经营有限公司,,,,,,,,,,,,,,2021年2月12日,2024年2月11日
71,城镇住宅用地,徐州市,丰县,丰县国有资产经营有限公司（2020-34）城西客运站南1-01B块,南环路南，西环路东侧,40年，70年,挂牌,,8346,,2020,2020年5月,2020年5月12日,46367.5,2.2,102008.5,丰县国有资产经营有限公司,,,,,,,,,,,,,,2021年2月12日,2024年2月11日
72,工业用地,徐州市,睢宁县,江苏青创新材料有限公司建工业用地,沛县经济开发区汉兴路东侧、曹参路南侧,50,挂牌,,400,,2020,2020年5月,2020年5月11日,26644.34,2,53288.68,江苏青创新材料有限公司,,,,,,,,,,,,,,2020年11月11日,2022年11月11日
73,工业用地,徐州市,睢宁县,徐州昊天电力杆塔有限公司建工业用地,沛县经济开发区汉兴路东侧、曹参路南侧,50,挂牌,,758,,2020,2020年5月,2020年5月8日,50531.53,2,101063.06,徐州昊天电力杆塔有限公司,,,,,,,,,,,,,,2020年11月8日,2022年11月8日
74,工业用地,徐州市,睢宁县,睢宁华清玻璃科技有限公司建工业用地,沛县经济开发区汉兴路东侧、曹参路南侧,50,挂牌,,565,,2020,2020年5月,2020年5月8日,37644.63,2,75289.26,睢宁华清玻璃科技有限公司,,,,,,,,,,,,,,2020年11月8日,2022年11月8日
75,工业用地,徐州市,经济技术开发区,徐州经济技术开发区徐州联东金樽实业有限公司工业项目,沛县经济开发区汉兴路东侧、曹参路南侧,40,挂牌,,1530,,2020,2020年5月,2020年5月8日,90748.19,1.2,108897.828,徐州联东金涞实业发展有限公司,,,,,,,,,,,,,,2021年5月8日,2022年11月8日
76,工业用地,徐州市,经济技术开发区,徐州经济技术开发区徐州联东金樽实业有限公司工业项目,沛县经济开发区汉兴路东侧、曹参路南侧,40,挂牌,,1530,,2020,2020年5月,2020年5月8日,90748.19,1.2,108897.828,徐州联东金涞实业发展有限公司,,,,,,,,,,,,,,2021年5月8日,2022年11月8日
77,工业用地,徐州市,铜山区,徐州联东金湛实业有限公司2020(高新）-25号工业项目,沛县经济开发区汉兴路东侧、曹参路南侧,40,挂牌,,1175,,2020,2020年5月,2020年5月7日,39165.7,2,78331.4,徐州联东金湛实业有限公司,,,,,,,,,,,,,,2020年11月7日,2023年11月7日
78,城镇住宅用地,徐州市,泉山区,徐州市美的新城房地产发展有限公司建商住用地项目,杏山子大道东、桃花源路南,70,挂牌,,62850,,2020,2020年5月,2020年5月7日,68522.6,1.62,111006.612,徐州市美的新城房地产发展有限公司,,,,,,,,,,,,,,2021年5月7日,2023年5月7日
79,工业用地,徐州市,沛县,徐州顺泰纺织科技股份有限公司建设5万锭紧密赛络纺项目,沛县经济开发区汉兴路东侧、曹参路南侧,50,挂牌,,254,,2020,2020年5月,2020年5月6日,21106,1.2,25327.2,徐州顺泰纺织科技股份有限公司,,,,,,,,,,,,,,2020年11月6日,2021年11月5日
80,工业用地,徐州市,铜山区,徐州高新技术产业开发区鸿基建设管理有限公司2020（高新）-21号工业项目,沛县经济开发区汉兴路东侧、曹参路南侧,40,挂牌,,1640,,2020,2020年5月,2020年5月6日,54539.27,1,54539.27,徐州高新技术产业开发区鸿基建设管理有限公司,,,,,,,,,,,,,,2020年11月6日,2023年11月6日
81,教育用地,徐州市,丰县,丰县华山镇套楼中心幼儿园新建项目（2020-05-HB）,丰县华山镇电信分局东侧,,划拨,,,,2020,2020年5月,2020年5月6日,7436.7,0.5,3718.35,丰县华山镇中心学校,,,,,,,,,,,,,,2020年11月6日,2021年11月5日
82,城镇住宅用地,徐州市,睢宁县,江苏爱特莱实业有限公司建商住用地,双沟镇双塔路东侧、324省道南侧,40年，70年,挂牌,,4190,,2020,2020年5月,2020年5月6日,63338.08,1.6,101340.928,江苏爱特莱实业有限公司,,,,,,,,,,,,,,2020年6月6日,2021年6月6日
83,城镇住宅用地,徐州市,泉山区,徐州市美的新城房地产发展有限公司建城镇住宅用地,杏山子大道东、桃花源路南,70,挂牌,,60100,,2020,2020年5月,2020年5月6日,45394.2,2,90788.4,徐州市美的新城房地产发展有限公司,,,,,,,,,,,,,,2021年5月6日,2023年5月6日
84,工业用地,徐州市,铜山区,徐州高新技术产业开发区城市建设投资有限公司2020（高新）-9号工业项目,沛县经济开发区汉兴路东侧、曹参路南侧,40,挂牌,,3500,,2020,2020年4月,2020年4月30日,116590.5,1,116590.5,徐州高新技术产业开发区城市建设投资有限公司,,,,,,,,,,,,,,2020年10月30日,2023年10月30日
85,工业用地,徐州市,铜山区,江苏系数精工有限公司2020（高新）-10号工业用地,沛县经济开发区汉兴路东侧、曹参路南侧,40,挂牌,,1393,,2020,2020年4月,2020年4月30日,46417.34,1,46417.34,江苏系数精工有限公司,,,,,,,,,,,,,,2020年10月30日,2023年10月30日
86,工业用地,徐州市,铜山区,徐州徐工汽车制造有限公司2020（高新）-16号工业用地,沛县经济开发区汉兴路东侧、曹参路南侧,40,挂牌,,1460,,2020,2020年4月,2020年4月30日,96749.93,1,96749.93,徐州徐工汽车制造有限公司,,,,,,,,,,,,,,2020年10月30日,2023年10月30日
87,仓储用地,徐州市,铜山区,江苏省烟草公司徐州市公司2020（高新）-24号仓储项目,沛县经济开发区汉兴路东侧、曹参路南侧,38,挂牌,,1237,,2020,2020年4月,2020年4月30日,46304.31,1,46304.31,江苏省烟草公司徐州市公司,,,,,,,,,,,,,,2020年10月30日,2023年10月30日
88,城镇住宅用地,徐州市,睢宁县,徐州绿溪置业有限公司建商住用地,双沟镇双灵路西侧、盘王南路北侧,70年，40年,挂牌,,5895,,2020,2020年4月,2020年4月30日,55574.18,1.5,83361.27,徐州绿溪置业有限公司,,,,,,,,,,,,,,2020年5月30日,2021年5月30日
89,城镇住宅用地,徐州市,睢宁县,徐州绿溪置业有限公司建商住用地,双沟镇双灵路西侧、盘王南路北侧,40年，70年,挂牌,,7070,,2020,2020年4月,2020年4月30日,66666.87,1.5,100000.305,徐州绿溪置业有限公司,,,,,,,,,,,,,,2020年5月30日,2021年5月30日
90,其他商服用地,徐州市,睢宁县,江苏爱特莱实业有限公司建商住用地,双沟镇双塔路东侧、324省道南侧,70,挂牌,,4740,,2020,2020年4月,2020年4月30日,71676.1,1.6,114681.76,江苏爱特莱实业有限公司,,,,,,,,,,,,,,2020年5月30日,2021年5月30日
91,城镇住宅用地,徐州市,铜山区,徐州晟鑫房地产开发有限公司住宅项目用地,柳新镇柳新村,70,挂牌,,715,,2020,2020年4月,2020年4月30日,5953,1.6,9524.8,徐州晟鑫房地产开发有限公司,,,,,,,,,,,,,,2020年10月30日,2023年10月30日
92,城镇住宅用地,徐州市,沛县,沛县汇金建设发展有限公司建设文荟御园,樊巷街西侧、鼓楼街南侧,70,挂牌,,19847,,2020,2020年4月,2020年4月29日,40927,2.8,114595.6,沛县汇金建设发展有限公司,,,,,,,,,,,,,,2021年4月27日,2024年4月26日
