编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
19,商务金融用地,泰州市,泰兴市,泰兴市泰通投资发展有限公司（334省道黄桥收费站）,黄桥镇塔东路与334省道交界处,40,协议出让,,666.93,,2020,2020年5月,2020年5月19日,6419,2,12838,泰兴市泰通投资发展有限公司,,,,,,,,,,,,,,2020年11月9日,2020年11月9日
20,公路用地,泰州市,泰兴市,泰兴市泰通投资发展有限公司（七圩收费站）,虹桥镇九圩村九圩组,50,协议出让,,195.05,,2020,2020年5月,2020年5月19日,4864,1,4864,泰兴市泰通投资发展有限公司,,,,,,,,,,,,,,2020年11月9日,2020年11月9日
21,城镇村道路用地,泰州市,泰州市本级,兴业路、纪庙路及东侧规划道路,海陵区城东街道宫涵社区、京泰路街道林南社区境内,,划拨,,,,2020,2020年5月,2020年5月18日,47987,1,47987,泰州高教投资发展有限公司,,,,,,,,,,,,,,2020年7月8日,2020年12月8日
22,交通服务场站用地,泰州市,泰兴市,泰兴市泰通投资发展有限公司,七圩镇高圩九组,50,协议出让,,264.66,,2020,2020年5月,2020年5月18日,6600,2,13200,泰兴市泰通投资发展有限公司,,,,,,,,,,,,,,2021年5月9日,2021年5月9日
23,工业用地,泰州市,泰兴市,江苏欧普焊割机械有限公司,济川街道办集体、向阳村庄基、杨桥、北陈元组,50,挂牌出让,,253.935,,2020,2020年5月,2020年5月15日,6270,2,12540,江苏欧普焊割机械有限公司,,,,,,,,,,,,,,2021年11月15日,2023年5月15日
24,工业用地,泰州市,泰兴市,江苏泰洛克密封科技有限公司,济川街道办集体、向阳村庄基、杨桥、北陈元组,50,挂牌出让,,154.629,,2020,2020年5月,2020年5月15日,3818,2,7636,江苏泰洛克密封科技有限公司,,,,,,,,,,,,,,2021年11月15日,2023年5月15日
25,工业用地,泰州市,泰兴市,江苏龙河消防科技有限公司,济川街道办向阳村张垈组,50,挂牌出让,,1199.88,,2020,2020年5月,2020年5月15日,29997,2,59994,江苏龙河消防科技有限公司,,,,,,,,,,,,,,2021年11月15日,2023年5月15日
26,工业用地,泰州市,泰兴市,泰州市腾辉制衣有限公司,姚王镇新镇居委会姚庄3组，鲁堡村鲁堡6组,50,挂牌出让,,343.2,,2020,2020年5月,2020年5月15日,6000,2,12000,泰州市腾辉制衣有限公司,,,,,,,,,,,,,,2021年11月15日,2023年5月15日
27,工业用地,泰州市,泰兴市,泰兴市兴业标房建设有限公司,黄桥镇韩庄村（姜八路西侧）,50,挂牌出让,,83.6,,2020,2020年5月,2020年5月15日,1520,2,3040,泰兴市兴业标房建设有限公司,,,,,,,,,,,,,,2021年11月15日,2023年5月15日
28,教育用地,泰州市,泰州市本级,周山河初中,寺巷街道、凤凰街道境内,,划拨,,,,2020,2020年5月,2020年5月12日,36698,0.82,30092.36,泰州市新开城建项目投资管理有限公司,,,,,,,,,,,,,,2020年6月8日,2021年5月30日
