行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间
青阳县,朱备镇朱笔村青朱公路西侧,朱备镇朱笔村,2,批发零售用地,挂牌出让,40,批发和零售业,1500,安徽省青阳县旅游发展有限责任公司,0.002.50,2018年10月31日,2020年10月31日,2021年10月30日
青阳县,木镇镇睿鑫门窗公司东侧2号,木镇镇睿鑫门窗公司东侧2号,2.3333,工业用地,挂牌出让,50,制造业,294,青阳县达门帝金属制品有限公司,1.000.00,2018年10月31日,2019年7月31日,2020年7月30日
青阳县,蓉城镇和平村（高速出口对面）,蓉城镇和平村（高速出口对面）,4.3918,批发零售用地,挂牌出让,40,房地产业,8565,青阳建设投资集团有限公司,0.002.50,2018年10月31日,2020年10月31日,2021年10月30日
青阳县,蓉城镇四季永逸大酒店南侧,蓉城镇四季永逸大酒店南侧,4.9163,批发零售用地,挂牌出让,40,房地产业,16520,青阳建设投集团有限公司,0.002.50,2018年10月31日,2020年10月31日,2021年10月30日
青阳县,蓉城镇天柱路东侧、中心城南侧,蓉城镇天柱路东侧、中心城南侧,3.3381,批发零售用地,挂牌出让,40,房地产业,10215,青阳建设投资集团有限公司,0.002.50,2018年10月31日,2020年10月31日,2021年10月30日
青阳县,朱备镇朱笔村柏家祠东南侧,朱备镇朱笔村,4.6667,批发零售用地,挂牌出让,40,居民服务和其他服务业,3500,安徽省青阳县旅游发展有限责任公司,0.002.50,2018年10月31日,2020年10月31日,2021年10月30日
青阳县,陵阳镇力丰实业有限公司南侧,陵阳镇崇觉村,2.2118,工业用地,挂牌出让,50,制造业,266,安徽力丰实业有限公司,1.000.00,2018年10月31日,2020年10月31日,2021年10月30日
青阳县,蓉城镇天柱路东侧、青山路北侧,蓉城镇天柱路东侧、青山路北侧,6.665,其他普通商品住房用地,挂牌出让,70,房地产业,18000,青阳县建投置业有限公司,1.001.80,2018年10月31日,2019年12月31日,2020年12月31日
青阳县,朱备镇朱笔村地块,朱备镇朱笔村,0.002,住宿餐饮用地,挂牌出让,40,住宿和餐饮业,3.01,安徽省九华山德懋堂置业有限公司,0.000.85,2018年10月31日,2019年7月31日,2020年7月30日
青阳县,丁桥镇永平村超威电源公司南侧,丁桥镇永平村,3.7923,工业用地,挂牌出让,50,制造业,473,青阳县丁桥镇乡镇企业集体资产经营公司,1.000.00,2018年10月31日,2020年10月31日,2021年10月30日
青阳县,杜村乡河东村及河西村地块,杜村乡河东村及河西村,5.0677,住宿餐饮用地,挂牌出让,40,住宿和餐饮业,1597,安徽陌上星企业管理有限公司,0.000.90,2018年10月31日,2019年7月31日,2020年7月30日
青阳县,酉华镇汇鑫新材料公司北侧,酉华镇汇鑫新材料公司北侧,3.0846,工业用地,挂牌出让,50,非金属矿物制品业,380,青阳县盛宝非金属材料科技有限公司,1.000.00,2018年10月31日,2019年7月31日,2020年7月31日
青阳县,蓉城镇和平村原森源液化气站东北侧,蓉城镇和平村原森源液化气站东北侧,5.5879,批发零售用地,挂牌出让,40,房地产业,11316,青阳县国有工业资产经营有限公司,0.002.50,2018年10月31日,2020年10月31日,2021年10月30日
青阳县,陵阳镇力丰实业有限公司东南侧,陵阳镇崇觉村,3.9049,工业用地,挂牌出让,50,公共管理和社会组织,469,青阳县陵阳镇企业集体资产经营公司,1.000.00,2018年10月31日,2020年10月31日,2021年10月31日
青阳县,新河镇十里岗村鸿博机械南侧,新河镇十里岗村鸿博机械南侧,0.4565,工业用地,挂牌出让,50,专用设备制造业,61,安徽达方环保设备有限公司,1.000.00,2018年10月31日,2019年7月31日,2020年7月30日
青阳县,蓉城镇天柱路东侧、青山路北侧（南部新城幼儿园南侧）,蓉城镇天柱路东侧、青山路北侧（南部新城幼儿园南侧）,0.4022,其他普通商品住房用地,挂牌出让,70,房地产业,1086,青阳县建投置业有限公司,1.001.80,2018年10月31日,2019年12月31日,2020年12月31日
青阳县,陵阳镇力丰实业有限公司东南侧,陵阳镇崇觉村,0.55,工业用地,挂牌出让,50,废弃资源和废旧材料回收加工业,66,青阳县安然废弃资源综合利用有限公司,1.000.00,2018年10月31日,2019年7月31日,2020年7月30日
青阳县,蓉城镇和平村一组,蓉城镇和平村一组,4.8683,批发零售用地,挂牌出让,40,房地产业,8763,青阳县国有工业资产经营有限公司,0.002.50,2018年10月31日,2020年10月31日,2021年10月30日
青阳县,新河镇十里岗村裤脚塘冲,新河镇十里岗村裤脚塘冲,13.2801,工业用地,挂牌出让,50,制造业,1754,安徽能牛门窗科技有限公司,1.000.00,2018年10月31日,2019年7月31日,2020年7月30日
青阳县,蓉城镇望池路北侧,蓉城镇望池路北侧,6.5195,批发零售用地,挂牌出让,40,房地产业,21026,青阳建设投资集团有限公司,0.002.50,2018年10月31日,2020年10月31日,2021年10月30日
石台县,丁香镇林茶村地块,丁香镇林茶村,0.083315,住宿餐饮用地,挂牌出让,40,农业,20,石台县德馨农业科技有限公司,0.001.00,2018年10月30日,2019年9月30日,2020年9月30日
池州市本级,金安园区114号,池州开发区,1.2686,工业用地,挂牌出让,50,专用设备制造业,162,安徽大陆特氟科技有限公司,1.2,2018年10月29日,2019年1月1日,2019年12月31日
贵池区,公路用地及绿化用地,池州高新区,30.0416,公路用地,划拨,,房地产业,,安徽池州高新技术产业开发区管理委员会,,2018年10月29日,,
池州市本级,集中区停车棚项目,江南产业集中区,0.8572,街巷用地,划拨,,其他服务业,,安徽省江南产业集中区建设投资发展（集团）有限公司,,2018年10月26日,,
池州市本级,池州市委党校边角地,石台路,0.384,机关团体用地,划拨,,其他服务业,,池州建设投资集团有限公司,1,2018年10月26日,,
