行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,,
灵璧县,三巽,汴河路北侧、平山路西侧,4.1664,城镇住宅用地,拍卖出让,70,房地产业,16248.96,灵璧三巽置业有限公司,1.002.00,2020年6月12日,2021年6月12日,2023年6月11日,,
萧县,宿州京国建置业有限公司,圣泉乡郭庄村，北环路南侧，圣泉路北侧，萧龙路西侧,5.404,城镇住宅用地,拍卖出让,70,房地产业,27236.16,宿州京国建置业有限公司,1.501.80,2020年6月11日,2021年8月9日,2023年8月9日,,
萧县,宿州京国建置业有限公司,圣泉乡圣泉村，龙腾大道西侧、圣泉路北侧、北外环南侧,3.6034,城镇住宅用地,拍卖出让,70,房地产业,17304.4277,宿州京国建置业有限公司,1.501.80,2020年6月11日,2021年8月9日,2023年8月9日,,
灵璧县,灵璧师范学校迁建项目,灵城镇山南村,10.4497,教育用地,划拨,,教育业,0,安徽省灵璧师范学校,1,2020年6月10日,,,,
灵璧县,灵璧县第七小学,建设北路与杨河路交口,3.5496,教育用地,划拨,,教育业,0,灵璧县教育体育局,1,2020年6月10日,,,,
灵璧县,钟灵大道东延段,钟灵大道东段,6.6322,城镇村道路用地,划拨,,道路运输业,0,灵璧县住房和城乡建设局,1,2020年6月10日,,,,
灵璧县,三山路,安河东路至罗河路段,2.1048,城镇村道路用地,划拨,,道路运输业,0,灵璧县住房和城乡建设局,1,2020年6月10日,,,,
灵璧县,罗河东路,罗河东路,2.2664,城镇村道路用地,划拨,,道路运输业,0,灵璧安建建设投资有限公司,1,2020年6月10日,,,,
泗县,佳诺食品,经济开发区东发社区,0.422,工业用地,挂牌出让,50,食品制造业,63.3,泗县佳诺食品有限公司,1,2020年6月10日,2020年7月1日,2021年6月30日,,
灵璧县,建设南路南延段,灵城滨河大桥以南,8.0321,城镇村道路用地,划拨,,道路运输业,0,灵璧县住房和城乡建设局,1,2020年6月10日,,,,
宿州市本级,宿州雪枫中学项目,宿州市循环园区凤凰大道东侧、规划丁湖路北侧,14.0236,教育用地,划拨,,教育业,,宿州市重点工程建设管理局,0.401.00,2020年6月9日,2020年11月8日,2022年11月7日,,
埇桥区,宿州捷特矿业机械设备制造有限公司,埇桥经济开发区：桃山村用地以北、闵南东路以南、宿州捷特公司用地以西、滨河路以东。,1.0904,工业用地,挂牌出让,50,通用设备制造业,171.738,宿州捷特矿业机械设备制造有限公司,1,2020年6月3日,2020年12月10日,2021年12月9日,,
埇桥区,安徽捷勒家具有限公司,埇桥经济开发区：环沟路以北、树驮桥路以南、宿州捷勒家具公司用地以西、中山路以东。,1.4804,工业用地,挂牌出让,50,家具制造业,233.163,安徽捷勒家具有限公司,1,2020年6月3日,2020年12月10日,2021年12月9日,,
埇桥区,安徽繁荣生物高科有限公司,埇桥经济开发区：宿州顺祥锻压公司用地以北、雁山路以南、三环村用地以西、滨河路以东。,2.0227,工业用地,挂牌出让,50,皮革、毛皮、羽毛（绒）及其制造业,318.5753,安徽繁荣生物高科有限公司,1,2020年6月3日,2020年12月10日,2021年12月9日,,
埇桥区,宿州万盛工程机械有限公司,埇桥经济开发区：闵南东路以北、闵子大道以南、滨河路以西、安徽秋尚食品公司用地以东。,1.9898,工业用地,挂牌出让,50,通用设备制造业,313.3935,宿州万盛工程机械有限公司,1,2020年6月3日,2020年12月10日,2021年12月9日,,
泗县,和顺山语序,泗城镇东关社区,4.57121,城镇住宅用地,拍卖出让,70,房地产业,13284,泗县和顺房地产有限公司,1.002.00,2020年6月3日,2020年12月1日,2023年11月30日,,
泗县,和顺山语序,泗城镇东关社区,4.72066,城镇住宅用地,拍卖出让,70,房地产业,13716,泗县和顺房地产有限公司,1.002.20,2020年6月3日,2020年12月1日,2023年11月30日,,
砀山县,砀山县铁路中学扩建一期,砀城镇振兴西路延伸段北侧,5.4997,教育用地,划拨,,教育业,1237.4325,砀山铁路中学,1,2020年6月2日,2021年4月2日,2023年4月1日,,
泗县,九里沟粮站,大路口乡大季村,1.1596,仓储用地,挂牌出让,50,仓储业,121.758,泗县大路口中心粮库,1.000.00,2020年5月26日,2020年10月1日,2021年9月30日,,
泗县,三湾加油站,泗县泗城镇三湾村,0.5604,零售商业用地,挂牌出让,40,燃气生产和供应业,1266,中国石化销售股份有限公司安徽宿州石油分公司,0.000.60,2020年5月25日,2020年10月10日,2021年10月10日,,
泗县,石梁景苑,泗城镇四里桥社区,0.96149,其他商服用地,挂牌出让,40,房地产业,1442,泗县城市建设投资有限公司,0.001.00,2020年5月25日,2020年6月30日,2021年6月30日,,
泗县,三湾景苑,泗城镇三湾社区,4.8078,城镇住宅用地,挂牌出让,70,房地产业,10818,泗县城市建设投资有限公司,1.001.70,2020年5月25日,2020年6月30日,2021年6月30日,,
泗县,泗县特殊教育学校,泗县石梁河东、花园路南,1.4594,教育用地,划拨,,教育业,,泗县特殊教育学校,0.800.80,2020年5月22日,2020年7月10日,2022年7月10日,,
泗县,苏靖汽车部件制造,泗县经济开发区东发社区,6.38852,工业用地,挂牌出让,50,仪器仪表及文化、办公用机械制造业,670.7946,安徽苏靖汽车部件制造有限公司,1.000.00,2020年5月21日,2020年8月1日,2021年7月31日,,
