行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,,,,
奉化市,江口街道前横村二号-1地块（JK05-03-03t-1）,该地块位于江口街道前横村，地块西至规划东环路绿化带，东至规划道路，南、北至用地范围线。,1.6256,零售商业用地,挂牌出让,40,零售业,3706.368,宁波天天南城汽车服务有限公司,1.001.20,2020年6月29日,2021年7月8日,2024年7月8日,,,,
余姚市,乐山路西侧、浙江国兴汽车饰件有限公司北侧地块二,中意宁波生态园,0.6172,工业用地,挂牌出让,50,水泥及石膏制品制造,405,余姚中淳高科桩业有限公司,0.901.80,2020年6月29日,2021年2月10日,2023年2月10日,,,,
余姚市,临山镇兰陵路西侧地块,临山镇临城村,0.7012,工业用地,协议出让,50,专用设备制造业,265.7548,余姚市兴杰通用机械有限公司,1.101.50,2020年6月29日,2021年7月6日,2023年7月6日,,,,
宁海县,宁海胡陈灵峰寺改扩建项目-1地块,胡陈乡永和村,0.9789,宗教用地,划拨,,群众团体、社会团体和宗教组织,100.943,宁海胡陈灵峰寺,,2020年6月29日,2021年6月29日,2023年6月29日,,,,
余姚市,临山镇湖堤村329国道北侧、余通电器西侧地块,临山镇湖堤村,0.1447,工业用地,协议出让,50,金属制品业,54.8413,余姚市力能金属有限公司,1.101.50,2020年6月29日,2021年7月6日,2023年7月6日,,,,
北仑区,陈山西路（纬六路-滨江大道）工程南段,小港,2.8507,城镇村道路用地,划拨,,房屋和土木工程业,2565.63,宁波滨江新城开发投资有限公司,0,2020年6月29日,2020年12月29日,2022年6月28日,,,,
鄞州区,新建金华至宁波铁路工程（鄞州段）,宁波市鄞州区,54.2834,铁路用地,划拨,,铁路运输业,,萧甬铁路有限责任公司,,2020年6月29日,2021年12月27日,2024年12月26日,,,,
象山县,象山经济开发区临港装备工业园DG01-04-07地块,临港装备工业园港庄路与经三路交叉口西南角,12.5825,工业用地,拍卖出让,50,通用设备制造业,3964,宁波日星铸业有限公司,0.802.00,2020年6月29日,2021年6月28日,2023年6月28日,,,,
慈溪市,湾底路（西二环路-水库）、中官路（329国道-湾底路）新建工程,浒山街道湾底社区,1.5278,城镇村道路用地,划拨,,城市公共交通业,242.702,慈溪市市政工程建设管理中心,,2020年6月29日,2021年6月29日,2024年6月29日,,,,
奉化市,阳光海湾44号地块,该地块位于宁波滨海旅游休闲区内，东至金海北路，南至滨湖东路、金海北路，西至河道防护绿带，北至应家新河防护绿带。,15.7663,城镇住宅用地,挂牌出让,70,房地产业,56758.68,宁波华策置业有限公司,1.001.80,2020年6月29日,2021年7月8日,2024年7月8日,,,,
北仑区,北仑大碶富春江路东ZB13-04-03b、ZB13-04-03e地块挂牌出让,大碶富春江路东、灵峰山路南,2.1835,城镇住宅用地,拍卖出让,70,房地产业,5030.784,宁波北仑灵峰市政工程有限公司,1.001.80,2020年6月29日,2021年7月9日,2024年7月8日,,,,
余姚市,余姚市临山镇兰陵路东侧地块,临山镇临城村,0.4158,工业用地,协议出让,50,造纸及纸质品业,157.5882,余姚市临山镇鹏程纸箱喷塑厂,1.001.50,2020年6月29日,2021年7月6日,2023年7月6日,,,,
余姚市,方家路江东侧、兴业路南侧地块,中意宁波生态园,8.759,工业用地,挂牌出让,50,专用设备制造业,3942,余姚市海际建设发展有限公司,1.202.00,2020年6月29日,2021年2月10日,2024年2月10日,,,,
余姚市,三七市镇梅霖路西侧地块,三七市镇三七市村,0.9722,工业用地,协议出让,50,金属制品业,368.4638,余姚市和达不锈钢实业有限公司,1.102.00,2020年6月28日,2021年7月5日,2023年7月5日,,,,
慈溪市,宁波杭州湾新区南部新城海裕路（海纳路-霁月路）、若谷路（海裕路-达智路）市政工程,宁波杭州湾新区,2.1309,公路用地,划拨,,社会保障业,,慈溪杭州湾滨海开发投资有限公司,,2020年6月28日,2021年1月28日,2022年1月28日,,,,
北仑区,白峰枫江路东延工程,白峰,0.36,城镇村道路用地,划拨,,房屋和土木工程业,324,宁波滨港建设投资有限公司,0,2020年6月28日,2020年12月28日,2022年6月27日,,,,
慈溪市,宁波杭州湾新区南部新城海纳路（海裕路-海沧路）市政工程,宁波杭州湾新区,2.3679,公路用地,划拨,,社会保障业,,慈溪杭州湾滨海开发投资有限公司,,2020年6月28日,2021年1月28日,2022年1月28日,,,,
宁波市本级,海曙区西门地段HS08-05-06地块,海曙区,1.2016,城镇住宅用地,挂牌出让,70,房地产业,51974.0064,深圳市海嘉投资有限公司,1.001.80,2020年6月28日,2021年7月10日,2024年7月10日,,,,
宁海县,西店19-77地块项目,西店镇望海工业园区北,1.0716,工业用地,挂牌出让,50,金属制品业,477,宁海佳树电器有限公司,1.102.00,2020年6月28日,2020年11月29日,2022年5月29日,,,,
