行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,,,,
宁波市本级,机场路至甬金高速公路连接线工程,海曙区,0.9562,公路用地,划拨,,道路运输业,,宁波市市政工程前期办公室,,2018年12月20日,,,,,,
宁波市本级,浙江省宁波市轨道交通1号线一期工程,宁波市轨道交通集团有限公司,6.1047,铁路用地,划拨,,城市公共交通业,,宁波市轨道交通集团有限公司,,2018年12月20日,,,,,,
宁波市本级,浙江省甬金高速明州连接线洞桥至云龙段工程,洞桥上水矸村、石碶街道横涨村,0.2033,公路用地,划拨,,道路运输业,,宁波市海曙区交通运输局,,2018年12月20日,,,,,,
宁波市本级,甬金高速公路连接线北延工程,高桥镇高桥村、高峰村,4.4506,公路用地,划拨,,道路运输业,,宁波两江投资有限公司,,2018年12月20日,,,,,,
宁波市本级,浙江省宁波市轨道交通4号线工程,海曙区,0.2622,铁路用地,划拨,,城市公共交通业,,宁波市轨道交通集团有限公司,,2018年12月20日,,,,,,
宁波市本级,戚隘桥地块绿化,福明街道世纪大道以西、新天路以东、民安路以北,0.6641,公园与绿地,划拨,,国家机构,,宁波市鄞州区城中村改造办公室,,2018年12月20日,,,,,,
宁波市本级,史魏家安置房南侧绿化,福明街道史魏家安置房南侧、沧海路以东、后塘河以北,0.4086,公园与绿地,划拨,,国家机构,,宁波市鄞州区城中村改造办公室,,2018年12月20日,,,,,,
宁波市本级,宁江运输公司地块改造绿化项目,东郊街道彩虹南路以西、河流以北,0.0106,公园与绿地,划拨,,国家机构,,宁波市鄞州区城中村改造办公室,,2018年12月20日,2019年4月20日,2019年10月20日,,,,
宁波市本级,银亿东岸配套绿化,明楼街道通途路以南、曙光北路以西、银亿东岸小区东侧,0.6486,公园与绿地,划拨,,国家机构,,宁波市鄞州区城中村改造办公室,,2018年12月20日,,,,,,
镇海区,西大河东侧公共绿地及配套设施,骆驼街道团桥村,14.2217,公园与绿地,划拨,,国家机构,0,宁波市镇海新城开发建设投资有限公司,0,2018年12月20日,2020年1月20日,2022年1月20日,,,,
鄞州区,宁波奥克斯置业有限公司带征地-1,潘火街道曹隘村,0.0355,公园与绿地,划拨,,国家机构,,宁波市鄞州区人民政府潘火街道办事处,,2018年12月20日,,,,,,
鄞州区,宁波奥克斯置业有限公司带征地,宁波市鄞州区下应街道,0.1865,公园与绿地,划拨,,国家机构,,宁波市鄞州区下应街道办事处,,2018年12月20日,,,,,,
鄞州区,宁波鄞州银行公益基金会（银行公益基金会善园地块）带征地,钟公庙街道铜盆闸村,0.0051,公园与绿地,划拨,,国家机构,,宁波市鄞州区人民政府钟公庙街道办事处,,2018年12月20日,,,,,,
鄞州区,潘火街道王家弄安置小区A地块（宁波市鄞州潘火村镇开发建设有限公司）带征地,宁波市鄞州区潘火街道王家弄村,0.6535,公园与绿地,划拨,,国家机构,,宁波市鄞州区人民政府潘火街道办事处,,2018年12月20日,,,,,,
鄞州区,鄞州新城区首南地段YZ08-07-C地块带征地,宁波市鄞州区钟公庙街道,0.0041,公园与绿地,划拨,,国家机构,,宁波市鄞州区钟公庙街道办事处,,2018年12月20日,,,,,,
鄞州区,鄞州新城区慧灯寺5号地块带征地,宁波市鄞州区钟公庙街道,0.0094,公园与绿地,划拨,,国家机构,,宁波市鄞州区钟公庙街道办事处,,2018年12月20日,,,,,,
鄞州区,宁波罗蒙房地产开发有限公司（CPD-1A-2）带征地,宁波市鄞州区首南街道,0.0231,公园与绿地,划拨,,国家机构,,宁波市鄞州区首南街道办事处,,2018年12月20日,,,,,,
象山县,贤庠国土所业务管理用房(代征地),贤庠镇泰和路与经三路交叉口东北侧,0.1098,街巷用地,划拨,,道路运输业,0,象山县贤庠镇人民政府,,2018年12月20日,,,,,,
象山县,象山县贤庠振达水泥制品厂生产用房建设项目(代征地),贤庠镇东风村,0.0013,街巷用地,划拨,,道路运输业,0,象山县贤庠镇人民政府,,2018年12月20日,,,,,,
象山县,象山县贤庠学校建设工程(代征地),贤庠镇岑晁村,0.1586,街巷用地,划拨,,道路运输业,0,象山县贤庠镇人民政府,,2018年12月20日,,,,,,
象山县,象山县贤庠镇村镇建设开发公司商业用房建设项目(代征地),贤庠镇盛宁线与镇北路交叉口东北角,0.009,街巷用地,划拨,,道路运输业,0,象山县贤庠镇人民政府,,2018年12月20日,,,,,,
象山县,象山华宇模具有限公司生产用房建设项目(代征地),贤庠镇章家墩村,0.1165,街巷用地,划拨,,道路运输业,0,象山县贤庠镇人民政府,,2018年12月20日,,,,,,
象山县,宁波市汇丰建设开发有限公司住宅楼建设项目(代征地),贤庠镇泰和路与南大河交叉口西北角,0.1629,街巷用地,划拨,,道路运输业,0,象山县贤庠镇人民政府,,2018年12月20日,,,,,,
象山县,宁波天翼装备技术有限公司生产用房项目(代征地),贤庠镇小蔚庄村、海墩村(老虎口),0.1527,街巷用地,划拨,,道路运输业,0,象山县贤庠镇人民政府,,2018年12月20日,,,,,,
象山县,贤庠镇文化综合中心建设工程(代征地),贤庠镇海墩村,0.0576,街巷用地,划拨,,道路运输业,0,象山县贤庠镇人民政府,,2018年12月20日,,,,,,
象山县,贤庠镇便民服务中心业务用房(代征地),贤庠镇经三路与泰和路西北角,0.0789,街巷用地,划拨,,道路运输业,0,象山县贤庠镇人民政府,,2018年12月20日,,,,,,
鄞州区,宁波市鄞州区城市建设投资发展有限公司(公共租赁房)带征地,首南街道石路头村、石家村,1.9276,公园与绿地,划拨,,国家机构,,宁波市鄞州区人民政府首南街道办事处,,2018年12月20日,,,,,,
鄞州区,宁波市鄞州帕多那金属制品有限公司带征地,宁波市鄞州区云龙镇,0.0004,公园与绿地,划拨,,国家机构,,宁波市鄞州区云龙镇人民政府,,2018年12月20日,,,,,,
鄞州区,宁波市鄞州永林电子电器有限公司带征地,宁波市鄞州区横溪镇,0.0006,公园与绿地,划拨,,国家机构,,宁波市鄞州区横溪镇人民政府,,2018年12月20日,,,,,,
鄞州区,宁波舒普机电科技有限公司带征地,宁波市鄞州区潘火街道,0.0014,公园与绿地,划拨,,国家机构,,宁波市鄞州区潘火街道办事处,,2018年12月20日,,,,,,
鄞州区,宁波市鄞州区横溪镇新村建设办公室带征地,宁波市鄞州区横溪镇,0.0018,公园与绿地,划拨,,国家机构,,宁波市鄞州区横溪镇人民政府,,2018年12月20日,,,,,,
鄞州区,宁波市鄞州亚大汽车管件有限公司带征地,宁波市鄞州区塘溪镇　,0.0042,公园与绿地,划拨,,国家机构,,宁波市鄞州区塘溪镇人民政府,,2018年12月20日,,,,,,
鄞州区,宁波永立服饰有限公司带征地,宁波市鄞州区姜山镇,0.0172,公园与绿地,划拨,,国家机构,,宁波市鄞州区姜山镇人民政府,,2018年12月20日,,,,,,
鄞州区,鄞州区咸祥镇镇东安置点一期新村建设地块（宁波市鄞州区咸祥镇新村建设办公室）带征地,宁波市鄞州区咸祥镇,0.0187,公园与绿地,划拨,,国家机构,,宁波市鄞州区咸祥镇人民政府,,2018年12月20日,,,,,,
鄞州区,宁波市鄞州区风景旅游管理局(配套设施)带征地,宁波市鄞州区东吴镇,0.0029,公园与绿地,划拨,,国家机构,,宁波市鄞州区东吴镇人民政府,,2018年12月20日,,,,,,
鄞州区,宁波市鄞州区云龙镇新村建设办公室带征地,宁波市鄞州区云龙镇,0.0226,公园与绿地,划拨,,国家机构,,宁波市鄞州区云龙镇人民政府,,2018年12月20日,,,,,,
鄞州区,宁波市鄞州宇昊电子科技有限公司带征地,宁波市鄞州区首南街道,0.0273,公园与绿地,划拨,,国家机构,,宁波市鄞州区首南街道办事处,,2018年12月20日,,,,,,
鄞州区,宁波天宫庄园果汁果酒有限公司带征地,宁波市鄞州区下应街道,0.03,公园与绿地,划拨,,国家机构,,宁波市鄞州区下应街道办事处,,2018年12月20日,,,,,,
鄞州区,宁波市鄞州区五乡镇新村建设办公室（四安村1）带征地,宁波市鄞州区五乡镇,0.0308,公园与绿地,划拨,,国家机构,,宁波市鄞州区五乡镇人民政府,,2018年12月20日,,,,,,
鄞州区,宁波帅特龙车辆部件有限公司带征地,宁波市鄞州区钟公庙街道,0.0514,公园与绿地,划拨,,国家机构,,宁波市鄞州区钟公庙街道办事处,,2018年12月20日,,,,,,
鄞州区,宁波英莱达置业有限公司居住地块带征地,宁波市鄞州区咸祥镇,0.1147,公园与绿地,划拨,,国家机构,,宁波市鄞州区咸祥镇人民政府,,2018年12月20日,,,,,,
鄞州区,宁波天亚房地产有限公司带征地,宁波市鄞州区下应街道,0.1373,公园与绿地,划拨,,国家机构,,宁波市鄞州区下应街道办事处,,2018年12月20日,,,,,,
鄞州区,宁波市鄞州区云龙镇人民政府（石桥小学迁建）带征地,宁波市鄞州区云龙镇,0.1496,公园与绿地,划拨,,国家机构,,宁波市鄞州区云龙镇人民政府,,2018年12月20日,,,,,,
象山县,象山县禾丰机械厂生产用房建设项目,大徐镇大徐村,0.004,街巷用地,划拨,,道路运输业,0,大徐镇人民政府,,2018年12月20日,,,,,,
鄞州区,宁波市鄞州下应东南片区拆迁置业有限公司（中心小学公园绿化）带征地,宁波市鄞州区下应街道,0.242,公园与绿地,划拨,,国家机构,,宁波市鄞州区下应街道办事处,,2018年12月20日,,,,,,
鄞州区,宁波上振机电科技有限公司带征地,鄞州区云龙镇荻江村、林牧场,0.0006,公园与绿地,划拨,,国家机构,,宁波市鄞州区云龙镇人民政府,,2018年12月20日,,,,,,
鄞州区,宁波安纳杰模塑科技有限公司带征地,鄞州区咸祥镇咸二村,0.0029,公园与绿地,划拨,,国家机构,,宁波市鄞州区咸祥镇人民政府,,2018年12月20日,,,,,,
鄞州区,宁波鸿达印务有限公司带征地,宁波市鄞州区横溪镇金溪村,0.0046,公园与绿地,划拨,,国家机构,,宁波市鄞州区横溪镇人民政府,,2018年12月20日,,,,,,
鄞州区,宁波市公安局鄞州分局带征地,邱隘镇、下应街道回龙村、葛家村,0.0052,公园与绿地,划拨,,国家机构,,宁波市鄞州区人民政府下应街道办事处,,2018年12月20日,,,,,,
鄞州区,宁波皓普机械有限公司带征地,鄞州区姜山镇乔里村,姜山头村,0.0096,公园与绿地,划拨,,国家机构,,宁波市鄞州区姜山镇人民政府,,2018年12月20日,,,,,
鄞州区,宁波今辰电子有限公司带征地,鄞州区云龙镇顿岙村,0.011,公园与绿地,划拨,,国家机构,,宁波市鄞州区云龙镇人民政府,,2018年12月20日,,,,,,
鄞州区,宁波科酋机械制造有限公司带征地,姜山镇乔里村,0.0219,公园与绿地,划拨,,国家机构,,宁波市鄞州区姜山镇人民政府,,2018年12月20日,,,,,,
鄞州区,宁波环合地产有限公司带征地,鄞州区下应街道湾底村,0.0312,公园与绿地,划拨,,国家机构,,宁波市鄞州区人民政府下应街道办事处,,2018年12月20日,,,,,,
鄞州区,宁波罗蒙世界商业广场有限公司（CPD-1A-1）带征地,首南街道陈婆渡村,0.0465,公园与绿地,划拨,,国家机构,,宁波市鄞州区人民政府首南街道办事处,,2018年12月20日,,,,,,
鄞州区,宁波市鄞州精铸五金厂带征地,云龙镇荷花桥村,0.0997,公园与绿地,划拨,,国家机构,,宁波市鄞州区云龙镇人民政府,,2018年12月20日,,,,,,
鄞州区,宁波市东方巴士服务有限公司带征地,姜山镇后鄮村,0.147,公园与绿地,划拨,,国家机构,,宁波市鄞州区姜山镇人民政府,,2018年12月20日,,,,,,
鄞州区,宁波市公安局鄞州分局交通警察大队(窗口服务及后勤配套用房)带征地,中河街道顾家村,0.1564,公园与绿地,划拨,,国家机构,,宁波市鄞州区人民政府中河街道办事处,,2018年12月20日,,,,,,
鄞州区,曼哈顿资源（宁波）置业有限公司带征地,钟公庙街道毛家漕村,0.2255,公园与绿地,划拨,,国家机构,,宁波市鄞州区人民政府钟公庙街道办事处,,2018年12月20日,,,,,,
鄞州区,宁波市鄞州区新城房地产有限公司带征绿化用地,宁波市鄞州区下应街道,0.3793,公园与绿地,划拨,,国家机构,,宁波市鄞州区下应街道办事处,,2018年12月20日,,,,,,
鄞州区,宁波市鄞州区市场发展投资有限公司带征地,宁波市鄞州区钟公庙街道,0.6236,公园与绿地,划拨,,国家机构,,宁波市鄞州区钟公庙街道办事处,,2018年12月20日,,,,,,
鄞州区,宁波鑫越五金工贸有限公司带征地,宁波市鄞州区云龙镇,0.0009,公园与绿地,划拨,,国家机构,,宁波市鄞州区云龙镇人民政府,,2018年12月20日,,,,,,
余姚市,凤山街道城东路以东、纬三路以南地块绿化用地,凤山街道永丰村,0.1986,公园与绿地,划拨,,公共设施管理业,17.874,余姚市人民政府凤山街道办事处,,2018年12月20日,2019年12月27日,2021年12月27日,,,,
象山县,石浦镇门前塘工业待出让地块（2）边角地建设项目,石浦镇,0.435,街巷用地,划拨,,道路运输业,,象山县石浦建设投资开发有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,城南高新创业园1号电力开关站,东陈乡西庄村,0.0585,公共设施用地,划拨,,公共设施管理业,,浙江象山经济开发区城南开发建设有限公司,1.2,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,象山县石浦镇昌国盐场工业I地块,石浦镇科技园海乐路与科昌路交叉口东南角,12.2712,工业用地,拍卖出让,50,专用设备制造业,3743,若宇新能源科技（宁波）有限公司,0.901.50,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,大目湾新城悦洋路（西段）道路工程,象山县东陈乡,0.1688,街巷用地,划拨,,道路运输业,,象山县大目湾新城投资开发有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,鹤浦镇汪涂塘工业待出让地块（一）周边道路,象山县鹤浦镇汪涂塘,0.0085,街巷用地,划拨,,道路运输业,,象山县鹤浦镇人民政府,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,海山路九号泵站地块建设项目,丹东街道,0.1165,公共设施用地,划拨,,公共设施管理业,,象山县污水处理有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,大目湾新城沿弯路道路工程,象山县东陈乡,3.95,街巷用地,划拨,,道路运输业,,象山县大目湾新城投资开发有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,巨鹰路与宝海路交叉口东北角地块（道路绿化）建设项目,丹东街道巨鹰路与宝海路交叉口东北角,0.2935,公共设施用地,划拨,,道路运输业,,象山县城市建设投资集团有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,贤庠镇海墩西泽工业待出让地块一(道路地块),贤庠镇海墩村,0.0101,街巷用地,划拨,,道路运输业,,象山县贤庠镇人民政府,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,城南高新创业园4号电力开关站,东陈乡洋里村,0.0496,公共设施用地,划拨,,公共设施管理业,,浙江省象山经济开发区城南开发建设有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,石浦镇向浦地块1建设项目,石浦镇向浦村,3.4832,经济适用住房用地,划拨,,社会保障业,,象山县石浦建设投资开发有限公司,1.002.00,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,大目湾新城庆海路、规划12路道路工程,象山县东陈乡,2.6519,街巷用地,划拨,,道路运输业,,象山县大目湾新城投资开发有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
余姚市,凤山街道胜一村菜市场地块绿化用地,凤山街道胜一村,0.0248,公园与绿地,划拨,,公共设施管理业,2.232,余姚市人民政府凤山街道办事处,,2018年12月20日,2019年12月27日,2021年12月27日,,,,
象山县,高塘岛乡垃圾中转站建设项目,高塘岛乡珠益村,0.6667,公共设施用地,划拨,,公共设施管理业,,象山县高塘岛乡人民政府,0.5,2018年12月20日,2019年12月19日,2021年12月19日,,,,
宁波市本级,宁波市第二少体校带征道路,鄞江镇光溪村,0.3036,街巷用地,划拨,,国家机构,,宁波市海曙区鄞江镇人民政府,,2018年12月20日,2019年12月20日,2022年12月19日,,,,
象山县,象山县ZX08-03-06-02地块（道路绿化）建设项目,丹东街道巨鹰路西侧,0.4738,公共设施用地,划拨,,道路运输业,,象山县城市建设投资集团有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,贤庠镇小蔚庄地块1(绿化地块),贤庠镇小蔚庄村,0.4779,公园与绿地,划拨,,环境管理业,,浙江象山经济开发区城南开发建设有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,象山河路与莱薰路交叉口西北角地块一（道路绿化）建设项目,象山河路与莱薰路交叉口西北角,1.3634,公共设施用地,划拨,,道路运输业,,象山县城市建设投资集团有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
余姚市,萧甬铁路余姚段改造工程安置地块绿化用地,凤山街道同光村,0.4746,公园与绿地,划拨,,公共设施管理业,42.714,余姚市人民政府凤山街道办事处,,2018年12月20日,2019年12月27日,2021年12月27日,,,,
象山县,大目湾新城研新河闸工程,象山县东陈乡,0.3359,水工建筑用地,划拨,,水利管理业,,象山县大目湾新城投资开发有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,高塘岛乡小型污水处理站建设项目,高塘岛乡珠益村,0.345,公共设施用地,划拨,,公共设施管理业,,高塘岛乡人民政府,0.5,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,丹东街道下半河村留地地块（一）（道路绿化）建设项目,丹东街道下半河村,1.1661,公共设施用地,划拨,,公共设施管理业,,象山县城市建设投资集团有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,大目湾新城西大河景观工程,象山县东陈乡,0.5468,公园与绿地,划拨,,公共设施管理业,,象山县大目湾新城投资开发有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,石浦镇门前塘商业待出让地块（1）边角地建设项目,石浦镇,0.7993,街巷用地,划拨,,道路运输业,,象山县石浦建设投资开发有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,大目湾新城乐渔路（沿弯路西端至沿弯路东端）道路工程-1,象山县东陈乡,2.1995,街巷用地,划拨,,道路运输业,,象山县大目湾新城投资开发有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,城中村改造拆迁安置建设项目（周建、里新、下蒋家等）,丹西街道周建村,4.8279,经济适用住房用地,划拨,,房地产业,,象山县城市建设投资集团有限公司,1,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,大目湾新城悦洋路（沿湾路南端-沿湾路北端）道路工程-2,象山县东陈乡,0.9779,街巷用地,划拨,,道路运输业,,象山县大目湾新城投资开发有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,贤庠镇小蔚庄地块2(绿化地块),贤庠镇小蔚庄村,2.4735,公园与绿地,划拨,,环境管理业,,浙江象山经济开发区城南开发建设有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
宁波市本级,宁波市江北区孔浦闸站整治改造工程,江北区孔浦街道,2.0548,公共设施用地,划拨,,水利管理业,,宁波市江北区江河水利投资开发有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,贤庠镇大中庄工业待出让地块(道路地块),贤庠镇蒲门村,2.0982,街巷用地,划拨,,道路运输业,,浙江象山经济开发区城南开发建设有限公司,0.000.00,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,石浦镇东门气象公园景观工程地块建设项目,石浦镇,0.3856,公园与绿地,划拨,,公共设施管理业,,象山县石浦建设投资开发有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,象山县石浦镇白云路地块建设项目,石浦镇,2.8521,街巷用地,划拨,,道路运输业,,象山县石浦建设投资开发有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,大目湾新城银波路水闸管理用房-1,象山县东陈乡,0.1508,水工建筑用地,划拨,,公共设施管理业,,象山县大目湾新城投资开发有限公司,,2018年12月20日,2019年12月19日,2021年12月19日,,,,
余姚市,大叶园林周边绿化用地,凤山街道同光村,0.6179,公园与绿地,划拨,,公共设施管理业,55.611,余姚市人民政府凤山街道办事处,,2018年12月20日,2019年12月27日,2021年12月27日,,,,
象山县,象山北粮食储备库,贤庠镇西山下村,2.2746,公共设施用地,划拨,,农业,,象山县粮食收储有限公司,1,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,高塘岛乡客运站项目（一期）地块二建设项目,高塘岛乡江北村,0.25,公共设施用地,划拨,,公共设施管理业,,象山县高塘岛乡人民政府,0.5,2018年12月20日,2019年12月19日,2021年12月19日,,,,
鄞州区,宁波市鄞州区人民政府钟公庙街道办事处,宁波市鄞州区钟公庙街道,0.6887,公园与绿地,划拨,,国家机构,,宁波市鄞州区人民政府钟公庙街道办事处,,2018年12月20日,2019年4月20日,2019年10月20日,,,,
象山县,大中庄工业待出让10-1号地块(道路地块),贤庠镇蒲门村,4.0048,街巷用地,划拨,,道路运输业,0,浙江象山经济开发区城南开发建设有限公司,0.000.00,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,石浦镇金山路延伸段道路工程建设项目,石浦镇,6.9161,街巷用地,划拨,,道路运输业,0,象山县石浦建设投资开发有限公司,0.000.00,2018年12月20日,2019年12月19日,2021年12月19日,,,,
鄞州区,宁波万嵩置业有限公司带征地,鄞州区中河街道潘一村,0.2433,公园与绿地,划拨,,国家机构,,宁波市鄞州区人民政府中河街道办事处,,2018年12月20日,2019年4月20日,2019年10月20日,,,,
象山县,石浦镇南港路（军民路~规划高速连接线）道路工程地块建设项目,石浦镇,2.049,街巷用地,划拨,,道路运输业,0,象山县石浦建设投资开发有限公司,0.000.00,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,石浦镇凤落路（金山路至凤栖路）道路工程建设项目,石浦镇,0.7871,街巷用地,划拨,,道路运输业,0,象山县石浦建设投资开发有限公司,0.000.00,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,西霞路延伸段道路工程建设项目,石浦镇,0.5863,街巷用地,划拨,,道路运输业,0,象山县石浦建设投资开发有限公司,0.000.00,2018年12月20日,2019年12月19日,2021年12月19日,,,,
镇海区,镇海区ZH10-01-21地块,镇海区澥浦镇，汇源路东侧、兴业路南侧,6.6142,工业用地,拍卖出让,50,通用设备制造业,4500,宁波中南高科锦程产业园管理有限公司,1.001.80,2018年12月20日,2019年7月20日,2020年7月20日,,,,
鄞州区,宁波银鑫房地产开发有限公司带征地,宁波市鄞州区潘火街道,0.6736,公园与绿地,划拨,,国家机构,,宁波市鄞州区潘火街道办事处,,2018年12月20日,2019年4月20日,2019年10月20日,,,,
宁波市本级,启运路拓宽改建及周边配套道路新建工程,海曙区段塘区块，西起机场路，东至环城西路,6.7484,街巷用地,划拨,,道路运输业,0,宁波城市交通建设有限公司,0.000.00,2018年12月20日,2019年12月20日,2022年12月19日,,,,
象山县,石浦镇龙潭路地块建设项目,石浦镇,2.7671,街巷用地,划拨,,道路运输业,0,象山县石浦建设投资开发有限公司,0.000.00,2018年12月20日,2019年12月19日,2021年12月19日,,,,
象山县,鹤浦镇大南田农民集中居住区建设项目,象山县鹤浦镇大南田村,1.3168,经济适用住房用地,划拨,,社会保障业,,鹤浦镇人民政府,1.001.00,2018年12月20日,2019年12月19日,2021年12月19日,,,,
鄞州区,鄞州公园二期,宁波市鄞州区首南街道,1.6742,公园与绿地,划拨,,国家机构,,宁波市鄞州区首南街道办事处,,2018年12月19日,,,,,,
象山县,鹤浦中心卫生院拆迁工程代征地,鹤浦镇南田蟹厂村，南临石三线公路,0.1231,街巷用地,划拨,,道路运输业,0,鹤浦镇人民政府,,2018年12月19日,,,,,,
鄞州区,鄞州经济开发区JK01-05-h2工业地块带征地,鄞州经济开发区管理委员会,0.7022,公园与绿地,划拨,,国家机构,,宁波市鄞州区瞻岐镇人民政府,,2018年12月19日,,,,,,
鄞州区,宁波同创汽车零部件有限公司带征地,云龙镇姚家浦村,0.0568,公园与绿地,划拨,,国家机构,,宁波市鄞州区云龙镇人民政府,,2018年12月19日,,,,,,
鄞州区,宁波市江东区住房保障中心带征地,宁波市鄞州区首南街道,5.6145,公园与绿地,划拨,,国家机构,,宁波市人民政府首南街道办事处,,2018年12月19日,,,,,,
鄞州区,宁波市鄞州区横溪镇新村建设办公室（横溪镇中昇佳苑安置小区）带征地,宁波市鄞州区横溪镇,0.0467,公园与绿地,划拨,,国家机构,,宁波市鄞州区横溪镇人民政府,,2018年12月19日,,,,,,
鄞州区,宁波市鄞州中学带征地,宁波市鄞州区下应街道,0.1697,公园与绿地,划拨,,国家机构,,宁波市鄞州区下应街道办事处,,2018年12月19日,,,,,,
鄞州区,姜山镇棚改安置房工程项目（一期）,鄞州区姜山镇,6.781,经济适用住房用地,划拨,,国家机构,484.7242,宁波市鄞州区姜山镇人民政府,1.002.40,2018年12月19日,2020年6月18日,2023年6月17日,,,,
鄞州区,宁波中海创城有限公司带征地,宁波市鄞州区下应街道,2.6447,公园与绿地,划拨,,国家机构,,宁波市鄞州区下应街道办事处,,2018年12月19日,,,,,,
鄞州区,宁波中海创城有限公司带征地-1,宁波市鄞州区下应街道,2.5295,公园与绿地,划拨,,国家机构,,宁波市鄞州区人民政府下应街道办事处,,2018年12月19日,,,,,,
鄞州区,鄞州工业园区20号地块（带征地）,花园村,0.6831,公园与绿地,划拨,,居民服务业,108.0933,宁波市鄞州开发建设投资有限公司,,2018年12月19日,2020年6月18日,2022年6月17日,,,,
象山县,象山县爱心医院迁建工程(1),丹西街道樟树下村,0.4827,街巷用地,划拨,,道路运输业,0,丹西街道办事处,,2018年12月19日,,,,,,
鄞州区,云龙镇双桥村新村建设项目地块（河流绿化用地）,云龙镇双桥村,0.337,公园与绿地,划拨,,国家机构,50.55,宁波市鄞州区云龙镇新村建设办公室,,2018年12月19日,2020年6月18日,2022年6月17日,,,,
象山县,象山县城市建设投资开发有限公司拆迁安置房(1),丹西街道小厅村,0.154,街巷用地,划拨,,道路运输业,0,丹西街道办事处,,2018年12月19日,,,,,,
鄞州区,云龙镇长山江路延伸段工程,云龙镇园堍村,1.6037,公路用地,划拨,,国家机构,865.4614,宁波市鄞州区云龙镇人民政府,,2018年12月19日,2020年6月18日,2022年6月17日,,,,
鄞州区,横溪镇金溪村孔家潭新村建设B地块,宁波市鄞州区横溪镇金溪村,1.2127,经济适用住房用地,划拨,,居民服务业,798.2623,宁波市鄞州区横溪镇金溪村经济合作社,1.002.00,2018年12月19日,2020年6月18日,2022年6月17日,,,,
鄞州区,洋江水岸一期带征地,宁波市鄞州区下应街道,1.512,公园与绿地,划拨,,国家机构,,宁波市鄞州区人民政府下应街道办事处,,2018年12月19日,,,,,,
象山县,宁波交运建设有限公司仓储用房建设项目(1),丹西街道三岔路村,0.004,街巷用地,划拨,,道路运输业,0,丹西街道办事处,,2018年12月19日,,,,,,
鄞州区,鄞州区云龙镇双桥村新村建设项目地块,云龙镇双桥村,2.0718,经济适用住房用地,划拨,,国家机构,310.77,宁波市鄞州区云龙镇新村建设办公室,1.001.17,2018年12月19日,2020年6月18日,2022年6月17日,,,,
象山县,国网浙江象山县供电公司电力生产调度用房建设项目(1),丹西街道天安路与宝海路交叉口西南角,0.3542,街巷用地,划拨,,道路运输业,0,丹西街道办事处,,2018年12月19日,,,,,,
象山县,象山现代物流园区发展有限公司仓储用房建设项目(1),丹西街道九顷村、迎恩路与会源路交叉口西北角,0.0206,街巷用地,划拨,,道路运输业,0,丹西街道办事处,,2018年12月19日,,,,,,
象山县,象山县丹西街道方井头村经济合作社商业用房建设项目(1),丹西街道园中路与丹南路交叉口东北角,0.1442,街巷用地,划拨,,道路运输业,0,丹西街道办事处,,2018年12月19日,,,,,,
象山县,象山协和海运投资管理有限公司商务大楼建设项目(1),丹西街道天安路以西滨海大道以北,0.1385,街巷用地,划拨,,道路运输业,0,丹西街道办事处,,2018年12月19日,,,,,,
